player,pos_x,age_x,team_id_x,g_x,gs_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,pos_y,age_y,team_id_y,g_y,mp_y,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,pos_x,age_x,team_id_x,g_x,gs_y,mp_per_g,fg_per_g,fga_per_g,fg_pct_y,fg3_per_g,fg3a_per_g,fg3_pct_y,fg2_per_g,fg2a_per_g,fg2_pct_y,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,pos_y,age_y,team_id_y,g_y,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,votes_first,points_won
Tariq Abdul-Wahad,SG,24,SAC,49,49,1205,7.3,16.9,.435,0.2,0.9,.286,7.1,16.0,.443,3.9,5.6,.691,3.0,4.7,7.7,2.1,2.1,0.7,2.9,5.0,18.8,,98,104,SG,24,SAC,49,1205,11.8,.486,.052,.334,6.3,9.9,8.1,6.5,2.1,0.8,13.0,19.0,,0.5,0.9,1.4,.058,,-2.4,-0.4,-2.8,-0.2,SG,24,SAC,49,49,24.6,3.6,8.3,.435,0.1,0.4,.286,3.5,7.9,.443,.442,1.9,2.8,.691,1.5,2.3,3.8,1.0,1.0,0.3,1.4,2.5,9.3,SG,24,SAC,49,49,1205,5.3,12.2,.435,0.2,0.6,.286,5.1,11.5,.443,2.8,4.1,.691,2.2,3.4,5.6,1.5,1.5,0.5,2.1,3.6,13.6,0.0,0.0
Shareef Abdur-Rahim,SF,22,VAN,50,50,2021,10.3,23.8,.432,0.3,1.0,.306,10.0,22.9,.438,9.8,11.7,.841,3.0,6.9,10.0,4.6,1.8,1.5,5.0,3.7,30.7,,104,107,SF,22,VAN,50,2021,20.7,.530,.040,.492,6.5,15.4,10.9,17.6,1.8,2.0,14.6,28.9,,3.7,0.9,4.6,.108,,1.9,-0.3,1.6,1.8,SF,22,VAN,50,50,40.4,7.7,17.9,.432,0.2,0.7,.306,7.5,17.1,.438,.438,7.4,8.8,.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0,SF,22,VAN,50,50,2021,6.9,15.9,.432,0.2,0.6,.306,6.7,15.3,.438,6.6,7.8,.841,2.0,4.6,6.7,3.1,1.2,1.0,3.3,2.4,20.5,0.0,0.0
Cory Alexander,PG,25,DEN,36,4,778,6.6,17.7,.373,2.0,7.2,.286,4.6,10.6,.432,2.5,3.0,.841,0.5,4.6,5.0,8.1,2.4,0.3,4.7,5.3,17.8,,92,111,PG,25,DEN,36,778,11.0,.467,.404,.169,1.0,10.3,5.5,26.6,2.4,0.5,19.8,20.3,,-0.2,0.0,-0.3,-0.016,,-1.3,-2.3,-3.6,-0.3,PG,25,DEN,36,4,21.6,2.7,7.2,.373,0.8,2.9,.286,1.9,4.3,.432,.431,1.0,1.2,.841,0.2,1.9,2.1,3.3,1.0,0.1,1.9,2.1,7.3,PG,25,DEN,36,4,778,4.5,12.0,.373,1.4,4.9,.286,3.1,7.2,.432,1.7,2.0,.841,0.3,3.1,3.4,5.5,1.6,0.2,3.2,3.6,12.1,0.0,0.0
Ray Allen,SG,23,MIL,50,50,1719,9.7,21.6,.450,2.4,6.7,.356,7.3,14.9,.492,5.6,6.3,.903,1.8,5.0,6.8,5.7,1.7,0.2,3.9,3.8,27.5,,110,106,SG,23,MIL,50,1719,18.9,.564,.309,.290,4.1,10.7,7.4,18.8,1.7,0.3,13.9,24.5,,4.2,1.1,5.2,.146,,4.2,-1.3,2.9,2.1,SG,23,MIL,50,50,34.4,6.1,13.5,.450,1.5,4.2,.356,4.6,9.3,.492,.505,3.5,3.9,.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1,SG,23,MIL,50,50,1719,6.3,14.1,.450,1.5,4.4,.356,4.8,9.7,.492,3.7,4.1,.903,1.2,3.2,4.4,3.7,1.1,0.1,2.6,2.5,17.9,0.0,0.0
Peter Aluma,C,25,SAC,2,0,5,10.0,20.0,.500,0.0,0.0,,10.0,20.0,.500,0.0,0.0,,10.0,10.0,20.0,0.0,10.0,10.0,20.0,40.0,20.0,,55,73,C,25,SAC,2,5,3.1,.500,.000,.000,21.2,21.0,21.1,0.0,10.0,12.7,50.0,34.1,,0.0,0.0,0.0,-0.206,,-15.2,8.2,-7.1,0.0,C,25,SAC,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0,C,25,SAC,2,0,5,7.2,14.4,.500,0.0,0.0,,7.2,14.4,.500,0.0,0.0,,7.2,7.2,14.4,0.0,7.2,7.2,14.4,28.8,14.4,0.0,0.0
Derek Anderson,SG,24,CLE,38,13,978,7.1,17.8,.398,1.2,3.9,.304,5.9,13.9,.424,7.8,9.4,.836,1.1,5.1,6.2,8.2,2.7,0.2,4.7,4.1,23.2,,101,102,SG,24,CLE,38,978,16.5,.529,.220,.525,2.6,11.5,7.1,28.5,2.7,0.3,17.5,23.4,,1.1,1.0,2.1,.105,,1.2,-0.4,0.8,0.7,SG,24,CLE,38,13,25.7,3.3,8.3,.398,0.6,1.8,.304,2.7,6.4,.424,.432,3.6,4.3,.836,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,10.8,SG,24,CLE,38,13,978,4.6,11.6,.398,0.8,2.5,.304,3.8,9.0,.424,5.1,6.1,.836,0.7,3.3,4.0,5.3,1.8,0.1,3.0,2.7,15.1,0.0,0.0
Kenny Anderson,PG,28,BOS,34,33,1010,8.4,18.5,.451,0.3,1.2,.250,8.1,17.3,.465,4.4,5.2,.832,1.2,4.1,5.4,10.0,1.7,0.1,3.7,4.1,21.4,,107,106,PG,28,BOS,34,1010,16.7,.513,.067,.283,2.6,9.1,5.7,32.5,1.7,0.1,15.0,20.9,,1.8,0.6,2.4,.116,,0.9,-2.2,-1.3,0.2,PG,28,BOS,34,33,29.7,4.7,10.5,.451,0.2,0.7,.250,4.6,9.8,.465,.459,2.5,3.0,.832,0.7,2.3,3.0,5.7,1.0,0.1,2.1,2.3,12.1,PG,28,BOS,34,33,1010,5.7,12.7,.451,0.2,0.9,.250,5.5,11.9,.465,3.0,3.6,.832,0.9,2.8,3.7,6.9,1.2,0.1,2.5,2.8,14.7,0.0,0.0
Nick Anderson,SF,31,ORL,47,39,1581,8.6,21.9,.395,3.3,9.5,.347,5.4,12.4,.433,3.4,5.5,.611,1.7,7.7,9.5,3.1,2.2,0.5,2.8,2.5,24.0,,100,97,SF,31,ORL,47,1581,15.3,.493,.433,.253,3.7,16.9,10.2,10.7,2.2,0.7,10.4,22.8,,1.3,2.6,3.9,.118,,1.0,0.3,1.3,1.3,SF,31,ORL,47,39,33.6,5.4,13.6,.395,2.0,5.9,.347,3.3,7.7,.433,.470,2.1,3.4,.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9,SF,31,ORL,47,39,1581,5.8,14.6,.395,2.2,6.3,.347,3.6,8.3,.433,2.3,3.7,.611,1.2,5.1,6.3,2.1,1.5,0.3,1.9,1.6,16.0,0.0,0.0
Shandon Anderson,SG,25,UTA,50,2,1072,8.3,18.7,.446,0.7,2.1,.341,7.6,16.6,.460,4.6,6.4,.712,2.5,4.3,6.8,2.9,2.0,0.5,3.4,4.6,22.0,,99,101,SG,25,UTA,50,1072,12.8,.511,.113,.344,6.0,8.8,7.5,9.7,2.0,0.7,13.6,21.6,,0.7,1.3,2.0,.088,,-1.1,-0.2,-1.4,0.2,SG,25,UTA,50,2,21.4,3.2,7.3,.446,0.3,0.8,.341,3.0,6.4,.460,.466,1.8,2.5,.712,1.0,1.7,2.6,1.1,0.8,0.2,1.3,1.8,8.5,SG,25,UTA,50,2,1072,5.4,12.2,.446,0.5,1.4,.341,5.0,10.8,.460,3.0,4.2,.712,1.6,2.8,4.4,1.9,1.3,0.3,2.2,3.0,14.3,0.0,0.0
Chris Anstey,C,24,DAL,41,4,470,5.7,15.9,.360,0.0,0.8,.000,5.7,15.1,.379,3.9,5.5,.708,4.0,7.1,11.1,3.1,2.1,1.5,3.0,11.2,15.4,,91,103,C,24,DAL,41,470,9.2,.418,.050,.345,8.3,14.9,11.6,9.3,2.1,2.0,14.0,18.2,,-0.2,0.4,0.3,.027,,-3.3,0.3,-3.1,-0.1,C,24,DAL,41,4,11.5,1.2,3.4,.360,0.0,0.2,.000,1.2,3.2,.379,.360,0.8,1.2,.708,0.9,1.5,2.4,0.7,0.4,0.3,0.6,2.4,3.3,C,24,DAL,41,4,470,3.8,10.6,.360,0.0,0.5,.000,3.8,10.1,.379,2.6,3.7,.708,2.7,4.7,7.4,2.1,1.4,1.0,2.0,7.5,10.3,0.0,0.0
