player,pos_x,age_x,team_id_x,g_x,gs_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,pos_y,age_y,team_id_y,g_y,mp_y,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,pos_x,age_x,team_id_x,g_x,gs_y,mp_per_g,fg_per_g,fga_per_g,fg_pct_y,fg3_per_g,fg3a_per_g,fg3_pct_y,fg2_per_g,fg2a_per_g,fg2_pct_y,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,pos_y,age_y,team_id_y,g_y,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,votes_first,points_won
Kareem Abdul-Jabbar,C,39,LAL,78,78,2441,10.8,19.2,.564,0.0,0.1,.333,10.8,19.2,.565,4.7,6.6,.714,2.9,7.2,10.1,3.9,0.9,1.9,3.6,4.7,26.4,,114,107,C,39,LAL,78,2441,17.9,.597,.003,.345,7.4,15.8,11.9,11.6,0.9,2.2,14.0,22.1,,4.5,3.0,7.5,.148,,1.2,0.4,1.6,2.2,C,39,LAL,78,78,31.3,7.2,12.7,.564,0.0,0.0,.333,7.2,12.7,.565,.564,3.1,4.4,.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5,C,39,LAL,78,78,2441,8.3,14.6,.564,0.0,0.0,.333,8.2,14.6,.565,3.6,5.1,.714,2.2,5.5,7.7,3.0,0.7,1.4,2.7,3.6,20.1,0.0,0.0
Alvan Adams,C,32,PHO,68,40,1690,8.7,17.2,.503,0.0,0.0,.000,8.7,17.2,.504,3.7,4.7,.788,2.5,6.9,9.4,6.2,1.7,1.0,3.9,5.8,21.1,,106,109,C,32,PHO,68,1690,14.6,.546,.002,.275,6.2,16.1,11.2,18.4,1.7,1.3,16.7,20.0,,1.2,1.6,2.8,.079,,-0.4,0.7,0.3,1.0,C,32,PHO,68,40,24.9,4.6,9.1,.503,0.0,0.0,.000,4.6,9.1,.504,.503,2.0,2.5,.788,1.3,3.6,5.0,3.3,0.9,0.5,2.0,3.0,11.1,C,32,PHO,68,40,1690,6.6,13.2,.503,0.0,0.0,.000,6.6,13.1,.504,2.9,3.6,.788,1.9,5.3,7.2,4.8,1.3,0.8,3.0,4.4,16.1,0.0,0.0
Michael Adams,PG,24,WSB,63,0,1303,5.9,14.5,.407,1.0,3.8,.275,4.9,10.7,.454,3.9,4.6,.847,1.4,3.1,4.5,9.0,3.1,0.2,3.0,3.2,16.7,,109,108,PG,24,WSB,63,1303,14.3,.506,.260,.316,3.0,7.0,5.0,25.7,3.1,0.3,15.3,16.3,,1.2,1.5,2.7,.099,,0.6,-0.1,0.4,0.8,PG,24,WSB,63,0,20.7,2.5,6.2,.407,0.4,1.6,.275,2.1,4.6,.454,.443,1.7,2.0,.847,0.6,1.3,2.0,3.9,1.3,0.1,1.3,1.4,7.2,PG,24,WSB,63,0,1303,4.4,10.9,.407,0.8,2.8,.275,3.6,8.0,.454,2.9,3.4,.847,1.0,2.3,3.4,6.7,2.3,0.2,2.2,2.4,12.5,0.0,0.0
Rafael Addison,SF,22,PHO,62,12,711,9.7,21.9,.441,1.1,3.3,.320,8.6,18.6,.463,3.4,4.2,.797,2.7,4.3,7.0,3.0,1.8,0.5,3.6,5.0,23.8,,98,111,SF,22,PHO,62,711,11.9,.500,.151,.193,6.6,10.1,8.4,9.1,1.8,0.6,13.1,23.6,,-0.1,0.5,0.4,.024,,-2.1,-2.4,-4.4,-0.4,SF,22,PHO,62,12,11.5,2.4,5.3,.441,0.3,0.8,.320,2.1,4.5,.463,.465,0.8,1.0,.797,0.7,1.0,1.7,0.7,0.4,0.1,0.9,1.2,5.8,SF,22,PHO,62,12,711,7.4,16.8,.441,0.8,2.5,.320,6.6,14.2,.463,2.6,3.2,.797,2.1,3.3,5.4,2.3,1.4,0.4,2.7,3.8,18.2,0.0,0.0
Mark Aguirre,SF,27,DAL,80,80,2663,14.1,28.5,.495,1.0,2.7,.353,13.2,25.8,.510,7.7,10.0,.770,3.2,4.4,7.7,4.6,1.5,0.5,3.9,4.4,36.9,,114,111,SF,27,DAL,80,2663,22.1,.560,.094,.350,7.5,9.8,8.7,15.7,1.5,0.6,10.6,31.3,,6.8,2.1,8.9,.160,,4.4,-1.6,2.8,3.2,SF,27,DAL,80,80,33.3,9.8,19.9,.495,0.7,1.9,.353,9.2,18.0,.510,.512,5.4,7.0,.770,2.3,3.1,5.3,3.2,1.1,0.4,2.7,3.0,25.7,SF,27,DAL,80,80,2663,10.6,21.5,.495,0.7,2.0,.353,9.9,19.5,.510,5.8,7.5,.770,2.4,3.3,5.8,3.4,1.1,0.4,2.9,3.3,27.8,0.0,1.0
Danny Ainge,SG,27,BOS,71,66,2499,8.0,16.4,.486,1.7,3.7,.443,6.3,12.7,.498,2.9,3.2,.897,1.0,3.8,4.7,7.8,2.0,0.3,2.7,3.7,20.5,,115,109,SG,27,BOS,71,2499,15.2,.574,.227,.195,2.4,8.0,5.4,21.2,2.0,0.3,13.3,18.0,,4.1,2.5,6.7,.128,,2.1,-0.3,1.7,2.4,SG,27,BOS,71,66,35.2,5.8,11.9,.486,1.2,2.7,.443,4.6,9.2,.498,.536,2.1,2.3,.897,0.7,2.7,3.4,5.6,1.4,0.2,2.0,2.7,14.8,SG,27,BOS,71,66,2499,5.9,12.2,.486,1.2,2.8,.443,4.7,9.4,.498,2.1,2.4,.897,0.7,2.8,3.5,5.8,1.5,0.2,2.0,2.7,15.2,0.0,0.0
Mark Alarie,PF,23,DEN,64,25,1110,8.8,18.0,.490,0.1,0.4,.222,8.8,17.7,.495,2.7,4.1,.663,3.0,5.7,8.7,3.0,0.9,1.1,2.3,5.6,20.5,,106,111,PF,23,DEN,64,1110,12.5,.516,.020,.228,6.5,14.2,10.1,8.9,0.9,1.4,10.3,18.8,,0.7,0.7,1.5,.064,,-2.1,-1.5,-3.6,-0.4,PF,23,DEN,64,25,17.3,3.4,6.9,.490,0.0,0.1,.222,3.4,6.8,.495,.492,1.0,1.6,.663,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9,PF,23,DEN,64,25,1110,7.0,14.4,.490,0.1,0.3,.222,7.0,14.1,.495,2.2,3.3,.663,2.4,4.6,6.9,2.4,0.7,0.9,1.8,4.5,16.3,0.0,0.0
Richard Anderson,PF,26,HOU,51,0,312,9.1,21.4,.424,0.6,2.5,.250,8.5,18.9,.447,3.4,4.5,.759,3.7,8.5,12.2,5.1,1.1,0.5,2.9,5.7,22.2,,102,106,PF,26,HOU,51,312,13.6,.474,.115,.209,8.6,19.1,13.9,15.4,1.1,0.6,11.1,22.4,,0.1,0.4,0.5,.082,,-1.9,-1.0,-2.9,-0.1,PF,26,HOU,51,0,6.1,1.2,2.7,.424,0.1,0.3,.250,1.1,2.4,.447,.439,0.4,0.6,.759,0.5,1.1,1.5,0.6,0.1,0.1,0.4,0.7,2.8,PF,26,HOU,51,0,312,6.8,16.0,.424,0.5,1.8,.250,6.3,14.2,.447,2.5,3.3,.759,2.8,6.3,9.1,3.8,0.8,0.3,2.2,4.3,16.6,0.0,0.0
Ron Anderson,SF,28,IND,63,0,721,9.4,19.8,.473,0.0,0.3,.000,9.4,19.5,.481,5.7,7.3,.787,4.9,5.3,10.2,3.6,2.1,0.2,3.7,4.4,24.5,,106,107,SF,28,IND,63,721,16.0,.531,.017,.367,10.9,12.0,11.4,11.1,2.1,0.3,13.9,22.9,,0.6,0.9,1.5,.100,,-0.4,-0.7,-1.1,0.2,SF,28,IND,63,0,11.4,2.2,4.7,.473,0.0,0.1,.000,2.2,4.6,.481,.473,1.3,1.7,.787,1.2,1.2,2.4,0.9,0.5,0.0,0.9,1.0,5.8,SF,28,IND,63,0,721,6.9,14.7,.473,0.0,0.2,.000,6.9,14.4,.481,4.2,5.4,.787,3.6,3.9,7.5,2.7,1.5,0.1,2.7,3.2,18.1,0.0,0.0
John Bagley,PG,26,CLE,72,67,2182,6.8,15.9,.426,0.7,2.2,.301,6.1,13.7,.447,2.5,3.0,.831,1.2,4.3,5.5,8.2,2.0,0.2,3.5,2.5,16.7,,101,108,PG,26,CLE,72,2182,12.1,.485,.141,.186,2.7,9.7,6.2,24.6,2.0,0.2,17.1,17.5,,0.3,2.3,2.6,.058,,-1.4,-0.1,-1.5,0.3,PG,26,CLE,72,67,30.3,4.3,10.2,.426,0.4,1.4,.301,3.9,8.7,.447,.447,1.6,1.9,.831,0.8,2.7,3.5,5.3,1.3,0.1,2.3,1.6,10.7,PG,26,CLE,72,67,2182,5.1,12.1,.426,0.5,1.7,.301,4.6,10.4,.447,1.9,2.2,.831,0.9,3.3,4.2,6.3,1.5,0.1,2.7,1.9,12.7,0.0,0.0
