pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
C,34,LAL,76,76,2677,13.1,22.6,.579,0.0,0.1,.000,13.1,22.6,.580,5.4,7.7,.706,3.0,8.5,11.5,3.9,1.1,3.6,4.0,3.9,31.6,,116,104
C,27,PHO,79,75,2393,10.2,20.7,.494,0.0,0.0,.000,10.2,20.7,.494,3.7,4.7,.781,2.8,9.0,11.8,7.2,2.3,1.6,3.9,5.4,24.1,,106,99
SF,22,DAL,51,20,1468,12.6,27.2,.465,0.8,2.4,.352,11.8,24.9,.475,5.6,8.2,.680,3.0,5.3,8.3,5.4,1.2,0.7,4.5,5.0,31.7,,102,111
SG,22,BOS,53,1,564,6.6,18.5,.357,0.4,1.4,.294,6.2,17.1,.363,4.7,5.5,.862,2.1,2.6,4.7,7.3,3.1,0.3,4.4,7.2,18.4,,94,104
PG,33,BOS,68,51,2167,6.7,14.2,.472,0.1,0.3,.375,6.6,13.9,.475,5.2,6.9,.747,0.5,2.0,2.5,11.8,1.1,0.1,3.9,2.9,18.7,,112,109
C,33,POR,10,3,121,2.0,5.9,.333,0.0,0.0,,2.0,5.9,.333,2.0,3.6,.556,2.8,2.8,5.5,3.2,0.4,0.8,2.4,11.1,5.9,,87,113
C,23,POR,1,0,7,6.8,6.8,1.000,0.0,0.0,,6.8,6.8,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.6,13.6,13.6,,47,116
PF,24,TOT,77,0,1468,8.3,16.1,.517,0.0,0.0,,8.3,16.1,.517,4.4,7.1,.612,4.0,8.4,12.5,2.1,1.3,2.6,4.4,8.6,21.0,,99,100
PF,24,SEA,10,0,180,8.3,17.3,.477,0.0,0.0,,8.3,17.3,.477,1.1,2.9,.364,4.5,8.3,12.8,3.5,0.8,1.9,5.1,11.2,17.6,,88,102
PF,24,NJN,67,0,1288,8.3,15.9,.523,0.0,0.0,,8.3,15.9,.523,4.8,7.7,.624,4.0,8.4,12.4,1.9,1.4,2.7,4.3,8.2,21.4,,101,100
SF,27,WSB,79,79,2946,10.2,21.4,.475,0.1,0.4,.409,10.0,21.1,.476,3.9,4.6,.830,2.2,8.1,10.4,4.1,2.2,0.4,2.0,3.3,24.4,,109,101
SF,22,SAS,80,4,1700,8.6,18.0,.477,0.0,0.2,.000,8.6,17.7,.483,4.0,5.8,.684,4.3,7.0,11.3,4.0,1.5,0.5,2.9,5.5,21.1,,108,108
SF,30,TOT,82,38,2016,8.0,17.0,.469,0.0,0.1,.333,7.9,16.9,.470,4.0,6.4,.629,4.2,6.4,10.5,2.7,1.5,1.5,3.6,6.5,20.0,,99,104
SF,30,IND,39,37,1037,8.3,19.0,.438,0.0,0.1,.333,8.3,18.9,.439,4.7,7.2,.660,4.1,6.0,10.0,3.2,1.8,1.1,4.0,6.5,21.5,,96,105
SF,30,PHI,43,1,979,7.6,14.9,.510,0.0,0.1,.333,7.6,14.8,.512,3.3,5.6,.588,4.2,6.8,11.0,2.2,1.2,1.8,3.1,6.5,18.5,,104,104
SG,25,POR,75,0,1229,12.7,26.9,.473,0.5,1.6,.293,12.2,25.3,.484,6.5,8.2,.787,2.1,2.1,4.2,4.3,1.6,0.2,3.6,3.9,32.3,,107,111
PF,27,CLE,3,0,23,4.2,8.4,.500,0.0,0.0,,4.2,8.4,.500,2.1,12.6,.167,2.1,4.2,6.3,0.0,2.1,0.0,8.4,4.2,10.5,,48,112
C,27,DET,75,72,2467,7.6,15.0,.505,0.1,0.2,.273,7.5,14.8,.508,2.4,2.9,.804,4.1,8.1,12.2,3.0,1.2,1.8,3.0,4.0,17.5,,107,105
