pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
C,33,LAL,80,,2976,13.1,22.9,.574,0.0,0.0,.000,13.1,22.9,.574,6.6,8.7,.766,3.1,9.8,12.9,4.3,0.9,3.6,3.9,3.8,32.9,,118,101
SF,26,TOT,39,,298,4.0,9.4,.424,0.0,0.2,.000,4.0,9.3,.431,2.1,3.5,.591,3.2,4.5,7.7,3.0,1.1,0.5,1.3,5.4,10.1,,107,109
SF,26,GSW,10,,39,1.2,3.7,.333,0.0,0.0,,1.2,3.7,.333,2.4,3.7,.667,1.2,8.5,9.8,1.2,1.2,0.0,2.4,6.1,4.9,,80,109
SF,26,IND,29,,259,4.4,10.3,.429,0.0,0.2,.000,4.4,10.1,.436,2.0,3.5,.579,3.5,3.9,7.3,3.3,1.1,0.6,1.1,5.3,10.8,,109,108
C,26,PHO,75,,2054,10.2,19.4,.526,0.0,0.0,,10.2,19.4,.526,4.4,5.8,.768,3.5,8.7,12.2,7.7,2.4,1.5,5.0,5.0,24.9,,108,96
PF,22,DAL,22,,276,4.1,11.8,.343,0.0,0.2,.000,4.1,11.6,.348,2.3,3.9,.591,3.3,8.1,11.5,4.4,0.9,1.4,4.1,9.0,10.4,,79,109
PG,32,BOS,80,72,2820,6.5,12.9,.499,0.0,0.2,.000,6.5,12.8,.505,5.8,7.1,.816,0.6,2.4,3.0,10.4,1.3,0.3,4.5,3.4,18.7,,111,107
C,32,SEA,47,,607,3.5,7.3,.473,0.0,0.0,,3.5,7.3,.473,1.1,1.6,.700,2.6,5.9,8.5,4.3,0.9,0.6,2.6,6.7,8.0,,98,106
PF,23,SEA,82,,2539,8.4,16.8,.499,0.0,0.0,.500,8.4,16.7,.499,4.8,6.8,.709,3.6,7.8,11.4,1.8,1.4,2.7,4.1,6.3,21.6,,101,102
SF,26,WSB,82,,2610,9.9,21.3,.463,0.1,0.6,.219,9.7,20.7,.470,3.0,3.5,.847,3.0,7.4,10.4,3.5,2.1,0.7,2.1,3.5,22.8,,105,101
SF,29,IND,76,,2375,8.6,17.7,.489,0.0,0.1,.000,8.6,17.5,.492,4.0,5.6,.708,3.0,5.5,8.5,4.8,1.6,1.7,3.9,5.7,21.2,,103,105
SG,24,POR,77,,1560,13.1,26.9,.487,0.4,1.6,.259,12.7,25.3,.501,5.1,5.9,.854,2.1,2.6,4.7,5.9,2.4,0.2,4.5,3.6,31.7,,106,107
PF,26,UTA,28,,313,4.1,9.4,.433,0.0,0.3,.000,4.1,9.1,.448,8.3,12.7,.654,5.2,9.4,14.6,2.4,0.5,1.7,4.9,8.8,16.5,,99,108
C,26,DET,59,,1956,8.8,18.7,.473,0.0,0.1,.000,8.8,18.6,.475,4.8,6.2,.772,3.0,6.7,9.7,4.2,1.7,1.6,4.6,4.5,22.4,,99,104
PG,31,SDC,73,,1112,5.1,13.2,.386,1.4,4.1,.337,3.7,9.1,.408,2.9,4.2,.684,1.1,2.1,3.2,8.6,2.0,0.1,3.3,3.7,14.4,,101,110
PF,24,BOS,82,82,3239,10.6,22.1,.478,0.3,1.1,.270,10.3,21.0,.489,4.2,4.8,.863,2.8,10.4,13.2,6.6,2.4,0.9,4.2,3.5,25.6,,107,99
SG,25,KCK,71,,2593,13.0,23.9,.544,0.2,0.6,.286,12.8,23.2,.551,5.8,8.3,.697,2.2,2.5,4.7,4.3,1.7,0.3,3.2,3.1,31.9,,113,108
SG,23,DET,3,,28,5.1,16.9,.300,0.0,0.0,,5.1,16.9,.300,3.4,13.5,.250,0.0,3.4,3.4,3.4,1.7,0.0,1.7,3.4,13.5,,68,107
SG,34,UTA,52,,1146,6.9,15.9,.431,0.5,1.7,.282,6.4,14.2,.449,3.2,4.0,.798,0.7,2.9,3.6,6.9,1.4,0.3,4.8,5.4,17.4,,91,112
SG,23,DAL,44,,757,7.8,20.1,.387,0.0,0.0,,7.8,20.1,.387,2.9,3.5,.818,1.5,3.3,4.8,2.4,1.5,1.0,4.4,5.1,18.4,,80,112
SG,23,IND,82,,1867,6.7,14.2,.474,0.1,0.4,.125,6.7,13.8,.484,3.2,4.5,.702,1.8,3.1,4.9,4.8,4.7,0.9,3.1,6.0,16.7,,103,101
PG,25,CLE,80,,2595,5.9,15.0,.390,1.0,3.1,.337,4.8,11.9,.404,2.0,2.4,.811,1.2,2.4,3.6,8.3,2.5,0.3,3.0,3.6,14.7,,100,110
PF,29,LAL,78,,1107,4.3,8.3,.513,0.0,0.1,.000,4.3,8.2,.518,0.6,1.7,.375,5.4,6.5,11.9,2.3,1.8,2.4,2.0,6.7,9.2,,107,103
SG,25,TOT,75,,1452,8.8,20.3,.436,0.0,0.2,.143,8.8,20.0,.439,2.9,3.7,.798,1.1,1.7,2.8,4.8,2.0,1.1,3.0,3.1,20.6,,99,108
SG,25,POR,29,,548,8.1,20.9,.386,0.1,0.3,.333,8.0,20.7,.387,2.2,2.9,.765,1.1,1.7,2.8,4.7,2.9,0.8,3.2,3.6,18.5,,88,107
SG,25,SAS,46,,904,9.3,19.9,.468,0.0,0.2,.000,9.3,19.7,.472,3.4,4.1,.813,1.1,1.7,2.7,4.8,1.4,1.3,2.8,2.7,21.9,,106,109
SF,27,MIL,77,,2215,11.2,23.0,.487,0.1,0.4,.143,11.2,22.6,.494,4.5,5.0,.884,1.6,4.4,6.0,4.9,1.8,0.6,3.1,3.8,27.0,,110,104
SF,29,UTA,82,,2001,6.7,15.0,.444,0.1,0.4,.278,6.5,14.6,.449,4.1,4.9,.838,2.5,8.0,10.6,9.4,1.5,0.1,4.2,4.7,17.5,,103,109
PG,22,WSB,2,,9,10.4,15.6,.667,0.0,0.0,,10.4,15.6,.667,0.0,0.0,,0.0,10.4,10.4,15.6,5.2,0.0,10.4,10.4,20.8,,93,93
SF,22,SDC,82,,2479,9.4,19.7,.479,0.0,0.1,.000,9.4,19.5,.482,4.4,6.2,.706,4.1,4.5,8.5,4.0,1.9,0.6,3.1,4.5,23.2,,107,108
SG,32,SEA,78,,1986,12.2,24.9,.488,0.6,1.5,.359,11.6,23.4,.496,4.2,5.0,.832,1.3,2.9,4.2,5.6,2.1,0.3,3.2,3.4,29.1,,109,107
C,25,WSB,2,,5,0.0,28.1,.000,0.0,0.0,,0.0,28.1,.000,18.8,46.9,.400,9.4,9.4,18.8,0.0,0.0,0.0,9.4,18.8,18.8,,46,103
C,22,GSW,45,,580,6.8,13.3,.512,0.0,0.0,,6.8,13.3,.512,1.3,1.7,.762,4.3,9.3,13.6,1.7,0.7,1.1,2.5,8.4,14.9,,107,108
PF,26,SDC,82,,2359,7.7,16.1,.479,0.0,0.3,.133,7.7,15.8,.486,3.9,5.0,.791,3.0,6.0,8.9,3.8,1.5,0.7,3.6,5.4,19.3,,103,108
PG,26,MIL,82,,2384,9.2,18.6,.493,0.0,0.1,.167,9.1,18.5,.495,2.9,3.9,.734,1.7,4.1,5.8,7.5,3.8,0.1,4.6,5.3,21.2,,102,100
C,28,ATL,31,,363,5.5,13.2,.414,0.0,0.0,,5.5,13.2,.414,2.7,5.5,.488,5.9,6.7,12.5,1.6,1.1,2.5,3.2,9.7,13.6,,92,106
SG,30,IND,58,,1095,5.0,12.5,.397,0.8,2.5,.328,4.1,9.9,.415,2.2,2.8,.769,0.8,2.8,3.6,6.1,3.2,0.3,1.7,2.6,12.9,,107,105
SF,24,DAL,72,,1360,7.7,16.1,.479,0.3,0.7,.450,7.4,15.4,.480,4.3,5.6,.764,2.6,3.7,6.3,4.0,1.0,0.6,2.2,4.5,20.1,,111,113
PG,33,CLE,21,,128,4.8,14.5,.333,0.4,1.9,.200,4.5,12.6,.353,9.3,13.0,.714,0.7,3.7,4.5,10.4,1.9,0.0,6.3,4.8,19.3,,93,110
SG,32,TOT,47,,657,6.2,16.8,.372,0.0,0.5,.000,6.2,16.3,.383,2.4,3.9,.630,1.6,2.8,4.4,4.2,1.1,0.1,2.9,3.8,14.9,,85,108
SG,32,DAL,8,,77,4.4,17.7,.250,0.0,0.0,,4.4,17.7,.250,1.3,2.5,.500,2.5,3.2,5.7,5.7,0.6,0.0,5.7,6.3,10.1,,60,114
SG,32,WSB,39,,580,6.5,16.7,.388,0.0,0.6,.000,6.5,16.1,.402,2.6,4.0,.640,1.5,2.7,4.2,4.0,1.1,0.2,2.6,3.5,15.5,,89,107
PF,25,CLE,81,,2615,8.5,16.7,.511,0.0,0.1,.000,8.5,16.6,.513,5.3,7.4,.714,4.7,10.5,15.2,3.5,1.4,0.8,4.2,5.4,22.4,,107,106
SF,30,BOS,41,7,655,7.1,15.7,.449,0.1,1.0,.071,7.0,14.7,.475,3.9,4.9,.791,1.9,4.1,6.0,4.1,2.2,1.3,3.4,5.4,18.0,,100,103
