pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
C,39,LAL,78,78,2441,10.8,19.2,.564,0.0,0.1,.333,10.8,19.2,.565,4.7,6.6,.714,2.9,7.2,10.1,3.9,0.9,1.9,3.6,4.7,26.4,,114,107
C,32,PHO,68,40,1690,8.7,17.2,.503,0.0,0.0,.000,8.7,17.2,.504,3.7,4.7,.788,2.5,6.9,9.4,6.2,1.7,1.0,3.9,5.8,21.1,,106,109
PG,24,WSB,63,0,1303,5.9,14.5,.407,1.0,3.8,.275,4.9,10.7,.454,3.9,4.6,.847,1.4,3.1,4.5,9.0,3.1,0.2,3.0,3.2,16.7,,109,108
SF,22,PHO,62,12,711,9.7,21.9,.441,1.1,3.3,.320,8.6,18.6,.463,3.4,4.2,.797,2.7,4.3,7.0,3.0,1.8,0.5,3.6,5.0,23.8,,98,111
SF,27,DAL,80,80,2663,14.1,28.5,.495,1.0,2.7,.353,13.2,25.8,.510,7.7,10.0,.770,3.2,4.4,7.7,4.6,1.5,0.5,3.9,4.4,36.9,,114,111
SG,27,BOS,71,66,2499,8.0,16.4,.486,1.7,3.7,.443,6.3,12.7,.498,2.9,3.2,.897,1.0,3.8,4.7,7.8,2.0,0.3,2.7,3.7,20.5,,115,109
PF,23,DEN,64,25,1110,8.8,18.0,.490,0.1,0.4,.222,8.8,17.7,.495,2.7,4.1,.663,3.0,5.7,8.7,3.0,0.9,1.1,2.3,5.6,20.5,,106,111
PF,26,HOU,51,0,312,9.1,21.4,.424,0.6,2.5,.250,8.5,18.9,.447,3.4,4.5,.759,3.7,8.5,12.2,5.1,1.1,0.5,2.9,5.7,22.2,,102,106
SF,28,IND,63,0,721,9.4,19.8,.473,0.0,0.3,.000,9.4,19.5,.481,5.7,7.3,.787,4.9,5.3,10.2,3.6,2.1,0.2,3.7,4.4,24.5,,106,107
PG,26,CLE,72,67,2182,6.8,15.9,.426,0.7,2.2,.301,6.1,13.7,.447,2.5,3.0,.831,1.2,4.3,5.5,8.2,2.0,0.2,3.5,2.5,16.7,,101,108
PF,29,NJN,34,2,542,9.7,20.8,.469,0.0,0.0,,9.7,20.8,.469,5.0,7.0,.725,4.2,7.7,11.9,1.7,1.0,2.0,4.7,10.3,24.5,,97,109
PF,25,UTA,81,2,2155,10.0,22.4,.447,0.0,0.0,.000,10.0,22.3,.448,4.1,5.1,.805,3.1,6.2,9.3,2.2,0.8,1.9,2.7,3.2,24.1,,101,106
SF,32,GSW,82,7,1579,7.4,16.9,.440,0.4,1.2,.375,7.0,15.7,.445,2.0,2.7,.747,3.0,7.2,10.2,3.2,1.5,0.4,2.1,5.0,17.3,,103,111
SF,27,CHI,63,39,1822,6.8,12.7,.539,0.0,0.1,.000,6.8,12.6,.545,3.1,4.0,.767,3.2,5.3,8.5,4.7,1.4,0.5,3.1,4.8,16.8,,111,109
PF,23,PHI,68,62,2740,10.0,16.9,.594,0.4,1.9,.202,9.7,15.0,.643,7.7,10.2,.761,7.0,10.9,17.9,6.0,2.1,1.9,5.8,4.5,28.2,,119,104
SG,24,ATL,64,8,804,8.8,19.3,.457,0.0,0.6,.000,8.8,18.7,.472,5.7,7.7,.738,1.0,2.7,3.7,7.6,1.8,0.3,3.7,4.7,23.3,,107,109
C,23,PHO,50,18,979,6.8,17.2,.397,0.0,0.0,.000,6.8,17.2,.398,2.4,4.1,.581,3.8,8.0,11.8,2.7,0.9,1.8,4.1,6.0,16.1,,85,109
C,22,LAC,72,61,2230,6.7,14.9,.449,0.0,0.0,.000,6.7,14.9,.450,3.9,5.5,.715,2.8,9.5,12.3,2.8,1.3,3.9,3.9,5.3,17.4,,94,108
C,32,UTA,73,2,895,7.3,16.4,.443,0.1,0.4,.286,7.2,16.1,.447,2.4,3.0,.810,4.2,7.8,12.0,2.0,2.0,1.5,2.3,7.2,17.1,,100,102
SF-PF,22,TOT,63,45,1586,12.1,22.8,.531,0.0,0.1,.000,12.1,22.7,.533,5.6,8.6,.649,4.0,5.1,9.2,3.1,1.1,1.2,4.6,5.8,29.8,,106,112
PF,22,POR,7,0,19,14.4,19.2,.750,0.0,0.0,,14.4,19.2,.750,2.4,2.4,1.000,9.6,7.2,16.8,2.4,4.8,0.0,0.0,19.2,31.3,,166,101
SF,22,SAS,56,45,1567,12.1,22.8,.529,0.0,0.1,.000,12.1,22.7,.531,5.6,8.6,.648,4.0,5.1,9.1,3.1,1.1,1.2,4.6,5.7,29.8,,105,112
PF,25,POR,11,0,51,3.6,9.0,.400,0.0,0.0,,3.6,9.0,.400,5.4,9.0,.600,7.2,9.0,16.1,0.9,1.8,1.8,2.7,4.5,12.5,,106,105
SF,30,BOS,74,73,3005,12.7,24.2,.525,1.5,3.6,.400,11.3,20.6,.547,6.7,7.4,.910,2.0,9.0,11.0,9.2,2.2,1.1,3.9,3.0,33.6,,121,104
SG,31,NJN,7,6,127,7.1,15.6,.452,0.0,0.4,.000,7.1,15.2,.463,2.2,3.3,.667,1.1,1.5,2.6,6.3,1.1,0.0,3.3,5.9,16.3,,97,115
C,24,DAL,30,0,160,6.0,15.2,.392,0.0,0.0,,6.0,15.2,.392,3.9,8.4,.464,3.3,7.5,10.7,3.9,1.2,2.7,4.5,9.9,15.8,,85,107
SG,27,DAL,80,80,2758,10.8,21.9,.495,0.1,0.3,.333,10.8,21.6,.497,7.3,8.2,.884,1.7,3.2,4.8,4.6,1.1,0.4,3.0,2.5,29.0,,117,113
C,24,WSB,82,12,1552,3.2,7.1,.446,0.0,0.0,.000,3.2,7.1,.448,1.4,2.1,.672,2.6,8.6,11.2,0.3,0.6,9.3,1.9,5.8,7.7,,94,101
C,25,POR,5,5,163,8.4,18.5,.455,0.0,0.0,,8.4,18.5,.455,5.6,8.4,.667,3.9,5.3,9.3,2.5,0.3,2.8,4.2,5.3,22.4,,99,110
SG,29,MIL,68,2,900,4.0,11.3,.357,0.7,2.7,.260,3.3,8.7,.387,2.5,3.1,.810,1.6,3.8,5.4,3.5,5.6,0.4,1.8,6.3,11.3,,98,100
