pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
SG,30,MIL,59,0,1709,14.4,28.3,.510,1.3,3.8,.346,13.1,24.5,.535,8.8,10.5,.839,1.8,3.0,4.8,3.8,1.4,0.2,3.7,4.5,38.9,,116,112
PF,26,BOS,77,50,1082,6.1,11.3,.542,0.0,0.0,.000,6.1,11.2,.544,4.2,5.4,.773,4.2,6.0,10.2,3.1,1.5,1.9,2.5,5.7,16.4,,118,107
SF,24,CHI,82,82,3148,8.9,18.1,.489,0.4,1.8,.250,8.4,16.4,.514,3.1,4.7,.675,2.4,6.3,8.6,7.0,3.3,1.6,4.4,4.7,21.3,,103,105
C,25,SEA,79,7,1085,7.2,13.4,.540,0.0,0.1,.500,7.2,13.3,.540,2.2,4.6,.475,5.9,8.0,13.9,0.7,1.2,1.0,1.6,8.7,16.7,,116,109
PG,26,POR,80,80,2781,7.6,16.3,.462,1.5,4.0,.374,6.1,12.3,.491,7.1,8.0,.892,1.0,3.6,4.6,12.2,2.5,0.1,4.1,2.5,23.7,,122,105
SG,31,MIL,57,2,1400,8.4,17.7,.472,0.2,1.5,.140,8.1,16.2,.503,5.0,6.6,.758,2.1,4.0,6.0,8.5,2.5,0.8,3.8,5.2,22.0,,108,108
SF,26,SAC,72,10,1603,7.4,17.5,.424,1.4,4.6,.311,6.0,12.9,.464,3.4,4.4,.780,2.9,6.7,9.6,4.6,1.8,1.1,2.7,4.6,19.7,,104,109
PG,25,CLE,73,73,2706,9.1,19.9,.459,2.8,7.0,.406,6.3,12.9,.487,5.6,6.3,.888,1.2,3.5,4.7,12.4,2.1,0.1,4.0,1.7,26.7,,119,109
SG,23,NYK,31,0,193,4.8,14.7,.328,0.0,0.5,.000,4.8,14.2,.339,0.5,0.8,.667,2.3,4.8,7.1,2.8,0.8,1.0,1.0,6.8,10.1,,86,111
PF,31,TOT,74,61,1904,4.8,9.4,.509,0.0,0.1,.000,4.8,9.3,.514,2.1,3.2,.646,3.9,9.3,13.2,3.4,2.5,0.9,2.6,5.2,11.6,,106,103
PF,31,CHH,16,16,448,6.3,12.7,.500,0.0,0.1,.000,6.3,12.6,.504,3.3,6.0,.545,5.2,7.9,13.1,3.1,3.5,1.1,3.2,4.9,16.0,,102,105
PF,31,PHO,58,45,1456,4.3,8.4,.514,0.0,0.1,.000,4.3,8.4,.518,1.7,2.4,.722,3.5,9.7,13.3,3.5,2.2,0.9,2.5,5.3,10.3,,109,103
C,27,DEN,81,55,1995,10.2,20.4,.497,0.0,0.0,.000,10.2,20.4,.498,2.5,3.1,.828,4.0,9.6,13.6,1.9,0.9,2.4,1.7,6.8,22.9,,110,105
C,21,CHH,82,82,2757,6.4,14.5,.440,0.0,0.1,.000,6.4,14.4,.443,3.4,5.1,.664,3.5,8.7,12.3,1.8,1.6,1.0,3.1,5.2,16.1,,94,108
SF,34,TOT,72,28,1202,7.1,18.1,.391,0.4,1.3,.313,6.7,16.8,.398,2.2,3.5,.628,1.4,4.8,6.1,3.7,1.5,0.6,1.8,6.2,16.8,,91,111
SF,34,POR,12,1,85,7.2,18.2,.394,0.6,1.7,.333,6.6,16.6,.400,2.2,4.4,.500,0.6,3.9,4.4,4.4,1.1,1.1,0.6,9.4,17.1,,103,107
SF,34,CHH,60,27,1117,7.1,18.1,.391,0.4,1.3,.310,6.7,16.9,.397,2.2,3.4,.641,1.4,4.8,6.3,3.6,1.6,0.6,1.9,6.0,16.8,,90,111
SF,27,ORL,67,40,1817,7.8,18.8,.417,0.0,0.4,.071,7.8,18.4,.424,6.1,8.2,.742,2.3,5.9,8.2,4.6,2.4,1.6,3.5,4.1,21.8,,100,112
SF,22,MIA,77,60,2311,9.7,22.0,.439,0.3,1.4,.246,9.3,20.6,.452,1.9,2.6,.734,2.1,5.2,7.2,2.8,1.4,0.6,2.3,4.1,21.6,,98,110
PG,23,MIN,82,48,2581,8.7,18.9,.461,0.5,1.7,.277,8.2,17.2,.479,1.3,2.2,.589,1.1,3.3,4.4,11.3,2.7,0.5,2.9,2.9,19.2,,106,109
SG,24,GSW,78,78,2799,10.4,20.8,.497,0.6,1.5,.358,9.8,19.3,.508,6.6,7.6,.866,1.6,4.2,5.8,3.6,1.6,0.4,3.3,3.4,27.9,,111,115
PG,25,LAC,52,11,724,5.3,13.2,.406,0.0,0.3,.000,5.3,12.8,.417,3.9,5.2,.756,2.0,3.7,5.7,10.4,2.1,0.0,5.9,3.5,14.6,,91,110
PG,28,ATL,48,44,1526,7.2,15.8,.454,0.8,2.2,.364,6.4,13.6,.469,4.5,5.6,.812,1.5,5.0,6.6,8.7,3.8,0.7,3.2,5.0,19.6,,114,108
PF,29,MIL,82,66,2235,7.2,14.6,.495,0.0,0.2,.182,7.2,14.3,.501,4.3,5.5,.783,2.3,4.5,6.8,3.2,1.2,0.5,2.8,4.6,18.8,,108,111
SG,27,MIL,81,81,2599,9.0,17.8,.503,0.1,0.5,.154,8.9,17.3,.513,3.7,5.0,.741,4.3,6.2,10.5,8.4,3.9,0.3,4.1,5.3,21.7,,110,104
PF,23,POR,82,0,1565,8.9,22.5,.397,0.4,1.3,.273,8.6,21.2,.405,4.1,7.5,.550,3.3,5.9,9.2,2.2,1.6,1.6,3.9,6.8,22.4,,90,104
C,24,SAS,82,81,3002,11.2,21.1,.531,0.0,0.0,.000,11.2,21.1,.532,10.0,13.6,.732,4.9,11.0,16.0,2.7,2.2,5.2,4.2,4.2,32.4,,116,97
SF,28,DET,82,43,2377,6.2,10.6,.581,0.0,0.2,.111,6.1,10.4,.589,3.0,4.6,.654,7.2,9.8,16.9,1.5,1.1,1.3,1.9,5.9,15.4,,125,101
C,34,CLE,48,19,674,4.3,9.4,.456,0.0,0.1,.000,4.3,9.3,.460,0.8,1.2,.688,4.3,7.1,11.5,1.8,1.0,4.0,2.6,6.2,9.4,,95,105
C,22,WSB,42,0,412,4.3,10.1,.430,0.0,0.1,.000,4.3,10.0,.435,0.8,1.6,.500,5.2,8.9,14.1,2.3,0.9,1.5,1.9,8.2,9.5,,100,108
SF,26,MIN,71,3,1061,7.9,20.9,.379,0.9,2.6,.346,7.0,18.3,.383,7.5,10.0,.746,1.7,3.9,5.6,5.7,2.5,0.3,4.2,7.2,24.1,,98,109
PF,29,MIA,14,0,112,5.9,13.6,.438,0.0,0.0,,5.9,13.6,.438,9.3,11.0,.846,7.2,5.1,12.3,2.1,0.4,0.8,4.2,8.1,21.2,,112,112
PF,24,CHH,44,2,559,6.8,15.7,.436,0.1,0.2,.500,6.7,15.5,.435,6.0,7.3,.819,3.9,7.6,11.5,1.9,1.6,1.0,2.2,5.1,19.7,,107,109
SF,23,MIN,66,0,746,8.3,18.0,.459,0.0,0.1,.000,8.3,17.9,.461,10.8,13.9,.777,4.9,4.8,9.7,3.0,2.3,0.6,5.7,7.6,27.3,,105,109
PG,27,UTA,77,2,850,6.5,15.2,.429,0.9,3.3,.286,5.6,11.9,.468,2.1,3.1,.660,0.7,2.5,3.2,10.4,1.3,0.1,5.2,4.8,16.0,,94,110
PF,25,DET,82,12,1914,5.6,10.8,.512,0.0,0.1,.250,5.5,10.7,.515,4.6,6.5,.713,4.1,7.6,11.7,1.8,1.4,4.1,2.6,7.5,15.8,,113,100
C,29,SAC,26,7,417,5.7,15.4,.372,0.1,0.5,.250,5.6,14.9,.376,1.4,2.7,.522,1.3,8.7,10.0,3.3,1.7,2.6,4.0,7.9,13.0,,74,106
PF,24,CHI,31,0,182,3.5,10.9,.325,0.0,0.0,,3.5,10.9,.325,0.5,1.1,.500,4.6,6.0,10.6,2.5,1.1,1.1,4.1,7.4,7.6,,74,110
SF,29,IND,82,13,1531,7.3,15.5,.470,0.2,0.5,.357,7.1,15.0,.473,1.8,2.4,.733,2.5,4.9,7.4,2.9,1.4,0.7,2.6,7.1,16.5,,100,112
C,30,DEN,53,22,1194,6.2,12.6,.494,0.0,0.2,.000,6.2,12.4,.500,8.6,10.1,.852,4.5,8.6,13.0,2.3,1.6,1.7,2.7,7.6,21.0,,122,105
PF,27,IND,78,18,2573,8.2,15.8,.516,0.3,0.9,.354,7.8,14.9,.526,7.7,9.4,.820,2.9,9.1,11.9,4.7,1.1,0.3,3.5,5.2,24.4,,119,110
SG,28,LAL,77,77,2593,9.1,19.3,.470,1.8,4.2,.423,7.3,15.1,.483,3.1,4.0,.766,1.0,3.7,4.7,5.3,1.5,0.6,2.3,3.5,23.0,,112,110
C,24,MIA,74,72,2409,9.6,19.1,.502,0.0,0.0,.000,9.6,19.1,.503,5.1,8.5,.594,5.0,10.1,15.1,1.5,1.5,2.4,4.7,5.1,24.2,,99,105
PF,27,TOT,59,0,700,7.5,18.4,.406,0.0,0.4,.000,7.5,18.0,.414,4.2,5.3,.795,2.8,3.6,6.4,2.4,1.2,1.6,3.3,5.4,19.1,,96,112
PF,27,SEA,45,0,587,7.2,17.0,.424,0.0,0.3,.000,7.2,16.7,.431,4.2,5.2,.803,2.7,3.3,6.0,2.7,0.9,1.6,2.9,5.4,18.6,,102,113
PF,27,MIN,14,0,113,8.9,26.1,.339,0.0,0.9,.000,8.9,25.2,.352,4.2,5.6,.750,3.7,5.1,8.9,0.5,2.8,1.4,5.6,5.1,21.9,,75,107
C,23,NJN,70,37,1557,7.7,16.6,.462,0.0,0.0,.000,7.7,16.6,.463,2.5,3.6,.687,5.6,9.3,14.9,1.7,1.2,1.1,3.6,5.7,17.8,,98,107
