pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
PF,24,TOT,75,52,1311,9.4,18.2,.518,0.0,0.0,.000,9.4,18.2,.519,3.4,4.5,.759,4.9,8.1,13.0,1.0,1.0,1.0,3.7,7.3,22.3,,104,108
PF,24,MIL,12,0,159,8.2,17.6,.464,0.0,0.3,.000,8.2,17.3,.473,3.8,5.0,.750,3.8,7.9,11.6,3.1,1.9,1.3,4.1,7.5,20.1,,97,108
PF,24,BOS,63,52,1152,9.6,18.3,.525,0.0,0.0,,9.6,18.3,.525,3.3,4.4,.760,5.0,8.2,13.2,0.7,0.8,1.0,3.7,7.2,22.6,,105,108
PG,23,DEN,81,81,2710,11.2,25.0,.450,1.2,3.5,.355,10.0,21.5,.465,3.9,4.1,.935,0.9,3.1,4.0,6.1,1.5,0.1,3.3,3.2,27.6,,107,110
C,30,TOT,18,7,269,4.8,9.0,.531,0.2,0.4,.500,4.6,8.6,.532,2.0,2.9,.688,4.8,7.5,12.3,0.9,0.5,1.1,2.4,6.2,11.7,,107,111
C,30,HOU,6,0,23,4.4,19.9,.222,2.2,4.4,.500,2.2,15.5,.143,2.2,4.4,.500,4.4,8.8,13.3,0.0,0.0,0.0,4.4,4.4,13.3,,65,108
C,30,WSB,12,7,246,4.8,8.0,.600,0.0,0.0,,4.8,8.0,.600,2.0,2.8,.714,4.8,7.4,12.2,1.0,0.6,1.2,2.2,6.4,11.6,,115,112
PG,30,WSB,70,70,2499,7.2,16.3,.439,1.3,4.2,.321,5.8,12.2,.480,4.7,5.4,.856,1.0,3.7,4.7,10.3,2.0,0.1,3.4,2.9,20.4,,110,113
SF,28,NJN,68,15,1164,7.8,17.6,.443,0.3,1.5,.206,7.5,16.2,.464,2.4,3.0,.814,1.9,3.7,5.7,2.3,1.0,0.5,2.7,5.4,18.4,,98,109
SF,33,DET,51,15,1056,9.1,20.6,.443,1.5,4.0,.361,7.7,16.5,.463,4.8,6.3,.767,2.1,5.3,7.4,5.1,0.8,0.3,3.3,4.9,24.5,,108,111
SG,33,PHO,80,0,2163,7.5,16.2,.462,3.3,8.3,.403,4.2,8.0,.522,2.7,3.2,.848,1.1,3.7,4.8,5.8,1.5,0.2,2.5,3.9,21.1,,120,110
C,23,GSW,72,59,1753,9.5,18.4,.516,0.3,0.6,.455,9.2,17.7,.518,3.1,4.5,.685,3.6,7.9,11.6,2.6,0.9,1.5,3.3,6.0,22.3,,107,110
PF,22,NYK,16,0,44,5.8,20.8,.278,0.0,0.0,,5.8,20.8,.278,12.7,15.0,.846,6.9,9.2,16.2,3.5,3.5,1.2,5.8,16.2,24.2,,94,93
PG,22,NJN,55,55,2010,9.2,21.1,.435,0.2,0.6,.280,9.0,20.5,.440,4.5,5.8,.776,1.3,4.4,5.6,11.2,2.4,0.3,3.8,3.5,23.1,,106,106
SG,25,ORL,79,76,2920,10.1,22.6,.449,1.5,4.3,.353,8.6,18.4,.471,5.1,6.9,.741,2.1,6.1,8.1,4.5,2.2,1.0,2.8,3.4,26.9,,109,106
SF,34,PHI,69,0,1263,8.7,21.0,.414,1.5,4.6,.325,7.2,16.4,.439,2.8,3.4,.809,2.4,4.7,7.1,3.6,1.2,0.2,2.4,2.9,21.7,,99,113
SG,26,SAS,38,7,560,7.2,16.7,.430,0.1,0.7,.125,7.1,16.0,.444,2.0,2.5,.786,0.6,4.5,5.1,7.1,1.3,0.5,4.0,4.7,16.4,,91,110
PG,25,NYK,70,35,1699,5.2,12.5,.415,0.1,0.9,.133,5.1,11.6,.437,3.2,4.8,.673,1.3,3.8,5.1,11.9,3.4,0.4,3.1,4.2,13.7,,105,99
PG,25,CHI,82,74,2492,8.5,17.0,.499,1.3,2.9,.453,7.2,14.1,.508,2.7,3.1,.861,0.6,2.5,3.1,6.9,1.4,0.1,1.7,3.5,21.0,,123,111
