pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
C,41,LAL,74,74,1695,8.9,18.6,.475,0.0,0.1,.000,8.9,18.6,.477,3.5,4.7,.739,2.9,6.5,9.4,2.1,1.1,2.4,2.7,5.5,21.2,,104,107
C,26,BOS,62,0,632,4.3,8.8,.482,0.1,0.1,1.000,4.2,8.7,.478,2.0,3.7,.542,4.6,6.7,11.3,1.5,1.5,0.5,1.8,7.3,10.6,,108,110
PG,26,DEN,77,77,2787,7.5,17.3,.433,2.7,7.5,.356,4.8,9.9,.490,5.2,6.3,.819,1.1,3.4,4.5,7.8,2.7,0.2,2.9,2.4,22.8,,115,108
SF,29,TOT,80,76,2597,11.3,24.5,.461,1.0,3.4,.293,10.3,21.2,.488,5.6,7.6,.733,2.8,4.6,7.5,5.4,0.9,0.7,4.0,4.4,29.2,,105,110
SF,29,DAL,44,44,1529,12.2,27.2,.450,0.9,3.2,.293,11.3,23.9,.471,5.8,8.0,.730,2.9,4.7,7.7,6.2,0.9,0.9,4.6,4.2,31.2,,102,111
SF,29,DET,36,32,1068,10.0,20.8,.483,1.0,3.5,.293,9.0,17.2,.522,5.2,7.0,.738,2.6,4.5,7.1,4.2,0.8,0.3,3.2,4.8,26.3,,111,108
PG,29,TOT,73,54,2377,9.8,21.4,.457,2.4,6.2,.380,7.4,15.2,.488,4.2,4.9,.854,1.4,3.7,5.2,8.2,1.9,0.2,3.0,3.8,26.1,,116,111
PG,29,BOS,45,28,1349,9.8,21.4,.460,2.1,5.6,.374,7.7,15.7,.491,4.1,4.6,.891,1.3,4.2,5.6,7.8,1.9,0.0,3.0,3.9,25.9,,116,111
PG,29,SAC,28,26,1028,9.7,21.5,.452,2.7,7.0,.387,7.0,14.5,.484,4.2,5.2,.813,1.6,3.1,4.7,8.7,1.9,0.3,2.9,3.6,26.3,,116,112
PF,25,WSB,74,5,1141,8.6,18.0,.478,0.5,1.6,.342,8.1,16.4,.491,3.0,3.6,.839,4.3,6.3,10.6,2.6,1.0,0.9,2.6,6.7,20.8,,109,109
PG,24,TOT,66,3,906,7.3,16.1,.457,1.0,2.7,.364,6.3,13.3,.476,2.5,3.0,.820,0.5,3.1,3.6,4.6,2.2,0.1,2.2,2.8,18.2,,107,110
PG,24,DAL,9,0,38,4.0,14.5,.273,0.0,2.6,.000,4.0,11.9,.333,1.3,2.6,.500,0.0,4.0,4.0,11.9,1.3,0.0,1.3,4.0,9.2,,87,112
PG,24,GSW,57,3,868,7.5,16.1,.463,1.0,2.7,.377,6.4,13.4,.481,2.5,3.0,.831,0.5,3.0,3.6,4.3,2.3,0.2,2.3,2.8,18.5,,108,110
SG,24,SAC,7,0,43,8.9,21.1,.421,0.0,1.1,.000,8.9,20.0,.444,1.1,2.2,.500,3.3,4.4,7.8,0.0,1.1,1.1,2.2,7.8,18.9,,88,112
PF,24,SAS,82,56,2401,8.8,17.5,.503,0.0,0.1,.000,8.8,17.5,.505,4.0,7.7,.514,4.9,8.1,13.0,1.2,2.0,2.0,3.5,4.2,21.6,,100,106
PG,22,SAS,36,12,730,4.6,11.0,.417,0.1,0.4,.143,4.5,10.6,.429,3.6,5.2,.695,2.8,2.8,5.6,9.7,2.8,0.2,5.3,4.0,12.9,,93,109
PF,28,POR,72,3,1082,6.2,14.9,.417,2.1,6.0,.348,4.1,8.8,.464,1.4,1.6,.842,2.6,7.2,9.9,4.2,1.9,0.5,2.3,4.3,15.8,,109,107
SF,30,PHI,82,12,2618,10.5,21.4,.491,0.0,0.2,.182,10.5,21.2,.494,3.6,4.3,.856,3.1,4.4,7.6,2.6,1.3,0.4,2.3,3.1,24.7,,110,114
SF,22,SAS,81,79,2738,10.8,21.6,.498,0.1,0.4,.190,10.7,21.3,.503,3.8,4.9,.775,2.6,4.5,7.0,6.3,2.5,1.0,4.4,5.0,25.4,,105,108
PG,28,NJN,68,20,1642,5.8,14.0,.416,0.3,1.6,.204,5.5,12.5,.443,2.6,3.6,.724,1.1,3.2,4.2,11.4,2.1,0.1,4.6,3.4,14.6,,96,111
SF,27,UTA,82,3,2777,10.9,22.4,.483,0.0,0.1,.400,10.8,22.4,.484,6.4,7.8,.825,2.0,5.9,7.9,2.4,0.8,1.6,3.7,3.3,28.1,,105,104
SF,34,SEA,2,0,15,3.2,25.6,.125,0.0,3.2,.000,3.2,22.4,.143,12.8,12.8,1.000,6.4,16.0,22.4,0.0,0.0,0.0,0.0,9.6,19.2,,93,106
PF,28,LAC,9,2,130,7.8,12.7,.611,0.0,0.4,.000,7.8,12.4,.629,10.6,18.7,.566,2.1,9.5,11.7,1.1,2.5,0.7,2.8,6.0,26.2,,116,106
PF,25,PHI,79,79,3088,11.0,19.1,.579,0.6,2.6,.216,10.5,16.5,.636,9.5,12.6,.753,6.4,9.2,15.6,5.1,2.0,1.1,4.0,4.1,32.1,,127,108
SG,26,ATL,82,0,1672,8.4,18.3,.457,0.3,1.0,.324,8.1,17.3,.465,5.7,6.9,.815,0.9,3.2,4.1,5.8,1.2,0.3,3.0,3.6,22.7,,110,112
C,24,LAC,79,62,2585,8.7,16.1,.541,0.0,0.0,.000,8.7,16.1,.543,5.6,7.6,.744,2.9,9.5,12.4,2.8,1.0,3.9,4.2,3.9,23.1,,106,107
SG,24,SAC,64,21,1406,8.7,19.3,.450,2.2,5.4,.406,6.5,13.8,.467,4.5,5.6,.789,1.9,4.8,6.7,2.7,1.3,0.7,2.8,6.7,24.0,,109,111
PF,24,TOT,69,31,1355,8.9,17.6,.507,0.0,0.1,.500,8.9,17.5,.507,3.5,5.0,.699,3.0,6.3,9.4,2.7,1.0,1.7,3.1,6.4,21.3,,105,108
PF,24,NJN,29,17,556,9.3,19.9,.468,0.0,0.0,,9.3,19.9,.468,3.7,5.4,.683,2.8,7.2,9.9,1.7,0.9,1.1,3.5,6.0,22.3,,98,110
PF,24,HOU,40,14,799,8.6,15.9,.541,0.1,0.1,.500,8.6,15.8,.541,3.4,4.7,.713,3.2,5.8,9.0,3.4,1.1,2.1,2.9,6.7,20.7,,112,106
SF,32,BOS,6,6,189,12.7,26.9,.471,0.0,0.0,,12.7,26.9,.471,4.7,4.9,.947,0.3,9.3,9.6,7.5,1.6,1.3,2.8,4.7,30.0,,110,107
SG,33,BOS,13,0,108,8.2,16.3,.500,0.5,1.4,.333,7.7,14.9,.515,0.0,0.9,.000,1.8,4.1,5.9,4.1,1.4,0.5,5.4,4.5,16.8,,85,112
C,26,DAL,37,0,208,5.8,12.5,.462,0.0,0.0,,5.8,12.5,.462,4.8,6.0,.800,2.6,7.9,10.6,2.9,0.7,3.1,3.4,8.7,16.4,,102,107
SG,29,DAL,78,78,2946,10.1,21.2,.476,0.5,1.4,.353,9.6,19.8,.485,5.4,6.3,.854,1.2,3.5,4.6,4.9,1.1,0.3,2.8,2.3,26.1,,110,112
PG,24,CHH,79,21,1755,4.9,11.4,.426,0.0,0.4,.077,4.8,11.0,.437,1.8,2.4,.750,1.4,3.1,4.5,16.9,3.0,0.2,3.4,3.8,11.5,,108,112
C,26,GSW,80,4,1769,3.2,8.7,.369,0.5,2.3,.220,2.7,6.4,.423,1.0,1.7,.606,2.9,8.7,11.7,0.7,0.3,8.7,2.0,5.7,7.9,,88,103
SG,25,SAS,18,5,438,7.6,15.2,.500,0.1,0.5,.200,7.5,14.6,.511,1.1,1.6,.667,2.6,3.3,5.9,3.1,1.9,0.4,2.3,4.5,16.3,,104,111
C,27,POR,20,0,412,7.7,17.2,.451,0.6,0.8,.714,7.2,16.4,.438,3.1,5.5,.571,4.0,7.8,11.9,4.0,0.8,3.7,3.7,4.8,19.2,,100,106
SG,31,ATL,38,0,267,5.1,15.7,.326,1.5,5.7,.258,3.7,10.1,.364,1.5,2.9,.500,1.3,4.6,5.8,4.4,2.9,0.4,2.6,7.5,13.2,,88,107
SF,25,POR,67,4,811,11.5,24.8,.463,0.4,1.8,.226,11.1,23.1,.481,5.0,6.8,.725,3.6,3.9,7.5,3.4,2.6,0.2,3.6,5.6,28.4,,105,109
C,28,MIL,48,4,513,8.2,17.0,.480,0.0,0.0,,8.2,17.0,.480,2.7,4.8,.549,4.8,8.0,12.8,2.1,0.9,3.5,2.8,5.6,19.0,,102,105
C,29,SAS,64,60,1822,8.5,16.5,.515,0.0,0.1,.000,8.5,16.5,.517,5.1,7.1,.715,3.7,6.5,10.3,3.3,2.6,0.9,4.2,6.4,22.1,,105,106
PG,23,PHI,82,6,1372,5.5,13.2,.420,2.0,5.4,.359,3.6,7.7,.463,2.2,2.4,.884,0.7,2.7,3.3,10.9,2.4,0.1,2.3,4.1,15.2,,118,113
C,25,UTA,66,16,1051,4.8,11.6,.419,0.0,0.0,,4.8,11.6,.419,4.3,6.1,.708,4.3,7.7,12.0,1.9,1.2,0.8,3.6,6.2,14.0,,96,102
SF-SG,28,TOT,43,0,365,6.6,15.6,.424,0.5,2.1,.250,6.1,13.5,.451,3.2,4.1,.774,2.9,2.9,5.8,3.4,2.0,0.5,2.2,5.6,16.9,,104,108
SG,28,HOU,14,0,91,7.3,23.3,.311,1.0,4.7,.222,6.2,18.7,.333,3.1,4.1,.750,3.6,4.1,7.8,2.6,1.6,0.0,3.6,7.3,18.7,,82,108
SF,28,MIL,29,0,274,6.4,13.0,.493,0.4,1.2,.286,6.0,11.7,.515,3.2,4.1,.783,2.7,2.5,5.2,3.7,2.1,0.7,1.8,5.0,16.4,,117,109
PF,23,POR,56,32,803,6.9,14.2,.486,0.0,0.0,,6.9,14.2,.486,2.3,4.0,.580,3.7,6.6,10.3,1.9,1.2,0.4,2.4,8.3,16.1,,104,109
C,22,NYK,33,0,140,6.6,15.8,.417,0.0,1.0,.000,6.6,14.8,.444,5.3,6.6,.800,3.0,6.2,9.2,0.7,0.3,0.7,5.6,9.2,18.4,,87,111
PF,27,SEA,80,71,2536,5.9,11.9,.498,0.0,0.1,.000,5.9,11.8,.502,3.7,5.0,.743,5.2,9.2,14.5,2.4,1.7,1.0,2.3,3.5,15.6,,116,107
SF,26,LAL,63,2,787,9.6,21.0,.458,0.1,1.3,.095,9.5,19.7,.481,4.3,5.1,.843,3.2,4.7,7.9,2.9,2.3,0.4,3.8,6.6,23.6,,101,107
PF,27,ATL,78,12,1488,7.4,15.4,.480,0.0,0.0,.000,7.4,15.4,.481,4.3,5.0,.855,3.5,5.5,9.0,3.0,1.0,2.0,2.7,7.2,19.1,,112,109
C,30,NJN,64,62,1996,8.7,19.5,.448,0.0,0.0,,8.7,19.5,.448,4.2,5.3,.800,2.8,8.5,11.4,2.5,1.7,1.9,3.4,4.6,21.7,,99,107
C,31,CHI,78,76,2333,7.7,16.3,.475,0.0,0.0,,7.7,16.3,.475,5.0,6.5,.766,3.2,7.8,11.0,1.9,0.4,0.9,4.0,5.0,20.5,,100,109
PF,25,WSB,79,77,2077,7.7,15.6,.490,0.0,0.1,.200,7.6,15.5,.493,3.5,5.8,.602,5.3,7.8,13.1,1.7,1.1,0.6,2.7,5.7,18.8,,105,109
C,29,NJN,5,0,16,6.0,9.0,.667,0.0,0.0,,6.0,9.0,.667,6.0,15.0,.400,0.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,18.0,,79,108
PF,29,PHO,81,81,3002,11.8,25.1,.471,0.4,1.3,.326,11.4,23.8,.479,7.8,9.1,.851,2.2,8.3,10.5,3.5,1.3,0.8,3.5,4.1,31.9,,110,105
SF,24,SEA,2,0,4,0.0,36.0,.000,0.0,12.0,.000,0.0,24.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,0.0,,0,117
SG,21,CHH,75,44,2219,11.3,27.4,.414,1.3,4.1,.314,10.1,23.3,.431,3.3,4.2,.795,1.6,2.4,4.0,3.8,1.5,0.5,2.4,3.6,27.3,,97,115
PG,32,PHI,71,70,2298,7.1,14.8,.483,0.0,0.3,.077,7.1,14.5,.490,3.2,4.1,.774,0.8,3.1,3.9,11.7,2.2,0.4,2.5,2.4,17.5,,117,113
SF,21,HOU,81,1,1539,8.5,19.4,.437,0.2,0.7,.208,8.3,18.7,.446,5.9,7.5,.783,3.5,4.4,7.8,2.4,1.5,0.3,4.2,4.9,23.0,,99,108
PF,27,PHI,58,11,703,8.1,16.7,.485,0.0,0.0,,8.1,16.7,.485,4.2,5.3,.792,3.4,8.9,12.3,1.2,0.7,1.2,3.3,8.3,20.4,,103,111
PG,26,WSB,80,5,1425,6.8,15.3,.444,0.1,0.8,.120,6.7,14.4,.463,4.2,5.6,.749,2.1,4.0,6.1,7.5,2.3,0.5,2.1,5.3,17.8,,111,109
PF,24,SAS,67,10,1119,6.8,14.0,.487,0.0,0.1,.000,6.8,14.0,.490,4.4,6.6,.658,4.6,5.0,9.6,1.2,1.7,2.6,3.5,6.6,18.0,,101,108
PG,29,NJN,82,63,2532,5.9,12.8,.457,0.2,0.7,.351,5.6,12.1,.463,4.0,5.1,.788,1.9,4.8,6.7,11.4,3.4,0.1,3.4,2.5,16.0,,112,108
