pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
C,36,LAL,80,80,2622,12.6,21.9,.578,0.0,0.0,.000,12.6,21.8,.579,5.0,7.0,.723,3.0,7.4,10.4,3.7,1.0,2.5,3.9,3.7,30.3,,115,107
C,29,PHO,70,13,1452,8.8,19.0,.462,0.0,0.1,.000,8.8,18.8,.465,4.3,5.2,.825,3.8,6.6,10.4,7.1,2.4,1.0,3.8,6.4,21.8,,107,106
SF,24,DAL,79,79,2900,15.5,29.5,.524,0.3,0.9,.268,15.2,28.6,.532,7.8,10.4,.749,2.7,5.2,7.8,6.0,1.3,0.4,4.8,4.1,39.0,,112,111
SG,24,BOS,71,3,1154,6.9,15.1,.460,0.3,0.9,.273,6.7,14.1,.472,1.9,2.3,.821,1.2,3.6,4.8,6.8,1.7,0.2,2.9,6.0,16.0,,104,107
SF,23,UTA,48,0,311,8.1,19.1,.423,0.0,0.4,.000,8.1,18.7,.433,1.8,4.3,.414,5.6,3.7,9.3,3.2,2.2,1.3,2.9,4.1,17.9,,94,108
PF,23,DEN,78,17,1380,8.6,20.1,.426,0.1,0.6,.158,8.5,19.5,.435,3.7,4.7,.773,4.3,8.5,12.8,6.1,1.4,0.9,3.4,5.8,20.9,,101,110
PG,35,MIL,46,46,1038,6.5,13.3,.487,0.2,0.9,.222,6.3,12.5,.506,3.1,4.8,.634,0.8,2.9,3.6,7.6,1.6,0.0,3.7,3.7,16.2,,102,107
SF,22,DET,7,0,28,9.9,21.5,.462,0.0,0.0,,9.9,21.5,.462,0.0,0.0,,3.3,1.7,5.0,1.7,1.7,1.7,5.0,11.6,19.8,,85,110
PG,23,CLE,76,19,1712,7.4,17.5,.423,0.1,0.5,.118,7.3,17.0,.432,4.5,5.7,.793,1.4,3.1,4.5,9.6,2.2,0.1,4.9,3.3,19.4,,97,110
PF,26,HOU,73,0,1174,9.9,20.2,.491,0.0,0.0,.000,9.9,20.1,.492,5.4,7.5,.719,4.1,7.4,11.5,3.1,1.3,1.6,3.9,7.7,25.2,,105,107
