pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
C,38,LAL,79,79,2629,13.4,23.8,.564,0.0,0.0,.000,13.4,23.7,.565,6.0,7.8,.765,2.4,6.1,8.5,5.0,1.2,2.3,3.6,4.4,32.8,,118,106
C,31,PHO,78,45,2005,7.8,15.5,.502,0.0,0.0,.000,7.8,15.5,.504,3.6,4.6,.783,3.4,7.5,10.9,7.4,2.4,1.1,4.7,6.2,19.2,,104,105
PG,23,SAC,18,0,139,5.4,14.9,.364,0.0,1.0,.000,5.4,13.9,.390,2.7,4.1,.667,0.7,1.4,2.0,7.5,3.0,0.3,3.7,3.0,13.5,,86,109
SF,26,DAL,74,73,2501,12.5,24.9,.503,0.3,1.1,.286,12.2,23.9,.513,6.0,8.5,.705,3.3,5.0,8.4,6.4,1.2,0.3,4.7,4.3,31.4,,107,113
SG,26,BOS,80,78,2407,7.0,13.8,.504,0.5,1.4,.356,6.4,12.4,.521,2.4,2.7,.904,0.9,3.7,4.6,8.0,1.9,0.1,2.5,4.0,16.8,,115,105
SF,27,TOT,77,30,1676,8.8,17.8,.494,0.1,0.3,.222,8.7,17.6,.498,2.4,3.6,.669,3.7,4.1,7.8,4.1,1.6,0.2,2.3,3.5,20.1,,107,108
SF,27,CLE,17,3,207,8.4,16.9,.500,0.0,0.2,.000,8.4,16.7,.507,2.7,3.7,.750,1.1,4.8,5.9,1.8,0.2,0.0,1.4,4.6,19.6,,109,113
SF,27,IND,60,27,1469,8.8,17.9,.493,0.1,0.3,.250,8.8,17.7,.496,2.4,3.6,.658,4.0,4.0,8.0,4.4,1.8,0.2,2.5,3.4,20.1,,107,108
PG,25,CLE,78,77,2472,7.0,16.5,.423,0.2,0.7,.243,6.8,15.8,.431,3.2,4.1,.791,1.5,3.8,5.3,14.0,2.3,0.2,4.6,3.2,17.4,,102,109
PF,28,NYK,48,36,1245,7.9,17.3,.456,0.0,0.2,.000,7.9,17.2,.460,5.0,6.5,.772,4.0,9.1,13.1,2.0,1.3,1.6,3.9,8.1,20.8,,98,103
PF,24,UTA,82,13,2358,9.5,21.2,.448,0.0,0.1,.000,9.5,21.1,.451,4.5,5.5,.830,2.9,6.8,9.7,3.0,0.8,2.2,2.8,3.2,23.6,,102,105
SF,31,GSW,75,14,1792,7.0,14.7,.477,0.4,0.9,.486,6.6,13.8,.477,2.6,3.2,.802,3.4,7.3,10.7,2.1,1.7,0.2,1.4,4.5,17.0,,115,111
