pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
C,37,LAL,79,79,2630,12.8,21.3,.599,0.0,0.0,.000,12.8,21.3,.600,5.1,7.0,.732,2.9,8.1,11.0,4.4,1.1,2.9,3.5,4.2,30.7,,120,105
PF,30,PHO,82,69,2136,10.4,20.1,.520,0.0,0.0,,10.4,20.1,.520,5.5,6.2,.883,3.4,7.6,11.0,6.8,2.5,1.1,4.3,5.6,26.4,,111,104
SF,25,DAL,80,79,2699,14.3,28.2,.506,0.5,1.5,.318,13.8,26.7,.517,7.9,10.4,.759,3.4,5.2,8.6,4.5,1.1,0.4,4.6,4.5,37.0,,110,111
SG,25,BOS,75,73,2564,7.7,14.6,.529,0.3,1.0,.268,7.4,13.6,.549,2.2,2.5,.868,1.4,3.5,4.9,7.4,2.2,0.1,2.7,4.2,17.9,,115,108
C,25,GSW,74,4,1114,6.7,14.1,.478,0.0,0.0,.000,6.7,14.0,.479,2.3,3.1,.733,3.6,7.6,11.3,1.5,0.6,0.6,3.0,7.1,15.7,,100,114
SF,24,UTA,44,0,457,6.1,14.9,.409,0.0,0.2,.000,6.1,14.7,.415,2.7,4.5,.600,2.9,5.3,8.2,2.1,2.9,0.9,3.2,7.0,14.9,,87,102
SF,26,CLE,36,7,520,7.6,17.7,.431,0.1,0.2,.500,7.5,17.5,.430,3.7,4.5,.820,3.5,4.4,8.0,3.1,0.8,0.6,3.1,3.6,19.0,,100,112
PG,24,CLE,81,65,2401,6.6,13.6,.488,0.1,0.5,.115,6.6,13.1,.502,2.5,3.3,.749,1.1,4.6,5.7,13.7,2.5,0.1,4.1,2.6,15.8,,108,108
PF,27,NYK,74,28,1297,5.8,13.0,.447,0.0,0.0,.000,5.8,12.9,.448,2.7,4.0,.676,4.5,8.3,12.8,1.5,1.1,1.9,3.7,10.6,14.3,,93,107
PF,23,UTA,80,68,2481,9.3,19.0,.490,0.0,0.0,1.000,9.3,19.0,.490,3.6,4.3,.842,2.8,6.8,9.7,2.5,0.9,1.9,2.8,4.0,22.3,,105,104
SF,30,WSB,82,77,2664,8.4,17.6,.480,0.3,0.8,.304,8.2,16.7,.488,2.2,2.7,.795,2.7,6.8,9.5,3.7,1.8,0.6,1.9,4.0,19.3,,107,104
SF,25,SAS,82,41,2091,6.4,10.9,.586,0.0,0.1,.333,6.4,10.8,.588,4.4,5.7,.774,2.9,6.9,9.8,5.2,1.4,0.3,3.1,4.9,17.2,,120,109
PF,24,NYK,75,50,1404,7.2,15.3,.470,0.0,0.0,,7.2,15.3,.470,3.1,6.6,.474,3.7,7.6,11.3,1.3,1.3,1.4,4.8,9.6,17.5,,86,108
PF,21,PHI,82,60,2347,8.7,15.9,.545,0.0,0.1,.167,8.6,15.8,.548,5.9,8.1,.733,5.4,8.9,14.3,3.1,1.9,1.6,4.2,6.1,23.3,,114,105
C,30,DET,72,35,1401,6.6,13.0,.506,0.0,0.1,.000,6.6,12.9,.510,2.5,3.1,.809,3.4,7.2,10.6,3.0,1.7,1.4,2.2,6.8,15.6,,112,106
SF,28,BOS,80,77,3161,13.7,26.3,.522,0.8,2.0,.427,12.9,24.3,.529,6.0,6.8,.882,2.5,10.1,12.6,7.9,1.9,1.5,3.7,3.1,34.3,,119,103
SG,29,NJN,56,45,1842,12.8,25.0,.511,0.1,0.5,.190,12.7,24.4,.518,4.2,6.7,.622,1.5,2.3,3.8,6.0,2.2,0.2,3.0,3.7,29.8,,109,110
SG,25,DAL,81,80,2834,10.7,21.1,.508,0.1,0.3,.300,10.6,20.7,.512,5.9,7.1,.828,1.8,3.3,5.1,5.0,1.0,0.3,2.8,1.6,27.4,,115,112
SF,21,SEA,60,0,551,7.6,20.8,.367,0.0,0.2,.000,7.6,20.6,.370,2.5,4.8,.509,3.7,4.7,8.4,2.3,2.2,0.3,3.9,4.8,17.7,,79,108
C,23,POR,76,62,2216,6.3,11.7,.537,0.0,0.0,,6.3,11.7,.537,3.3,4.7,.711,4.3,9.4,13.7,4.5,1.2,4.2,3.6,5.8,15.9,,110,103
SG,27,WSB,73,24,1232,5.5,11.6,.475,0.8,2.5,.313,4.7,9.1,.519,2.1,3.1,.684,1.3,3.9,5.2,6.7,3.7,0.8,3.3,5.9,13.9,,102,102
PG,29,GSW,56,6,746,6.6,15.6,.424,0.4,1.6,.231,6.2,14.0,.446,4.3,5.1,.841,0.7,2.9,3.6,7.6,2.9,0.2,3.4,4.7,17.9,,104,113
C,24,MIL,78,0,1083,7.2,14.1,.511,0.0,0.0,,7.2,14.1,.511,4.0,5.6,.701,4.1,7.3,11.4,1.8,0.9,3.6,2.8,8.0,18.4,,110,102
SG,29,TOT,20,0,326,9.0,17.1,.525,0.0,0.3,.000,9.0,16.8,.534,3.3,3.6,.920,1.3,1.7,3.0,2.5,0.9,0.9,1.3,3.3,21.3,,119,113
SG,29,SAS,9,0,81,7.4,19.4,.382,0.0,0.0,,7.4,19.4,.382,4.0,4.0,1.000,0.6,1.1,1.7,3.4,0.6,0.6,2.3,4.6,18.8,,96,115
SG,29,NJN,11,0,245,9.5,16.3,.583,0.0,0.4,.000,9.5,15.9,.598,3.1,3.5,.889,1.6,1.9,3.5,2.1,1.0,1.0,1.0,2.9,22.1,,129,112
C,25,SEA,78,9,1115,6.5,13.2,.492,0.0,0.2,.000,6.5,13.1,.498,3.7,5.5,.669,3.3,8.0,11.3,4.3,1.5,0.7,4.3,7.4,16.7,,97,107
SF,31,LAC,80,15,2042,10.7,23.1,.465,0.3,0.9,.359,10.4,22.1,.469,4.2,4.8,.879,1.3,4.1,5.4,4.0,1.1,0.4,2.7,3.0,26.0,,107,113
C,26,ATL,69,5,814,4.6,11.3,.406,0.0,0.0,,4.6,11.3,.406,2.3,4.0,.574,4.5,8.7,13.2,1.5,1.1,1.3,3.0,6.9,11.5,,90,106
SF,24,IND,82,26,1586,6.2,13.4,.460,0.0,0.2,.000,6.2,13.2,.466,3.3,4.9,.678,4.2,4.1,8.3,4.6,1.7,0.3,3.3,6.1,15.7,,102,109
C,25,DAL,56,35,860,3.8,8.4,.453,0.0,0.0,,3.8,8.4,.453,1.7,2.5,.682,4.2,9.4,13.6,4.7,1.2,1.4,2.6,6.2,9.3,,104,107
PG,30,BOS,75,6,858,4.1,10.6,.383,0.0,0.1,.000,4.1,10.6,.385,1.8,2.8,.640,1.4,3.4,4.8,8.2,3.5,0.1,3.7,7.8,9.9,,90,105
SG,22,GSW,47,0,418,8.0,20.9,.383,0.0,0.1,.000,8.0,20.8,.385,5.9,8.6,.688,1.1,2.0,3.1,2.2,2.3,0.4,3.7,8.5,21.9,,90,114
PG,34,KCK,65,14,939,4.0,9.9,.404,1.5,4.3,.356,2.5,5.7,.440,1.1,1.5,.767,1.0,2.0,3.0,9.9,1.9,0.0,2.2,3.7,10.7,,114,114
PF,23,LAC,75,41,1610,6.4,11.8,.543,0.0,0.0,,6.4,11.8,.543,3.0,4.0,.737,3.7,7.9,11.6,1.5,1.2,0.9,2.4,4.8,15.7,,113,109
SF,22,DET,56,0,625,9.5,19.2,.496,0.0,0.1,.000,9.5,19.1,.498,4.1,5.1,.800,3.0,3.5,6.5,1.8,2.0,0.2,5.0,7.8,23.1,,97,108
SG,25,BOS,38,0,179,6.9,17.7,.388,0.0,0.5,.000,6.9,17.2,.400,4.0,4.5,.882,2.1,3.4,5.5,6.6,0.8,0.0,5.0,5.5,17.7,,90,111
PF,23,ATL,62,15,1195,8.0,15.1,.528,0.1,0.2,.333,7.9,14.9,.531,4.1,5.2,.789,3.2,6.2,9.3,3.2,1.2,3.1,4.3,8.8,20.1,,104,106
PF,29,POR,48,30,1120,7.9,15.0,.523,0.0,0.1,.000,7.9,14.9,.528,4.9,6.8,.720,3.7,9.6,13.4,2.3,1.0,0.7,4.1,5.8,20.6,,105,106
SF,34,BOS,47,0,397,7.4,17.7,.416,1.1,2.7,.391,6.3,15.0,.421,2.0,2.0,1.000,2.5,2.6,5.1,2.9,2.5,0.7,2.9,5.2,17.9,,98,107
SG,26,NYK,69,11,1279,8.1,18.0,.450,0.4,1.6,.256,7.7,16.3,.469,4.1,5.1,.813,1.4,2.2,3.6,6.3,2.2,0.2,4.1,5.7,20.7,,100,111
SG,23,DAL,11,0,66,2.9,16.9,.174,0.0,2.2,.000,2.9,14.7,.200,0.7,0.7,1.000,0.7,1.5,2.2,2.9,0.7,0.0,5.9,2.9,6.6,,40,114
C,33,LAC,70,14,1049,3.3,6.8,.483,0.0,0.0,.000,3.3,6.7,.486,2.7,4.0,.663,4.0,7.8,11.9,0.6,0.7,2.6,2.5,7.3,9.2,,101,109
C,25,NYK,53,2,653,2.1,6.4,.326,0.0,0.0,,2.1,6.4,.326,1.6,2.9,.564,3.9,8.3,12.3,1.4,0.9,3.1,3.3,9.1,5.8,,76,107
PF,25,SEA,81,60,2923,10.4,21.5,.483,0.1,0.4,.273,10.3,21.2,.487,7.9,9.4,.832,2.7,6.9,9.6,3.5,1.2,0.9,4.3,5.2,28.8,,106,108
PG,28,PHI,78,78,2616,7.7,13.5,.570,0.1,0.5,.231,7.6,13.0,.582,3.2,3.6,.879,1.0,3.0,3.9,9.0,3.1,0.4,2.8,3.3,18.7,,124,108
SG,24,BOS,62,3,562,5.4,12.8,.421,0.0,0.4,.000,5.4,12.4,.435,3.4,4.5,.774,2.4,3.4,5.8,4.0,2.9,0.2,3.5,5.5,14.2,,96,106
SG,26,WSB,11,0,91,6.3,17.9,.353,0.0,0.0,,6.3,17.9,.353,4.2,4.7,.889,5.3,4.7,10.0,3.7,3.7,2.1,4.2,2.6,16.8,,89,101
PG,22,POR,78,22,1462,6.8,15.1,.453,0.8,2.3,.351,6.0,12.8,.471,3.1,4.1,.754,1.3,3.5,4.8,7.7,2.4,0.3,3.6,4.5,17.6,,105,108
PG,25,GSW,79,49,2258,5.1,11.2,.451,0.1,0.4,.200,5.0,10.8,.460,3.0,4.0,.750,1.8,3.3,5.1,7.6,3.3,0.3,2.8,2.8,13.2,,107,112
PG,26,NJN,58,9,1063,9.5,20.2,.468,0.1,1.0,.087,9.4,19.2,.488,2.1,2.4,.870,0.9,3.2,4.1,7.1,3.3,0.4,3.4,4.3,21.1,,102,107
PF,28,TOT,72,5,1288,5.0,10.1,.495,0.0,0.0,.000,5.0,10.0,.496,1.7,2.3,.734,4.4,6.9,11.3,2.2,1.1,0.8,1.7,7.3,11.7,,112,109
PF,28,CLE,18,3,440,4.9,11.2,.438,0.0,0.1,.000,4.9,11.1,.442,1.8,2.9,.630,4.4,6.7,11.1,2.5,0.5,1.0,1.7,5.7,11.7,,104,110
PF,28,SAS,54,2,848,5.0,9.5,.529,0.0,0.0,,5.0,9.5,.529,1.6,2.0,.811,4.4,7.0,11.4,2.1,1.4,0.8,1.7,8.2,11.7,,117,109
C,27,SEA,3,1,45,7.5,16.1,.467,0.0,0.0,,7.5,16.1,.467,3.2,6.4,.500,3.2,6.4,9.7,2.1,2.1,1.1,0.0,7.5,18.3,,112,106
SG,28,LAL,82,20,2189,5.9,12.6,.465,0.7,2.6,.285,5.1,10.0,.513,2.4,2.8,.865,1.2,4.2,5.4,9.1,2.0,1.0,3.3,4.4,14.9,,110,108
C,28,DEN,80,78,2031,8.9,18.8,.472,0.0,0.0,.000,8.9,18.8,.473,3.5,5.2,.685,5.0,8.8,13.9,1.9,0.6,4.3,3.3,6.7,21.3,,103,106
C,28,CHI,82,50,2062,6.5,13.3,.486,0.0,0.0,.000,6.5,13.3,.487,3.5,4.7,.745,3.0,6.8,9.9,3.3,0.7,1.5,2.9,4.4,16.4,,106,110
PG,36,ATL,4,2,115,2.9,7.1,.412,0.0,0.8,.000,2.9,6.3,.467,1.7,2.5,.667,0.8,5.0,5.9,9.2,1.3,0.0,4.6,2.1,7.5,,86,110
C,28,NYK,63,63,2069,9.6,18.6,.514,0.0,0.1,.000,9.6,18.5,.517,4.1,5.3,.780,3.2,8.8,12.1,2.5,1.2,0.4,3.9,5.8,23.2,,104,108
PF,23,MIL,79,78,2722,13.4,27.1,.495,0.0,0.0,.000,13.4,27.1,.496,6.1,8.2,.741,4.3,8.3,12.7,4.0,2.1,1.2,3.4,4.7,32.9,,112,101
C,27,DET,81,1,1642,5.8,11.9,.484,0.0,0.1,.000,5.8,11.8,.487,2.3,4.0,.569,4.7,7.0,11.7,2.3,1.6,1.2,3.2,6.0,13.8,,99,106
SG,24,CHI,79,0,2101,12.1,25.5,.473,0.2,0.7,.233,11.9,24.9,.479,4.7,5.8,.817,1.3,3.5,4.8,4.4,1.6,0.1,3.5,4.4,29.0,,104,112
SF,28,UTA,55,46,1971,11.9,22.3,.531,0.0,0.0,,11.9,22.3,.531,10.1,12.6,.804,3.4,4.1,7.5,4.3,1.3,0.2,4.0,3.1,33.9,,117,107
PG,29,DAL,82,82,2539,5.9,11.7,.505,0.9,2.2,.409,5.0,9.5,.527,3.0,3.4,.888,0.7,2.9,3.7,11.1,1.7,0.2,2.4,4.2,15.8,,124,111
SF,26,TOT,61,2,774,9.5,22.1,.430,0.1,0.6,.100,9.5,21.5,.439,3.2,3.9,.823,3.7,5.8,9.5,3.2,1.4,0.3,3.4,7.0,22.3,,98,105
SF,26,WSB,4,0,28,3.4,17.1,.200,0.0,0.0,,3.4,17.1,.200,5.1,6.8,.750,3.4,3.4,6.8,1.7,1.7,0.0,3.4,5.1,12.0,,68,107
SF,26,MIL,57,2,746,9.7,22.3,.436,0.1,0.6,.100,9.7,21.7,.446,3.1,3.7,.828,3.7,5.9,9.6,3.2,1.4,0.3,3.4,7.1,22.6,,99,105
PG,29,CLE,76,30,1920,8.3,19.4,.426,0.3,1.1,.261,8.0,18.3,.436,6.3,7.4,.850,0.9,2.1,2.9,10.4,1.1,0.1,3.7,3.3,23.1,,108,113
SG,30,PHO,23,9,570,11.4,25.4,.450,0.2,0.8,.300,11.2,24.6,.455,5.3,6.0,.877,0.5,2.4,2.9,8.1,1.5,0.0,4.1,3.5,28.3,,101,110
C,28,NJN,39,30,972,9.4,16.6,.566,0.0,0.0,.000,9.4,16.5,.568,7.0,9.8,.711,2.7,6.2,8.8,2.2,0.7,1.7,4.5,8.4,25.8,,109,109
SF,24,WSB,80,8,1573,7.9,15.3,.512,0.0,0.2,.143,7.8,15.1,.517,5.4,7.6,.715,2.8,5.4,8.3,7.3,1.6,0.6,4.1,5.0,21.2,,108,105
C,27,LAC,82,58,2392,7.0,11.0,.637,0.0,0.0,,7.0,11.0,.637,4.5,6.0,.749,3.3,9.9,13.3,1.0,0.6,2.6,4.1,4.3,18.5,,111,108
SF,30,UTA,19,16,463,10.6,25.6,.412,0.0,0.4,.000,10.6,25.2,.418,9.3,12.0,.770,3.5,4.5,8.1,3.5,2.2,0.2,4.1,6.4,30.4,,99,104
PG,26,KCK,72,66,2373,8.9,17.7,.501,0.1,0.5,.250,8.7,17.1,.508,3.0,3.8,.794,0.8,2.4,3.2,9.4,1.8,0.2,3.5,2.8,20.8,,110,114
SG,22,POR,80,43,2555,10.4,21.1,.494,0.1,0.7,.216,10.3,20.4,.503,4.0,5.3,.759,3.9,4.7,8.6,8.0,3.2,1.2,4.0,4.8,25.0,,110,105
PG,30,MIL,19,19,433,7.1,15.0,.474,1.8,5.2,.340,5.3,9.8,.545,2.8,3.2,.862,0.7,2.8,3.4,9.4,1.7,0.3,4.4,6.1,18.8,,108,107
