pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
PG,26,DEN,57,53,2029,10.6,24.5,.434,3.1,7.9,.392,7.5,16.6,.454,3.7,4.0,.930,0.7,2.9,3.5,10.0,1.6,0.1,3.0,3.0,28.1,,114,112
PG,33,CHH,21,3,329,5.9,13.2,.446,2.2,6.5,.341,3.7,6.7,.548,4.1,5.6,.743,0.8,2.7,3.5,10.7,3.3,0.6,4.0,4.0,18.2,,114,110
SF,31,CHH,53,0,516,7.8,16.8,.467,0.0,0.9,.000,7.8,15.9,.494,1.7,2.2,.773,2.5,6.6,9.1,3.0,0.9,0.9,2.7,7.5,17.4,,99,112
PG,22,SAS,60,0,560,5.8,14.2,.406,2.4,6.1,.394,3.4,8.2,.416,1.5,2.3,.640,0.8,3.0,3.9,11.1,2.5,0.2,6.2,8.6,15.4,,92,105
SG,23,MIN,41,0,362,5.1,14.9,.343,1.4,4.7,.303,3.7,10.2,.361,3.7,5.1,.722,0.7,2.8,3.5,6.9,3.0,0.7,4.8,6.0,15.3,,86,110
C,23,PHI,73,41,1614,6.4,12.5,.512,0.0,0.1,.333,6.4,12.4,.513,1.8,3.6,.491,4.1,5.6,9.7,2.0,1.8,1.7,1.9,6.2,14.6,,106,112
PF,25,CLE,28,3,357,4.7,11.4,.414,0.0,0.0,,4.7,11.4,.414,3.1,5.4,.576,2.1,6.4,8.5,1.5,1.0,1.8,5.6,8.0,12.6,,74,108
PF,24,VAN,54,34,1104,5.8,12.0,.480,0.0,0.0,.000,5.8,12.0,.482,4.6,7.1,.651,5.4,9.0,14.5,1.6,1.1,0.5,2.7,7.2,16.2,,106,108
PF,31,SAS,46,7,344,3.6,7.0,.511,0.0,0.1,.000,3.6,6.9,.522,0.9,3.7,.240,4.3,10.6,14.9,1.5,1.3,3.6,3.3,9.9,8.1,,86,99
PG,25,TOT,69,64,2344,7.8,18.7,.418,2.1,5.7,.359,5.8,13.0,.445,5.8,7.6,.769,1.4,3.1,4.6,12.9,2.5,0.3,3.3,4.0,23.6,,118,110
