pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
PG,27,SAC,75,51,2131,10.2,22.9,.445,2.3,6.1,.382,7.8,16.8,.468,2.8,3.4,.846,0.4,2.6,3.0,4.7,1.4,0.1,2.9,4.3,25.5,,105,112
PF,20,VAN,80,71,2802,10.7,23.5,.453,0.1,0.5,.259,10.5,23.0,.457,7.5,10.1,.746,4.2,6.6,10.7,3.4,1.5,1.5,4.4,3.9,28.9,,102,112
SF,32,CHH,41,3,355,7.5,18.6,.402,1.2,3.1,.400,6.3,15.6,.402,3.4,4.3,.786,2.9,4.0,6.9,5.2,1.2,0.5,2.6,7.9,19.5,,103,112
PG,23,SAS,80,6,1454,7.3,18.5,.396,3.6,9.5,.373,3.8,9.0,.420,3.6,4.9,.736,1.1,3.6,4.7,9.6,3.1,0.6,5.5,5.6,21.8,,101,112
SG,24,TOT,76,1,943,4.4,12.5,.353,1.7,5.3,.323,2.7,7.2,.375,2.4,4.1,.583,1.4,4.1,5.5,8.6,1.8,0.2,3.9,4.8,12.9,,95,109
SG,24,IND,51,1,692,4.4,11.5,.388,1.8,4.6,.390,2.7,6.9,.386,2.1,3.7,.574,1.0,4.1,5.1,8.5,2.1,0.0,4.4,5.2,12.8,,95,107
SG,24,DEN,25,0,251,4.3,15.3,.284,1.4,7.0,.206,2.9,8.3,.350,3.1,5.2,.600,2.5,4.3,6.8,8.9,0.8,0.8,2.7,3.5,13.2,,94,114
SG,21,MIL,82,81,2532,8.3,19.2,.430,2.5,6.3,.393,5.8,12.9,.448,4.3,5.3,.823,2.1,4.8,6.9,4.4,1.6,0.2,3.2,4.6,23.3,,109,110
C,24,ATL,2,0,11,0.0,25.1,.000,0.0,0.0,,0.0,25.1,.000,0.0,10.1,.000,15.1,5.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,,35,109
PF,25,WSB,31,0,144,4.3,14.4,.300,0.4,0.4,1.000,4.0,14.1,.282,5.4,10.1,.536,6.9,11.9,18.8,1.1,2.5,1.1,3.6,10.5,14.4,,86,99
