pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
C,35,LAL,79,79,2554,13.1,22.2,.588,0.0,0.0,.000,13.1,22.2,.589,5.0,6.7,.749,3.0,7.7,10.7,3.6,1.1,3.1,3.6,4.0,31.2,,118,104
C,28,PHO,80,75,2447,9.2,18.9,.486,0.0,0.1,.333,9.2,18.9,.487,3.5,4.2,.829,3.1,7.5,10.6,7.3,2.2,1.4,4.7,5.5,21.9,,102,98
SF,23,DAL,81,75,2784,12.9,26.7,.483,0.3,1.3,.211,12.6,25.4,.496,7.2,9.9,.728,3.2,5.3,8.5,5.6,1.3,0.4,4.4,4.1,33.2,,108,110
SG,23,BOS,80,76,2048,8.0,16.2,.496,0.1,0.7,.172,7.9,15.6,.509,1.6,2.2,.742,1.9,3.0,4.8,5.7,2.5,0.1,2.2,5.8,17.8,,110,104
PG,22,DEN,5,0,33,9.1,18.2,.500,0.0,0.0,,9.1,18.2,.500,9.1,13.0,.700,0.0,2.6,2.6,3.9,1.3,0.0,6.5,9.1,27.3,,96,112
SF,22,TOT,65,2,1202,7.1,14.1,.501,0.0,0.1,.000,7.1,14.0,.507,3.7,6.5,.571,4.4,6.5,11.0,2.5,2.3,0.8,2.9,5.7,17.9,,103,103
SF,22,PHI,13,0,48,7.8,21.4,.364,0.0,1.0,.000,7.8,20.4,.381,1.0,2.9,.333,3.9,7.8,11.7,1.0,1.0,0.0,4.9,5.8,16.6,,74,102
SF,22,UTA,52,2,1154,7.1,13.8,.510,0.0,0.1,.000,7.1,13.7,.514,3.8,6.7,.576,4.5,6.5,10.9,2.6,2.4,0.8,2.9,5.7,17.9,,105,103
C,22,SDC,78,5,1274,6.4,15.8,.404,0.3,0.7,.368,6.1,15.1,.405,1.8,2.5,.696,4.1,5.9,10.0,4.4,2.1,1.0,3.4,6.2,14.7,,94,108
PG,34,BOS,66,19,1811,6.0,14.1,.425,0.1,0.6,.208,5.9,13.5,.435,5.6,7.5,.743,0.6,1.7,2.3,10.4,1.0,0.1,4.2,2.8,17.7,,104,108
PG,22,CLE,68,3,990,8.0,18.5,.432,0.0,0.7,.000,8.0,17.8,.448,3.2,4.2,.762,0.8,3.9,4.8,8.3,2.7,0.2,5.9,3.7,19.2,,89,106
PF,25,TOT,75,39,1765,10.2,20.6,.497,0.0,0.0,.000,10.2,20.6,.498,6.0,8.6,.702,4.5,8.1,12.6,1.8,1.1,1.6,5.2,7.2,26.5,,99,106
PF,25,NJN,6,0,50,8.3,16.6,.500,0.0,0.0,,8.3,16.6,.500,1.8,1.8,1.000,2.8,2.8,5.5,1.8,0.9,0.9,5.5,13.9,18.5,,89,103
