pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
PF,25,BOS,13,0,159,7.6,17.4,.436,0.0,0.0,,7.6,17.4,.436,5.1,7.9,.640,3.8,10.7,14.5,0.9,0.6,0.9,5.4,6.3,20.2,,86,108
PG,24,DEN,80,78,2617,11.2,24.4,.460,0.8,2.5,.316,10.4,21.9,.476,4.2,4.4,.956,0.5,2.7,3.2,6.9,1.6,0.2,2.9,2.9,27.4,,109,107
PG,31,WSB,70,67,2337,6.1,15.0,.408,1.2,4.1,.288,4.9,10.9,.454,4.8,5.8,.830,0.8,3.1,3.9,10.3,2.1,0.1,3.6,3.0,18.2,,108,114
SF,34,LAC,39,0,859,9.1,19.5,.468,2.1,5.2,.398,7.1,14.3,.494,2.8,4.0,.694,1.6,4.9,6.5,5.8,1.2,0.4,3.9,5.5,23.2,,103,111
SG,34,PHO,68,1,1555,7.1,17.1,.417,2.6,7.8,.328,4.6,9.3,.491,2.5,3.0,.830,0.9,3.3,4.2,5.7,1.8,0.3,2.6,4.5,19.3,,109,110
PF,24,TOT,11,0,55,7.6,13.3,.571,0.0,0.0,,7.6,13.3,.571,2.8,8.5,.333,6.6,7.6,14.2,1.9,2.8,0.0,7.6,9.5,18.0,,82,103
PF,24,MIA,4,0,12,4.3,8.5,.500,0.0,0.0,,4.3,8.5,.500,0.0,8.5,.000,4.3,8.5,12.8,4.3,0.0,0.0,4.3,12.8,8.5,,71,109
PF,24,CLE,7,0,43,8.5,14.6,.583,0.0,0.0,,8.5,14.6,.583,3.7,8.5,.429,7.3,7.3,14.6,1.2,3.7,0.0,8.5,8.5,20.7,,84,101
C,24,GSW,69,39,1318,9.8,18.5,.530,0.1,0.5,.154,9.7,18.0,.540,2.5,4.7,.527,4.2,7.1,11.3,2.4,1.0,1.2,3.2,6.2,22.1,,105,108
PF,23,NYK,11,0,39,9.3,22.5,.412,2.7,2.7,1.000,6.6,19.9,.333,6.6,18.6,.357,8.0,14.6,22.5,2.7,0.0,1.3,2.7,11.9,27.8,,99,96
PF,29,DET,77,47,1624,6.3,11.6,.543,0.0,0.1,.333,6.3,11.5,.545,2.8,4.8,.571,5.7,12.2,17.9,1.6,1.7,2.1,3.0,7.3,15.4,,107,105
PG,23,NJN,82,82,3135,9.2,22.1,.417,0.6,2.1,.303,8.6,20.0,.429,5.5,6.8,.818,1.4,3.7,5.2,12.6,2.5,0.2,4.3,3.2,24.6,,106,106
SG,26,ORL,81,81,2811,9.0,18.9,.478,1.8,5.6,.322,7.2,13.3,.545,3.0,4.5,.672,2.0,6.5,8.5,5.3,2.4,0.6,3.0,2.7,22.9,,111,106
SF,35,TOT,21,2,356,4.9,12.1,.407,1.0,3.7,.269,3.9,8.5,.467,2.7,3.2,.826,2.3,5.2,7.5,2.4,1.1,0.4,1.4,2.3,13.5,,109,111
