player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Mark Acres,C,27,1691.0,0.484,11.7,1.8,1.0,0.7,9.9,110.0,114.0,8.3,0.536,13.4,5.0,9.4,1.6,-2.0,0.0,0.489,1.0,1.5,0.6920000000000001,1.9,3.5,5.4,0.8,0.5,0.3,0.9,3.1,4.5,3.6,0.0
Michael Adams,PG,27,2690.0,0.402,3.8,8.4,2.0,0.1,20.7,114.0,109.0,15.4,0.542,4.4,23.3,18.5,6.9,1.7,2.5,0.48200000000000004,3.4,4.0,0.85,0.6,2.2,2.8,6.3,1.5,0.0,1.8,1.7,15.5,12.5,0.0
Mark Aguirre,SF,30,2005.0,0.488,7.7,3.7,0.9,0.5,27.9,111.0,106.0,15.8,0.544,8.7,11.6,24.3,5.7,0.6,1.3,0.505,2.5,3.3,0.7559999999999999,1.5,2.4,3.9,1.9,0.4,0.2,1.6,2.6,14.1,11.5,0.0
Danny Ainge,PG,30,2727.0,0.43799999999999994,5.9,8.2,2.1,0.3,24.4,107.0,110.0,16.1,0.528,6.8,25.5,23.0,4.8,1.6,2.5,0.485,3.0,3.6,0.831,0.9,3.4,4.3,6.0,1.5,0.2,2.5,3.2,17.9,15.4,0.0
Mark Alarie,PF,26,1893.0,0.473,9.5,3.6,1.5,1.0,21.9,106.0,110.0,14.1,0.51,10.7,10.5,20.4,3.1,-1.0,0.5,0.479,1.3,1.6,0.812,1.8,2.7,4.6,1.7,0.7,0.5,1.2,2.7,10.5,9.6,0.0
Greg Anderson,PF,25,1291.0,0.507,14.1,0.9,1.2,2.0,20.1,101.0,105.0,13.0,0.522,16.6,2.7,19.1,2.0,-4.8,-0.9,0.507,1.5,2.8,0.535,1.9,4.4,6.2,0.4,0.5,0.9,1.3,2.9,8.8,7.2,0.0
Nick Anderson,SG,22,1785.0,0.494,8.2,3.2,1.8,0.9,24.0,105.0,114.0,14.9,0.536,9.3,10.5,22.1,1.8,-1.7,0.1,0.495,2.3,3.3,0.705,1.3,2.6,3.9,1.5,0.9,0.4,1.7,1.7,11.5,9.3,0.0
Ron Anderson,SF,31,2089.0,0.451,7.0,3.4,1.7,0.3,22.0,108.0,110.0,13.9,0.499,8.0,10.0,20.4,3.8,-1.6,0.2,0.452,2.1,2.5,0.838,1.0,2.7,3.8,1.8,0.9,0.2,1.0,1.8,11.9,10.8,0.0
Willie Anderson,SG,23,2788.0,0.49200000000000005,6.5,6.4,1.9,1.0,22.5,108.0,106.0,15.2,0.532,7.5,19.6,20.9,6.5,1.4,2.4,0.495,2.6,3.5,0.748,1.4,3.1,4.5,4.4,1.4,0.7,2.4,3.1,15.7,13.2,0.0
Michael Ansley,SF,22,1221.0,0.49700000000000005,13.7,1.5,0.9,0.6,23.6,120.0,115.0,17.3,0.5539999999999999,15.6,4.8,19.7,3.3,-1.5,0.1,0.49700000000000005,2.3,3.2,0.722,2.6,2.4,5.0,0.6,0.3,0.2,0.7,2.1,8.7,6.5,0.0
