player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,points_won
Shareef Abdur-Rahim,PF,25,0.8749266001174398,0.7907375643224701,0.5922330097087378,0.2709677419354839,0.37777777777777777,0.24561403508771928,0.7321428571428571,0.8467741935483871,0.9375,0.6666666666666667,0.8220858895705522,0.6100917431192661,0.3032128514056225,0.7142857142857143,0.4044943820224719,0.2631578947368421,0.3703703703703704,0.7675941080196399,0.6835443037974683,0.6355140186915889,0.8603651987110633,0.52,0.6914893617021276,0.6923076923076923,0.28440366972477066,0.46428571428571436,0.31428571428571433,0.8,0.6666666666666666,0.6751592356687898,0.0
Courtney Alexander,SG,24,0.3890193775689959,0.8061749571183533,0.2961165048543689,0.22580645161290322,0.3111111111111111,0.05263157894736842,0.5739795918367346,0.8548387096774194,0.9732142857142857,0.45791245791245794,0.799079754601227,0.2981651376146789,0.22690763052208837,0.5396825396825397,0.12359550561797754,-0.27631578947368424,0.0,0.7790507364975451,0.22784810126582278,0.20560747663551404,0.8700322234156822,0.16,0.20212765957446807,0.2,0.13761467889908258,0.2142857142857143,0.028571428571428574,0.275,0.47619047619047616,0.3121019108280255,0.0
Ray Allen,SG,26,0.7413388138578978,0.7924528301886793,0.3203883495145631,0.36774193548387096,0.4222222222222222,0.07017543859649122,0.808673469387755,0.9354838709677419,0.9732142857142857,0.7272727272727273,0.9171779141104294,0.3256880733944954,0.3895582329317269,0.6931216931216931,0.5,0.5657894736842105,0.4938271604938272,0.9181669394435353,0.3924050632911392,0.33644859813084116,0.937701396348013,0.24,0.351063829787234,0.34615384615384615,0.35779816513761464,0.46428571428571436,0.08571428571428572,0.575,0.5476190476190476,0.694267515923567,0.0
Derek Anderson,SG,27,0.546095126247798,0.692967409948542,0.2669902912621359,0.4,0.4444444444444444,0.03508771929824561,0.558673469387755,0.9193548387096774,0.9553571428571429,0.521885521885522,0.8251533742331287,0.27522935779816515,0.3734939759036145,0.5132275132275133,0.29775280898876405,0.11842105263157895,0.16049382716049385,0.7741407528641571,0.3164556962025316,0.28037383177570097,0.9194414607948443,0.13999999999999999,0.2127659574468085,0.2076923076923077,0.28440366972477066,0.35714285714285715,0.028571428571428574,0.3,0.38095238095238093,0.3439490445859873,0.0
Kenny Anderson,PG,31,0.7134468584850264,0.7478559176672385,0.28640776699029125,0.5548387096774193,0.6666666666666666,0.03508771929824561,0.39795918367346933,0.8306451612903226,0.9017857142857143,0.45791245791245794,0.7239263803680982,0.28440366972477066,0.5642570281124498,0.4417989417989418,0.29213483146067415,-0.039473684210526314,0.1234567901234568,0.723404255319149,0.16455696202531644,0.15887850467289721,0.7969924812030076,0.16,0.30851063829787234,0.27692307692307694,0.4862385321100917,0.6785714285714286,0.028571428571428574,0.4,0.6666666666666666,0.3057324840764331,0.0
Shandon Anderson,SG,28,0.46858485026423957,0.6843910806174957,0.4029126213592233,0.16129032258064516,0.35555555555555557,0.08771929824561403,0.3520408163265306,0.7258064516129032,0.9464285714285714,0.26936026936026936,0.75,0.4128440366972477,0.15461847389558234,0.3994708994708995,0.02247191011235955,-0.3815789473684211,-0.037037037037037035,0.739770867430442,0.11392405063291139,0.12149532710280375,0.7432867883995705,0.13999999999999999,0.24468085106382975,0.23076923076923078,0.08256880733944955,0.2142857142857143,0.05714285714285715,0.3,0.38095238095238093,0.15923566878980894,0.0
Greg Anthony,PG,34,0.4445096887844979,0.6603773584905661,0.22330097087378636,0.6387096774193549,0.6000000000000001,0.03508771929824561,0.42346938775510207,0.782258064516129,0.9642857142857143,0.42424242424242425,0.7055214723926381,0.23394495412844035,0.6184738955823293,0.49206349206349215,0.06179775280898877,-0.3552631578947369,-0.037037037037037035,0.7135842880523732,0.12658227848101264,0.14018691588785048,0.7078410311493019,0.08,0.19148936170212766,0.16923076923076924,0.43119266055045874,0.46428571428571436,0.028571428571428574,0.4,0.45238095238095233,0.2515923566878981,0.0
Gilbert Arenas,PG,20,0.33910745742806814,0.7770154373927959,0.2815533980582524,0.4967741935483871,0.6666666666666666,0.08771929824561403,0.5739795918367346,0.8870967741935484,0.9642857142857143,0.5723905723905724,0.8619631901840491,0.2798165137614679,0.497991967871486,0.5317460317460319,0.15168539325842698,0.15789473684210525,0.11111111111111112,0.8248772504091654,0.3291139240506329,0.31775700934579443,0.8324382384532761,0.18,0.20212765957446807,0.21538461538461537,0.3394495412844037,0.5357142857142857,0.05714285714285715,0.525,0.5714285714285714,0.3471337579617835,0.0
Darrell Armstrong,PG,33,0.8015267175572519,0.7186963979416809,0.2912621359223301,0.5483870967741935,0.6666666666666666,0.03508771929824561,0.4872448979591837,0.9032258064516129,0.9375,0.5622895622895623,0.8481595092024539,0.2981651376146789,0.5120481927710844,0.47354497354497355,0.42696629213483145,0.39473684210526316,0.4197530864197531,0.823240589198036,0.27848101265822783,0.23364485981308414,0.9538131041890441,0.2,0.30851063829787234,0.3,0.5045871559633027,0.6785714285714286,0.028571428571428574,0.525,0.47619047619047616,0.39490445859872614,0.0
Chucky Atkins,PG,27,0.6708749266001175,0.7993138936535163,0.1796116504854369,0.39354838709677414,0.37777777777777777,0.05263157894736842,0.5688775510204082,0.8709677419354839,0.9464285714285714,0.4882154882154882,0.871165644171779,0.18807339449541283,0.41164658634538154,0.5291005291005292,0.28651685393258425,-0.013157894736842106,0.1358024691358025,0.9050736497545008,0.13924050632911392,0.14018691588785048,0.7432867883995705,0.08,0.1702127659574468,0.15384615384615385,0.3027522935779816,0.32142857142857145,0.028571428571428574,0.4,0.5238095238095238,0.3853503184713376,0.0
