player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,points_won
Kareem Abdul-Jabbar,C,40,0.6970703714889761,0.880794701986755,0.48543689320388345,0.14893617021276595,0.25,0.2111111111111111,0.5596330275229358,0.8650793650793651,0.9067796610169492,0.49842271293375395,0.857142857142857,0.5176991150442477,0.15328467153284672,0.6079545454545454,0.25,-0.04918032786885246,0.06779661016949153,0.880794701986755,0.29213483146067415,0.2857142857142857,0.8264642082429501,0.28846153846153844,0.5,0.46153846153846156,0.12318840579710144,0.18749999999999997,0.3243243243243243,0.5,0.6585365853658538,0.41714285714285715,0.0
Mark Acres,C,25,0.34762911507097555,0.880794701986755,0.558252427184466,0.09574468085106383,0.3,0.12222222222222223,0.2798165137614679,0.8968253968253969,0.923728813559322,0.29337539432176657,0.857142857142857,0.6150442477876106,0.0821167883211679,0.32386363636363635,0.1037735849056604,-0.0819672131147541,0.02542372881355932,0.880794701986755,0.10112359550561797,0.1176470588235294,0.6941431670281996,0.25,0.23333333333333334,0.26153846153846155,0.036231884057971016,0.125,0.08108108108108107,0.175,0.6097560975609757,0.10285714285714286,0.0
Alvan Adams,C,33,0.49713077620054363,0.8211920529801324,0.5097087378640777,0.28191489361702127,0.6,0.13333333333333333,0.4036697247706422,0.8174603174603174,0.923728813559322,0.41324921135646686,0.8165413533834585,0.5530973451327433,0.27189781021897813,0.4943181818181817,0.1037735849056604,0.02459016393442623,0.0847457627118644,0.8228476821192054,0.14606741573033707,0.13445378151260504,0.9154013015184382,0.2692307692307692,0.3333333333333333,0.34615384615384615,0.15942028985507248,0.3125,0.13513513513513511,0.425,0.7317073170731708,0.21428571428571427,0.0
Michael Adams,PG,25,0.8390214436726064,0.7433774834437087,0.1796116504854369,0.4361702127659574,0.7,0.03333333333333333,0.42660550458715596,0.9126984126984127,0.9067796610169492,0.4921135646687697,0.8421052631578948,0.18584070796460175,0.41058394160583944,0.46022727272727265,0.3537735849056604,0.18032786885245905,0.2542372881355932,0.8675496688741723,0.2247191011235955,0.20168067226890754,0.9045553145336226,0.09615384615384615,0.24444444444444446,0.2076923076923077,0.44202898550724634,0.625,0.05405405405405406,0.45,0.41463414634146345,0.39714285714285713,0.0015037593984962407
Mark Aguirre,SF,28,0.7882814859559045,0.7864238410596026,0.3980582524271844,0.28191489361702127,0.325,0.12222222222222223,0.8394495412844036,0.8968253968253969,0.923728813559322,0.6908517350157728,0.8105263157894737,0.3982300884955752,0.3357664233576642,0.8977272727272727,0.4150943396226416,0.2540983606557377,0.28813559322033894,0.8129139072847682,0.5617977528089887,0.5462184873949579,0.8351409978308025,0.4615384615384615,0.36666666666666664,0.43076923076923074,0.2608695652173913,0.28125,0.18918918918918917,0.65,0.7073170731707318,0.7171428571428572,0.0015037593984962407
Danny Ainge,SG,28,0.9115070975536091,0.8129139072847682,0.1941747572815534,0.4361702127659574,0.475,0.03333333333333333,0.4724770642201835,0.9603174603174603,0.9491525423728814,0.501577287066246,0.8992481203007517,0.2168141592920354,0.4051094890510949,0.4914772727272727,0.4056603773584906,0.2377049180327869,0.3135593220338983,0.9370860927152319,0.2247191011235955,0.18487394957983194,0.9522776572668112,0.1346153846153846,0.25555555555555554,0.23846153846153847,0.4492753623188406,0.43749999999999994,0.05405405405405406,0.475,0.6097560975609757,0.44857142857142857,0.0
Greg Anderson,PF,23,0.5992147387496225,0.8294701986754968,0.5776699029126213,0.09574468085106383,0.325,0.3111111111111111,0.5091743119266054,0.8174603174603174,0.9322033898305084,0.4637223974763407,0.7984962406015037,0.6194690265486725,0.09671532846715329,0.5909090909090908,0.10849056603773584,-0.2213114754098361,-0.03389830508474576,0.8311258278145696,0.2696629213483146,0.3361344537815126,0.6550976138828633,0.3846153846153846,0.47777777777777775,0.4846153846153846,0.07246376811594203,0.21874999999999997,0.4054054054054054,0.425,0.6829268292682927,0.33428571428571424,0.0
Richard Anderson,PF,27,0.4077318030806403,0.6456953642384107,0.5048543689320388,0.20212765957446807,0.45,0.05555555555555555,0.3532110091743119,0.8333333333333334,0.9067796610169492,0.3501577287066246,0.712781954887218,0.5353982300884955,0.18978102189781024,0.4431818181818181,0.10849056603773584,-0.01639344262295082,0.05084745762711864,0.7350993377483444,0.0898876404494382,0.08403361344537814,0.816702819956616,0.23076923076923075,0.3222222222222222,0.3153846153846154,0.10869565217391304,0.21874999999999997,0.05405405405405406,0.2,0.4634146341463415,0.17428571428571427,0.0
Ron Anderson,SF,29,0.3313198429477499,0.8245033112582781,0.4660194174757281,0.18617021276595744,0.45,0.03333333333333333,0.555045871559633,0.8571428571428571,0.9152542372881356,0.5110410094637224,0.8180451127819549,0.4778761061946903,0.1916058394160584,0.625,0.1179245283018868,-0.0737704918032787,0.02542372881355932,0.8245033112582781,0.16853932584269662,0.15966386554621848,0.8308026030368763,0.23076923076923075,0.18888888888888888,0.22307692307692306,0.07971014492753624,0.18749999999999997,0.02702702702702703,0.25,0.3170731707317074,0.20857142857142857,0.0
John Bagley,PG,27,0.8378133494412564,0.7268211920529801,0.21844660194174756,0.44680851063829785,0.475,0.022222222222222223,0.39449541284403666,0.8095238095238095,0.940677966101695,0.3911671924290221,0.756390977443609,0.23893805309734514,0.47080291970802923,0.5085227272727272,0.12264150943396228,-0.11475409836065574,0.03389830508474576,0.7698675496688743,0.20224719101123595,0.18487394957983194,0.8915401301518439,0.1346153846153846,0.26666666666666666,0.23846153846153847,0.42028985507246375,0.40625,0.02702702702702703,0.625,0.48780487804878053,0.34285714285714286,0.0
Thurl Bailey,SF,26,0.8468740561763818,0.8145695364238411,0.4368932038834951,0.14361702127659576,0.2,0.23333333333333334,0.6192660550458715,0.8412698412698413,0.8813559322033898,0.5141955835962145,0.8225563909774436,0.4513274336283185,0.15693430656934307,0.6874999999999999,0.32075471698113206,0.03278688524590164,0.14406779661016947,0.8162251655629139,0.46067415730337075,0.42016806722689076,0.89587852494577,0.3076923076923077,0.5333333333333333,0.5,0.13768115942028983,0.18749999999999997,0.4054054054054054,0.575,0.5609756097560976,0.56,0.0
Charles Barkley,PF,24,0.9574146783449109,0.9718543046357617,0.7281553398058251,0.2127659574468085,0.4,0.17777777777777778,0.8188073394495413,1.0,0.9152542372881356,0.8706624605678234,1.0,0.7699115044247786,0.2572992700729927,0.7585227272727272,0.7877358490566038,0.7377049180327869,0.7372881355932203,1.0,1.0,1.0,0.8145336225596528,0.923076923076923,0.7888888888888889,0.9153846153846155,0.2318840579710145,0.40625,0.35135135135135137,0.95,0.853658536585366,0.8085714285714286,0.16390977443609023
John Battle,SG,25,0.3705829054666264,0.7516556291390728,0.22330097087378636,0.3404255319148936,0.325,0.022222222222222223,0.6628440366972477,0.8571428571428571,0.940677966101695,0.5141955835962145,0.7699248120300751,0.22566371681415925,0.36496350364963503,0.7499999999999999,0.10849056603773584,-0.13934426229508198,0.00847457627118644,0.77317880794702,0.23595505617977527,0.2352941176470588,0.8134490238611713,0.07692307692307693,0.14444444444444446,0.13076923076923078,0.17391304347826086,0.15625,0.02702702702702703,0.275,0.3170731707317074,0.3028571428571428,0.0
Benoit Benjamin,C,23,0.655693144065237,0.8129139072847682,0.5631067961165048,0.20212765957446807,0.275,0.5444444444444445,0.43348623853211005,0.746031746031746,0.8728813559322034,0.444794952681388,0.8030075187969925,0.5752212389380531,0.22262773722627738,0.5482954545454545,0.09433962264150944,0.03278688524590164,0.11016949152542373,0.8129139072847682,0.30337078651685395,0.3277310924369748,0.7657266811279826,0.3269230769230769,0.7,0.6153846153846154,0.18840579710144928,0.25,0.9189189189189189,0.85,0.7560975609756099,0.37142857142857144,0.0
Walter Berry,SF,23,0.5804892781636968,0.9321192052980132,0.4611650485436893,0.13829787234042554,0.325,0.16666666666666666,0.6972477064220183,0.8650793650793651,0.9576271186440678,0.5930599369085174,0.8691729323308269,0.49115044247787604,0.15875912408759124,0.7357954545454545,0.16037735849056603,-0.05737704918032787,0.05932203389830508,0.9321192052980132,0.29213483146067415,0.3697478991596639,0.6507592190889371,0.4615384615384615,0.3333333333333333,0.4153846153846154,0.10869565217391304,0.25,0.24324324324324323,0.55,0.6829268292682927,0.4971428571428571,0.0
