player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Steven Adams,C,25,2669.0,0.595,13.3,2.2,2.0,1.3,19.4,120.0,106.0,18.5,0.591,14.7,6.6,16.4,9.1,2.7,3.2,0.595,1.8,3.7,0.5,4.9,4.6,9.5,1.6,1.5,1.0,1.7,2.6,13.9,10.1,0.0
Bam Adebayo,C,21,1913.0,0.5760000000000001,15.2,4.7,1.8,1.7,18.6,120.0,104.0,17.9,0.623,16.6,14.2,15.8,6.8,3.0,2.4,0.579,2.0,2.8,0.735,2.0,5.3,7.3,2.2,0.9,0.8,1.5,2.5,8.9,5.9,0.0
LaMarcus Aldridge,C,33,2687.0,0.519,13.5,3.5,0.8,1.9,31.4,117.0,110.0,22.9,0.5760000000000001,15.1,11.6,26.9,9.3,1.6,2.5,0.522,4.3,5.1,0.847,3.1,6.1,9.2,2.4,0.5,1.3,1.8,2.2,21.3,16.3,0.0
Jarrett Allen,C,20,2096.0,0.59,15.3,2.5,1.0,2.7,19.8,123.0,106.0,18.5,0.632,16.8,7.9,15.9,7.6,2.5,2.4,0.595,2.5,3.5,0.7090000000000001,2.4,6.0,8.4,1.4,0.5,1.5,1.3,2.3,10.9,7.1,0.0
Al-Farouq Aminu,PF,28,2292.0,0.433,12.9,2.2,1.4,0.7,16.1,118.0,109.0,13.2,0.568,14.2,6.0,13.7,5.8,0.9,1.7,0.514,1.9,2.1,0.867,1.4,6.1,7.5,1.3,0.8,0.4,0.9,1.8,9.4,7.3,0.0
Kyle Anderson,SF,25,1281.0,0.5429999999999999,9.7,5.0,2.1,1.4,13.4,110.0,107.0,12.8,0.569,11.0,15.0,12.6,2.7,1.2,1.0,0.56,0.9,1.5,0.578,1.1,4.7,5.8,3.0,1.3,0.9,1.3,2.6,8.0,6.4,0.0
Giannis Antetokounmpo,PF,24,2358.0,0.578,17.7,8.4,1.8,2.2,39.3,121.0,99.0,30.9,0.644,19.3,30.3,32.3,14.4,10.8,7.6,0.599,6.9,9.5,0.7290000000000001,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,17.3,941.0
OG Anunoby,SF,21,1352.0,0.45299999999999996,7.0,1.7,1.6,0.8,16.6,104.0,109.0,9.8,0.544,7.9,4.7,15.5,2.0,-1.2,0.3,0.536,0.5,0.9,0.581,0.9,2.1,2.9,0.7,0.7,0.3,0.8,2.1,7.0,6.0,0.0
Ryan Arcidiacono,PG,24,1961.0,0.447,5.4,6.7,1.6,0.1,13.5,121.0,115.0,11.6,0.588,6.1,18.9,11.7,3.7,-1.0,0.5,0.544,1.1,1.3,0.873,0.3,2.4,2.7,3.3,0.8,0.0,0.8,2.1,6.7,5.2,0.0
Trevor Ariza,SF,33,2349.0,0.39899999999999997,7.5,5.1,1.8,0.4,17.5,107.0,115.0,12.0,0.534,8.6,14.8,16.6,2.5,-0.5,0.9,0.498,1.9,2.4,0.7929999999999999,0.7,4.7,5.4,3.7,1.3,0.3,1.5,1.9,12.5,10.7,0.0
D.J. Augustin,PG,31,2269.0,0.47,4.4,9.2,1.1,0.1,20.4,122.0,112.0,15.7,0.616,4.8,26.9,17.2,6.9,-0.3,1.0,0.5660000000000001,2.2,2.6,0.866,0.5,2.0,2.5,5.3,0.6,0.0,1.6,1.4,11.7,8.4,0.0
Deandre Ayton,C,20,2183.0,0.585,15.9,2.7,1.3,1.5,25.4,117.0,113.0,20.5,0.608,18.5,9.6,21.2,5.8,0.2,1.2,0.585,2.0,2.7,0.746,3.1,7.1,10.3,1.8,0.9,0.9,1.8,2.9,16.3,12.3,0.0
Marvin Bagley,PF,19,1567.0,0.504,14.0,1.8,1.0,1.8,27.4,111.0,110.0,18.9,0.562,15.5,5.9,24.2,3.6,-1.8,0.1,0.525,2.9,4.2,0.691,2.6,5.0,7.6,1.0,0.5,1.0,1.6,1.9,14.9,11.4,0.0
Lonzo Ball,PG,21,1423.0,0.406,8.2,8.3,2.3,0.6,15.2,100.0,109.0,11.7,0.48700000000000004,9.1,23.8,16.9,1.6,0.5,0.9,0.488,0.4,1.0,0.41700000000000004,1.1,4.2,5.3,5.4,1.5,0.4,2.2,2.4,9.9,9.7,0.0
Harrison Barnes,PF-SF,26,2533.0,0.42,6.8,2.2,0.9,0.2,23.8,108.0,114.0,12.8,0.55,7.5,6.7,20.9,3.6,-2.3,-0.2,0.504,3.0,3.6,0.8240000000000001,0.7,3.9,4.7,1.5,0.6,0.2,1.3,1.6,16.4,13.3,0.0
Will Barton,SG,28,1189.0,0.402,8.2,5.1,0.7,0.9,20.4,102.0,111.0,11.0,0.501,9.1,14.6,20.0,1.2,-2.3,-0.1,0.475,1.3,1.7,0.77,0.7,3.9,4.6,2.9,0.4,0.5,1.5,1.9,11.5,10.7,0.0
Nicolas Batum,SF,30,2354.0,0.45,8.1,5.1,1.5,0.9,14.4,112.0,113.0,11.9,0.581,8.9,14.5,13.2,3.7,0.8,1.7,0.5529999999999999,1.0,1.2,0.865,0.9,4.3,5.2,3.3,0.9,0.6,1.6,1.9,9.3,7.5,0.0
Kent Bazemore,SG,29,1643.0,0.402,7.3,4.3,2.5,1.2,21.9,98.0,112.0,11.9,0.507,8.3,13.5,22.0,0.7,-2.2,-0.1,0.47200000000000003,1.9,2.6,0.726,0.6,3.3,3.9,2.3,1.3,0.6,1.8,2.5,11.6,10.3,0.0
Bradley Beal,SG,25,3028.0,0.475,6.4,7.0,1.9,0.9,32.8,113.0,114.0,20.8,0.581,7.4,24.1,28.4,7.6,2.8,3.7,0.54,4.4,5.5,0.8079999999999999,1.1,3.9,5.0,5.5,1.5,0.7,2.7,2.8,25.6,19.6,0.0
Malik Beasley,SG,22,1879.0,0.474,5.2,2.5,1.4,0.3,24.0,117.0,112.0,14.2,0.599,5.8,7.5,18.7,4.5,-0.5,0.7,0.584,0.7,0.8,0.848,0.4,2.0,2.5,1.2,0.7,0.1,0.7,1.4,11.3,9.1,0.0
