player,pos_x,age_x,team_id_x,g_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,efg_pct,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fg_per_mp,fga_per_mp,fg3_per_mp,fg3a_per_mp,fg2_per_mp,fg2a_per_mp,ft_per_mp,fta_per_mp,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,votes_first,points_won
Alaa Abdelnaby,PF,26,TOT,0.6585365853658537,0.15055043141922048,0.6402116402116402,0.4712871287128713,0.511,0.0,0.005277044854881267,0.0,0.6402116402116402,0.8103448275862069,0.515,0.09251101321585904,0.1411764705882353,0.5710000000000001,0.19289340101522842,0.44382022471910115,0.35562310030395133,0.0687830687830688,0.11194029850746269,0.19672131147540983,0.2658959537572254,0.30835734870317,0.41679873217115687,0.376,0.8823529411764706,0.3134328358208955,0.4568661971830986,0.009000000000000001,0.076,0.19037199124726475,0.4603174603174603,0.35694822888283373,0.0657030223390276,0.11194029850746269,0.20930232558139536,0.308,0.4830188679245283,,-0.03738317757009346,0.1044776119402985,0.017142857142857144,0.054878048780487805,,-0.1451104100946372,-0.19999999999999998,-0.1810344827586207,-0.07407407407407407,0.22926829268292684,0.1864406779661017,0.18067226890756302,0.0,0.0,0.1864406779661017,0.19178082191780824,0.511,0.04938271604938272,0.05555555555555555,0.125,0.125,0.125,0.016260162601626015,0.10344827586206896,0.05128205128205129,0.20512820512820515,0.4634146341463415,0.16040955631399317,0.6222222222222222,0.4555555555555555,0.0,0.003703703703703704,0.7000000000000001,0.8150000000000001,0.0875,0.1388888888888889,0.1925925925925926,0.4365079365079365,0.36,0.06666666666666667,0.12222222222222223,0.21428571428571427,0.26666666666666666,0.30833333333333335,0.40444444444444444,0.0,0.0
Mahmoud Abdul-Rauf,PG,25,DEN,0.8902439024390244,0.6194584944956858,0.6296296296296297,0.500990099009901,0.47,0.16666666666666669,0.1424802110817942,0.386,0.5185185185185186,0.6862068965517241,0.49200000000000005,0.15418502202643172,0.15294117647058822,0.885,0.04060913705583757,0.14606741573033707,0.10638297872340426,0.3492063492063492,0.1417910447761194,0.03278688524590164,0.17341040462427745,0.09221902017291066,0.46592709984152136,0.448,0.9411764705882353,0.4427860696517413,0.4779929577464789,0.214,0.0775,0.04157549234135667,0.1560846560846561,0.10626702997275203,0.30223390275952694,0.1417910447761194,0.03488372093023256,0.2,0.4867924528301887,,0.35514018691588783,0.19402985074626866,0.2857142857142857,0.23373983739837398,,0.06940063091482651,-0.32941176470588235,-0.017241379310344827,0.08641975308641975,0.6951219512195121,0.5508474576271186,0.5798319327731093,0.40740740740740744,0.3815789473684211,0.4491525423728813,0.49315068493150693,0.511,0.2345679012345679,0.19444444444444445,0.07142857142857144,0.125,0.11309523809523808,0.2926829268292683,0.37931034482758624,0.025641025641025644,0.4102564102564103,0.41463414634146345,0.5460750853242321,0.6074074074074074,0.4833333333333333,0.15555555555555556,0.13703703703703704,0.5583333333333333,0.6849999999999999,0.15,0.15000000000000002,0.044444444444444446,0.14285714285714288,0.10666666666666666,0.3333333333333333,0.14444444444444446,0.047619047619047616,0.17500000000000002,0.09166666666666667,0.4466666666666667,0.0,0.0
Michael Adams,PG,32,CHH,0.35365853658536583,0.1318060101160369,0.4232804232804233,0.34851485148514855,0.45299999999999996,0.2698412698412698,0.2532981530343008,0.358,0.2380952380952381,0.27586206896551724,0.5670000000000001,0.13215859030837004,0.1411764705882353,0.833,0.03553299492385787,0.15168539325842698,0.1033434650455927,0.597883597883598,0.20149253731343283,0.01639344262295082,0.1791907514450867,0.14121037463976946,0.35340729001584786,0.476,0.8991596638655462,0.4402985074626865,0.5132042253521127,0.547,0.1015,0.03719912472647702,0.1560846560846561,0.10626702997275203,0.454664914586071,0.20149253731343283,0.023255813953488375,0.278,0.369811320754717,,0.10280373831775702,0.07462686567164178,0.09142857142857143,0.34349593495934955,,0.09779179810725552,-0.3058823529411765,0.014367816091954025,0.037037037037037035,0.37317073170731707,0.19491525423728812,0.21428571428571427,0.37037037037037035,0.3684210526315789,0.11016949152542373,0.1050228310502283,0.551,0.11111111111111112,0.09259259259259259,0.03571428571428572,0.07142857142857144,0.05952380952380952,0.26829268292682923,0.27586206896551724,0.0,0.23076923076923078,0.34146341463414637,0.22184300341296928,0.4,0.3333333333333333,0.26666666666666666,0.24444444444444444,0.25833333333333336,0.27,0.125,0.13333333333333333,0.037037037037037035,0.15079365079365079,0.10666666666666666,0.5703703703703704,0.2111111111111111,0.023809523809523808,0.17500000000000002,0.13749999999999998,0.34,0.0,0.0
Rafael Addison,SF,30,DET,0.9634146341463414,0.5284141624516513,0.4285714285714286,0.33663366336633666,0.47600000000000003,0.05555555555555555,0.0633245382585752,0.289,0.39153439153439157,0.503448275862069,0.507,0.09251101321585904,0.11372549019607843,0.747,0.09644670050761421,0.28651685393258425,0.2127659574468085,0.16931216931216933,0.11194029850746269,0.11475409836065574,0.12716763005780346,0.19596541786743513,0.3011093502377179,0.42,0.957983193277311,0.2810945273631841,0.45862676056338036,0.142,0.08449999999999999,0.0962800875273523,0.3068783068783069,0.217983651226158,0.13009198423127466,0.11194029850746269,0.11627906976744186,0.21600000000000003,0.3358490566037736,,0.08411214953271029,0.08955223880597014,0.08571428571428572,0.08130081300813008,,-0.05993690851735015,-0.17647058823529413,-0.09770114942528736,-0.07407407407407407,0.5487804878048781,0.2966101694915254,0.31092436974789917,0.1111111111111111,0.14473684210526316,0.2711864406779661,0.29223744292237447,0.49700000000000005,0.11111111111111112,0.12037037037037036,0.14285714285714288,0.19642857142857145,0.18452380952380953,0.1138211382113821,0.24137931034482757,0.07692307692307693,0.25641025641025644,0.7317073170731708,0.2832764505119454,0.4222222222222222,0.33055555555555555,0.05555555555555555,0.06296296296296296,0.43333333333333335,0.51,0.09375,0.1111111111111111,0.1037037037037037,0.2777777777777778,0.2177777777777778,0.16296296296296298,0.12222222222222223,0.11904761904761904,0.125,0.19999999999999998,0.29555555555555557,0.0,0.0
Danny Ainge,SG,35,PHO,0.9024390243902439,0.4088069027075275,0.3756613756613757,0.30495049504950494,0.46,0.2222222222222222,0.2058047493403694,0.364,0.22222222222222224,0.26206896551724135,0.5579999999999999,0.16740088105726872,0.1843137254901961,0.8079999999999999,0.045685279187817264,0.17415730337078653,0.12158054711246201,0.40211640211640215,0.12686567164179105,0.04918032786885246,0.1676300578034682,0.16138328530259363,0.329635499207607,0.476,0.9495798319327731,0.35572139303482586,0.5246478873239437,0.507,0.154,0.045951859956236324,0.1851851851851852,0.12534059945504086,0.2851511169513798,0.12686567164179105,0.04651162790697675,0.284,0.33207547169811324,,0.2616822429906542,0.08955223880597014,0.19428571428571428,0.23983739837398374,,0.06624605678233439,-0.29411764705882354,-0.01149425287356322,0.07407407407407407,0.45365853658536587,0.22033898305084745,0.23949579831932774,0.40740740740740744,0.3815789473684211,0.13559322033898305,0.1278538812785388,0.552,0.1728395061728395,0.16666666666666666,0.053571428571428575,0.09821428571428573,0.08928571428571429,0.2276422764227642,0.20689655172413793,0.025641025641025644,0.2820512820512821,0.5121951219512195,0.2627986348122867,0.37777777777777777,0.30833333333333335,0.2222222222222222,0.2074074074074074,0.25,0.27,0.175,0.18888888888888888,0.05185185185185185,0.17460317460317462,0.1288888888888889,0.4074074074074074,0.13333333333333333,0.047619047619047616,0.17500000000000002,0.1708333333333333,0.3333333333333333,0.0,0.0
Victor Alexander,C,25,GSW,0.6097560975609756,0.36804522463552514,0.4814814814814815,0.3504950495049505,0.515,0.015873015873015876,0.026385224274406333,0.24,0.47089947089947093,0.5758620689655172,0.531,0.06167400881057269,0.09411764705882353,0.6,0.17258883248730963,0.45505617977528084,0.3495440729483283,0.12698412698412698,0.08208955223880597,0.18032786885245905,0.17341040462427745,0.1642651296829971,0.3153724247226624,0.408,0.9327731092436975,0.31840796019900497,0.46654929577464793,0.055999999999999994,0.067,0.1684901531728665,0.48677248677248675,0.35422343324250677,0.10249671484888305,0.08208955223880597,0.186046511627907,0.276,0.3547169811320755,,0.028037383177570093,0.11940298507462686,0.06285714285714286,0.08943089430894309,,-0.07570977917981073,-0.03529411764705882,-0.07758620689655174,-0.02469135802469136,0.6024390243902439,0.38983050847457623,0.3739495798319328,0.037037037037037035,0.06578947368421052,0.3813559322033898,0.3835616438356165,0.521,0.08641975308641975,0.1111111111111111,0.3035714285714286,0.36607142857142855,0.34523809523809523,0.09756097560975609,0.20689655172413793,0.15384615384615385,0.38461538461538464,0.7073170731707318,0.341296928327645,0.4962962962962963,0.3611111111111111,0.022222222222222223,0.025925925925925925,0.5416666666666666,0.615,0.0625,0.09444444444444444,0.18518518518518517,0.4682539682539683,0.37777777777777777,0.1259259259259259,0.08888888888888889,0.19047619047619047,0.18333333333333335,0.17500000000000002,0.3244444444444444,0.0,0.0
Derrick Alston,C,22,PHI,0.7804878048780488,0.3070514727759595,0.32275132275132273,0.2613861386138614,0.465,0.0,0.005277044854881267,0.0,0.32275132275132273,0.4482758620689655,0.47200000000000003,0.13215859030837004,0.2392156862745098,0.49200000000000005,0.25380710659898476,0.34831460674157305,0.3404255319148936,0.08994708994708996,0.14925373134328357,0.2950819672131148,0.15606936416184972,0.15850144092219018,0.24247226624405707,0.396,0.9159663865546218,0.2885572139303482,0.42341549295774655,0.016,0.2325,0.24070021881838072,0.3650793650793651,0.33787465940054495,0.06701708278580815,0.14925373134328357,0.29069767441860467,0.292,0.2962264150943396,,0.0,0.14925373134328357,0.05714285714285714,0.09146341463414633,,-0.0914826498422713,0.058823529411764705,-0.06896551724137931,-0.01234567901234568,0.3926829268292683,0.16101694915254236,0.1680672268907563,0.0,0.013157894736842106,0.16101694915254236,0.18264840182648404,0.465,0.11111111111111112,0.1759259259259259,0.26785714285714285,0.16964285714285715,0.20238095238095236,0.04065040650406504,0.20689655172413793,0.12820512820512822,0.20512820512820515,0.41463414634146345,0.16040955631399317,0.3111111111111111,0.25,0.0,0.003703703703703704,0.35000000000000003,0.445,0.13125,0.23333333333333334,0.2518518518518518,0.33333333333333337,0.3377777777777778,0.08888888888888889,0.15555555555555556,0.2857142857142857,0.15,0.15416666666666667,0.23111111111111113,0.0,0.0
Greg Anderson,PF,30,ATL,0.6219512195121951,0.18506396905682831,0.2592592592592593,0.17623762376237626,0.5479999999999999,0.0,0.0,,0.2592592592592593,0.30689655172413793,0.5479999999999999,0.1277533039647577,0.2392156862745098,0.479,0.26903553299492383,0.6067415730337079,0.4893617021276596,0.07936507936507937,0.14925373134328357,0.4426229508196722,0.15606936416184972,0.25360230547550433,0.20126782884310618,0.42,0.8403361344537815,0.3134328358208955,0.4815140845070423,0.0,0.34149999999999997,0.24726477024070023,0.6402116402116402,0.47956403269754766,0.05387647831800263,0.14925373134328357,0.4534883720930233,0.382,0.230188679245283,,0.028037383177570093,0.19402985074626866,0.08571428571428572,0.23983739837398374,,-0.12933753943217666,0.31764705882352945,-0.040229885057471264,0.01234567901234568,0.2975609756097561,0.09322033898305085,0.08403361344537814,0.0,0.0,0.09322033898305085,0.09132420091324202,0.5479999999999999,0.08641975308641975,0.12962962962962962,0.2142857142857143,0.22321428571428573,0.22023809523809523,0.024390243902439022,0.1724137931034483,0.15384615384615385,0.15384615384615385,0.48780487804878053,0.09897610921501707,0.24444444444444444,0.16666666666666666,0.0,0.0,0.27499999999999997,0.3,0.125,0.22777777777777775,0.26666666666666666,0.5793650793650794,0.48444444444444446,0.07407407407407407,0.14444444444444446,0.45238095238095233,0.15833333333333333,0.25,0.1911111111111111,0.0,0.0
Kenny Anderson,PG,24,NJN,0.8780487804878049,0.8000595060993752,0.4232804232804233,0.394059405940594,0.39899999999999997,0.15079365079365079,0.1503957783641161,0.33,0.32275132275132273,0.4931034482758621,0.426,0.29515418502202645,0.3137254901960784,0.841,0.07106598984771574,0.19101123595505617,0.1458966565349544,0.6984126984126984,0.14925373134328357,0.04918032786885246,0.2543352601156069,0.10374639769452448,0.38827258320126784,0.448,0.9327731092436975,0.4477611940298507,0.4595070422535212,0.285,0.201,0.06564551422319474,0.1904761904761905,0.13896457765667572,0.566360052562418,0.14925373134328357,0.04651162790697675,0.312,0.44339622641509435,,0.4485981308411215,0.29850746268656714,0.38857142857142857,0.2479674796747967,,0.11041009463722398,-0.21176470588235294,0.04885057471264368,0.308641975308642,0.9097560975609755,0.4830508474576271,0.6008403361344538,0.48148148148148145,0.5394736842105263,0.3728813559322034,0.4657534246575342,0.446,0.5925925925925926,0.537037037037037,0.17857142857142858,0.22321428571428573,0.20833333333333331,0.7642276422764227,0.48275862068965514,0.05128205128205129,0.7948717948717949,0.6341463414634148,0.6006825938566553,0.4074074074074074,0.38333333333333336,0.14444444444444446,0.14444444444444443,0.35000000000000003,0.495,0.29375,0.3055555555555556,0.07407407407407407,0.19047619047619047,0.14666666666666667,0.674074074074074,0.15555555555555556,0.047619047619047616,0.25,0.10416666666666667,0.37777777777777777,0.0,0.0
Nick Anderson,SG,27,ORL,0.926829268292683,0.7700089259149063,0.45502645502645506,0.3564356435643564,0.47600000000000003,0.2777777777777778,0.2216358839050132,0.415,0.2698412698412698,0.3310344827586207,0.528,0.12334801762114538,0.1568627450980392,0.7040000000000001,0.08629441624365482,0.2752808988764045,0.19756838905775076,0.32275132275132273,0.1791044776119403,0.06557377049180328,0.15606936416184972,0.06916426512968299,0.3708399366085578,0.476,0.907563025210084,0.4353233830845771,0.5220070422535211,0.467,0.11,0.08533916849015316,0.2830687830687831,0.2016348773841962,0.22864651773981604,0.1791044776119403,0.06976744186046512,0.244,0.36037735849056607,,0.5327102803738318,0.3880597014925373,0.4742857142857143,0.3130081300813008,,0.12618296529968454,-0.023529411764705882,0.11206896551724138,0.4691358024691358,0.8317073170731708,0.4915254237288135,0.5084033613445378,0.8888888888888888,0.7500000000000001,0.28813559322033894,0.29680365296803657,0.573,0.2345679012345679,0.25,0.19642857142857145,0.29464285714285715,0.2619047619047619,0.33333333333333326,0.5517241379310345,0.07692307692307693,0.48717948717948717,0.39024390243902446,0.5392491467576792,0.45185185185185184,0.35555555555555557,0.2777777777777778,0.2222222222222222,0.3,0.33999999999999997,0.125,0.15555555555555556,0.08888888888888889,0.2777777777777778,0.2088888888888889,0.32592592592592595,0.18888888888888888,0.07142857142857142,0.16666666666666666,0.07083333333333333,0.3711111111111111,0.0,0.0
