player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Steven Adams,C,20,1197.0,0.503,13.9,1.8,1.7,2.4,11.1,108.0,102.0,11.2,0.541,15.6,4.9,11.7,2.9,0.3,0.7,0.503,1.0,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,2.3,0.0
Arron Afflalo,SG,28,2552.0,0.45899999999999996,5.3,5.0,0.7,0.1,26.7,110.0,112.0,16.0,0.574,5.8,16.9,23.3,5.3,-0.6,0.9,0.522,3.8,4.6,0.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,1.9,18.2,13.8,0.0
LaMarcus Aldridge,PF,28,2498.0,0.45799999999999996,15.5,3.6,1.3,1.4,32.5,108.0,104.0,21.8,0.507,16.5,13.0,29.8,7.5,0.3,1.5,0.45899999999999996,4.3,5.2,0.8220000000000001,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,20.6,26.0
Lavoy Allen,PF,24,1072.0,0.447,14.1,3.2,1.1,1.5,13.8,104.0,108.0,12.5,0.47,15.7,10.1,14.6,1.5,-2.8,-0.2,0.45,0.5,0.8,0.66,1.8,3.0,4.8,1.1,0.4,0.5,0.7,1.9,4.7,4.6,0.0
Ray Allen,SG,38,1936.0,0.442,5.6,3.9,1.5,0.2,19.1,111.0,109.0,12.8,0.59,6.7,11.1,16.8,4.1,0.1,1.0,0.5489999999999999,1.4,1.6,0.905,0.3,2.5,2.8,2.0,0.7,0.1,1.2,1.6,9.6,7.4,0.0
Tony Allen,SG,32,1278.0,0.494,8.7,3.9,3.8,0.8,20.7,102.0,101.0,15.6,0.531,9.6,11.7,20.1,2.7,2.3,1.4,0.507,1.4,2.2,0.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9.0,7.5,0.0
Al-Farouq Aminu,SF,23,2045.0,0.474,12.6,2.9,2.1,1.0,14.6,105.0,108.0,13.2,0.516,14.1,8.4,14.3,3.1,-0.3,0.9,0.48700000000000004,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,7.2,6.2,0.0
Chris Andersen,C,35,1396.0,0.644,14.3,0.7,1.2,3.7,18.0,130.0,102.0,18.5,0.6829999999999999,17.1,2.1,13.8,6.0,1.6,1.3,0.649,1.7,2.3,0.71,1.8,3.5,5.3,0.3,0.4,1.3,0.7,2.3,6.6,3.8,0.0
Alan Anderson,SF,31,1773.0,0.4,5.2,2.4,1.4,0.3,16.7,103.0,111.0,9.5,0.525,5.9,7.3,15.9,1.7,-2.2,-0.1,0.48700000000000004,1.2,1.5,0.78,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,7.2,6.2,0.0
James Anderson,SG,24,2309.0,0.431,6.3,3.1,1.6,0.6,17.0,102.0,112.0,10.9,0.53,7.0,9.9,15.9,1.9,-2.5,-0.3,0.511,1.0,1.3,0.726,0.7,3.0,3.8,1.9,0.9,0.4,1.3,1.9,10.1,9.0,0.0
