player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Arron Afflalo,SG,26,2086.0,0.47100000000000003,4.8,3.6,0.9,0.3,23.0,116.0,111.0,14.7,0.584,5.5,11.1,19.1,5.3,0.8,1.5,0.534,3.2,4.0,0.7979999999999999,0.6,2.5,3.2,2.4,0.6,0.2,1.4,2.2,15.2,11.3,0.0
LaMarcus Aldridge,PF,26,1994.0,0.512,11.7,3.5,1.3,1.2,31.4,113.0,106.0,22.7,0.56,12.9,13.2,27.0,7.0,2.4,2.2,0.513,4.1,5.0,0.8140000000000001,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,21.7,17.1,0.0
Ray Allen,SG,36,1565.0,0.45799999999999996,4.8,3.7,1.7,0.3,22.2,111.0,101.0,14.8,0.607,5.3,11.8,18.6,4.7,2.6,1.8,0.5660000000000001,2.1,2.3,0.915,0.3,2.8,3.1,2.4,1.1,0.2,1.5,1.8,14.2,10.7,0.0
Tony Allen,SG,30,1525.0,0.469,8.1,2.7,3.6,1.1,19.7,106.0,100.0,15.7,0.541,8.9,8.3,18.4,4.2,2.5,1.7,0.478,2.4,3.0,0.8,1.7,2.3,4.0,1.4,1.8,0.6,1.6,2.4,9.8,7.7,0.0
Al-Farouq Aminu,SF,21,1477.0,0.41100000000000003,11.3,2.4,2.2,1.3,14.7,93.0,103.0,10.6,0.48100000000000004,12.4,7.2,16.2,1.4,-1.3,0.2,0.429,1.3,1.7,0.754,1.4,3.2,4.7,1.0,0.9,0.5,1.4,2.1,6.0,5.5,0.0
Ryan Anderson,PF,23,1964.0,0.439,12.9,1.5,1.4,0.7,26.9,124.0,105.0,21.2,0.589,13.8,5.1,21.2,8.9,4.6,3.3,0.5479999999999999,2.5,2.8,0.877,3.7,4.0,7.7,0.9,0.8,0.4,0.9,2.4,16.1,12.4,0.0
Carmelo Anthony,SF,27,1876.0,0.43,9.4,5.5,1.7,0.7,34.2,106.0,102.0,21.1,0.525,10.6,21.0,31.8,6.2,2.9,2.3,0.46299999999999997,5.4,6.7,0.804,1.6,4.7,6.3,3.6,1.1,0.4,2.6,2.8,22.6,18.6,0.0
Joel Anthony,C,29,1349.0,0.5589999999999999,9.8,0.4,1.4,3.3,8.5,113.0,100.0,10.3,0.598,11.1,1.0,7.8,3.4,0.7,0.9,0.5589999999999999,0.8,1.1,0.69,1.6,2.3,3.9,0.1,0.6,1.3,0.7,2.0,3.4,2.4,0.0
Trevor Ariza,SF,26,1350.0,0.41700000000000004,8.7,5.4,2.8,1.0,17.9,100.0,103.0,14.2,0.496,9.5,16.8,18.4,2.2,1.8,1.3,0.45299999999999996,1.9,2.5,0.775,1.0,4.2,5.2,3.3,1.7,0.6,1.9,1.8,10.8,9.8,0.0
D.J. Augustin,PG,24,1408.0,0.376,4.1,11.5,1.3,0.0,19.9,100.0,114.0,14.1,0.493,4.4,38.9,21.3,0.5,-3.6,-0.6,0.43799999999999994,2.2,2.5,0.875,0.5,1.8,2.3,6.4,0.8,0.0,2.3,1.4,11.1,10.1,0.0
Gustavo Ayón,PF,26,1088.0,0.536,13.2,3.7,2.6,2.3,15.9,111.0,100.0,16.7,0.552,14.5,11.5,14.5,3.2,3.4,1.5,0.536,0.7,1.2,0.619,1.6,3.3,4.9,1.4,1.0,0.9,0.9,2.2,5.9,4.8,0.0
Leandro Barbosa,SG,29,1382.0,0.425,5.0,3.7,2.2,0.3,27.4,99.0,106.0,14.0,0.512,5.3,13.3,26.5,1.7,-2.0,0.0,0.47600000000000003,1.6,1.9,0.815,0.5,1.5,2.0,1.5,0.9,0.1,1.5,2.1,11.1,10.0,0.0
J.J. Barea,PG,27,1032.0,0.4,5.7,11.6,1.0,0.0,23.1,101.0,110.0,14.9,0.502,6.1,39.0,24.3,1.2,-1.3,0.2,0.46299999999999997,1.9,2.4,0.7759999999999999,0.3,2.4,2.8,5.7,0.5,0.0,2.5,1.5,11.3,10.2,0.0
Andrea Bargnani,C,26,1032.0,0.43200000000000005,9.0,3.2,0.9,0.8,31.4,104.0,106.0,17.9,0.5379999999999999,9.8,11.6,28.7,2.2,-0.8,0.3,0.467,4.9,5.6,0.873,0.8,4.8,5.5,2.0,0.6,0.5,2.2,1.7,19.5,15.6,0.0
Matt Barnes,SF,31,1440.0,0.452,12.7,4.6,1.3,1.8,18.1,112.0,103.0,15.5,0.5539999999999999,13.3,13.8,16.4,4.3,2.6,1.7,0.512,1.5,2.0,0.742,1.5,3.9,5.5,2.0,0.6,0.8,1.2,2.4,7.8,6.1,0.0
Brandon Bass,PF,26,1868.0,0.479,10.4,1.6,1.0,1.5,21.0,103.0,99.0,14.1,0.524,11.5,5.1,19.8,4.7,-1.1,0.4,0.479,2.2,2.8,0.81,1.6,4.6,6.2,0.9,0.6,0.9,1.1,2.3,12.5,10.7,0.0
Shane Battier,SF,33,1499.0,0.387,5.5,2.9,2.2,1.2,10.9,108.0,102.0,9.7,0.504,6.2,8.0,10.7,3.3,1.7,1.4,0.493,0.4,0.6,0.622,0.9,1.5,2.4,1.3,1.0,0.5,0.6,1.6,4.8,4.5,0.0
Nicolas Batum,SF,23,1791.0,0.451,8.0,2.5,1.7,1.8,24.0,112.0,107.0,17.3,0.575,8.8,7.9,20.5,4.8,2.3,1.9,0.534,2.3,2.7,0.836,1.4,3.2,4.6,1.4,1.0,1.0,1.5,1.8,13.9,10.9,0.0
Michael Beasley,SF,23,1087.0,0.445,9.8,2.1,0.9,0.9,25.6,95.0,107.0,13.0,0.502,10.6,7.7,25.3,0.5,-3.9,-0.5,0.483,1.3,2.0,0.642,0.8,3.6,4.4,1.0,0.4,0.4,1.7,1.8,11.5,10.6,0.0
Rodrigue Beaubois,PG,23,1151.0,0.42200000000000004,6.9,6.9,2.6,1.3,21.5,100.0,101.0,15.3,0.496,7.4,22.7,22.0,2.2,1.3,0.9,0.465,1.1,1.3,0.841,0.4,2.5,2.8,2.9,1.1,0.5,1.3,1.8,8.9,8.4,0.0
Marco Belinelli,SG,25,1966.0,0.41700000000000004,4.8,2.8,1.3,0.1,21.6,105.0,109.0,11.9,0.525,5.2,8.9,19.5,2.9,-1.4,0.3,0.495,1.5,2.0,0.7829999999999999,0.3,2.3,2.6,1.5,0.7,0.1,1.0,1.7,11.8,10.4,0.0
Bismack Biyombo,C,19,1455.0,0.46399999999999997,13.3,1.0,0.7,4.2,11.8,92.0,107.0,10.6,0.48,14.5,3.1,13.1,0.6,-3.9,-0.7,0.46399999999999997,1.1,2.3,0.483,1.8,4.0,5.8,0.4,0.3,1.8,1.1,2.3,5.2,4.4,0.0
DeJuan Blair,PF,22,1363.0,0.534,13.3,3.0,2.2,0.5,23.2,108.0,102.0,17.6,0.5489999999999999,14.8,9.2,21.7,4.0,1.6,1.2,0.534,1.1,1.9,0.613,2.4,3.1,5.5,1.2,0.9,0.2,1.4,2.6,9.5,7.9,0.0
Steve Blake,PG,31,1237.0,0.377,3.6,7.5,1.7,0.1,11.8,98.0,108.0,8.5,0.493,3.8,21.0,13.0,1.0,-2.9,-0.3,0.47600000000000003,0.4,0.5,0.778,0.2,1.4,1.6,3.3,0.7,0.0,1.4,1.4,5.2,5.1,0.0
Matt Bonner,PF,31,1326.0,0.44,8.3,2.4,0.6,0.8,16.7,124.0,106.0,13.2,0.597,9.3,6.5,12.8,4.0,2.0,1.3,0.59,0.2,0.3,0.762,0.4,2.8,3.3,0.9,0.2,0.3,0.2,1.0,6.6,5.4,0.0
Trevor Booker,PF,24,1261.0,0.531,13.4,1.6,2.0,1.8,17.2,109.0,104.0,15.4,0.5489999999999999,14.5,5.1,15.6,3.0,0.3,0.7,0.532,1.1,1.9,0.602,2.4,4.1,6.5,0.8,1.0,0.9,1.2,2.8,8.4,6.8,0.0
Carlos Boozer,PF,30,1948.0,0.532,15.6,3.5,1.7,0.7,27.4,108.0,95.0,19.7,0.5489999999999999,16.1,11.8,23.8,7.6,2.0,2.0,0.532,1.4,2.1,0.693,1.7,6.8,8.5,1.9,1.0,0.4,1.7,2.5,15.0,12.8,0.0
Chris Bosh,PF,27,2007.0,0.48700000000000004,11.9,2.7,1.3,1.2,26.9,109.0,100.0,18.9,0.551,13.5,9.1,24.2,6.9,0.0,1.0,0.493,4.0,4.9,0.821,1.6,6.3,7.9,1.8,0.9,0.8,2.1,2.2,18.0,14.2,0.0
Avery Bradley,PG,21,1368.0,0.498,4.5,3.4,1.7,0.5,18.8,100.0,102.0,11.3,0.555,5.0,10.8,17.9,2.4,-1.3,0.2,0.525,1.0,1.2,0.795,0.5,1.3,1.8,1.4,0.7,0.2,1.2,1.7,7.6,6.3,0.0
Elton Brand,C,32,1732.0,0.494,13.3,3.0,1.8,3.0,20.4,108.0,96.0,18.0,0.521,13.7,9.2,18.9,6.1,2.9,2.2,0.494,1.4,1.9,0.733,2.4,4.7,7.2,1.6,1.0,1.6,1.1,2.9,11.0,9.7,0.0
Corey Brewer,SF,25,1287.0,0.434,5.9,3.5,2.9,0.7,20.8,104.0,106.0,13.7,0.505,6.8,10.6,20.0,2.3,0.3,0.8,0.47,1.5,2.2,0.6920000000000001,0.7,1.8,2.5,1.5,1.2,0.3,0.9,1.9,8.9,7.8,0.0
Ronnie Brewer,SG,26,1635.0,0.42700000000000005,7.6,4.5,2.4,0.7,15.0,103.0,99.0,12.3,0.465,7.9,12.7,15.3,3.9,1.2,1.3,0.44799999999999995,0.8,1.5,0.56,1.1,2.4,3.5,2.1,1.1,0.3,0.9,1.0,6.9,6.7,0.0
MarShon Brooks,SG,23,1648.0,0.428,6.5,4.2,1.7,0.5,22.9,98.0,111.0,12.9,0.502,7.0,14.6,22.9,0.8,-2.5,-0.2,0.465,2.0,2.6,0.764,1.3,2.3,3.6,2.3,0.9,0.3,2.1,2.1,12.6,11.4,0.0
Derrick Brown,SF,24,1443.0,0.518,8.6,2.4,1.8,0.4,19.1,110.0,111.0,14.7,0.556,9.4,8.5,16.8,2.3,-1.5,0.2,0.526,1.4,2.2,0.667,1.5,2.2,3.6,1.0,0.7,0.2,0.8,1.5,8.1,6.3,0.0
Shannon Brown,SG,26,1400.0,0.42,5.8,2.6,1.6,0.6,24.1,101.0,108.0,13.6,0.507,6.3,8.1,22.8,1.6,-1.3,0.2,0.47700000000000004,1.4,1.7,0.8079999999999999,0.6,2.0,2.7,1.2,0.7,0.3,1.1,1.1,11.0,10.1,0.0
Kobe Bryant,SG,33,2232.0,0.43,7.4,6.3,1.6,0.4,38.4,105.0,106.0,21.9,0.527,7.8,23.7,35.7,6.2,2.3,2.4,0.462,6.6,7.8,0.845,1.1,4.3,5.4,4.6,1.2,0.3,3.5,1.8,27.9,23.0,352.0
Chase Budinger,SF,23,1298.0,0.442,8.8,3.0,1.2,0.3,22.5,110.0,107.0,14.9,0.556,9.7,9.3,19.5,3.0,0.0,0.6,0.535,0.9,1.2,0.7709999999999999,0.7,3.1,3.7,1.3,0.5,0.1,0.9,1.1,9.6,8.1,0.0
Caron Butler,SF,31,1871.0,0.40700000000000003,6.6,2.2,1.5,0.3,21.7,102.0,108.0,11.7,0.501,7.3,6.8,20.4,2.3,-2.2,-0.1,0.47200000000000003,1.4,1.7,0.813,0.7,3.0,3.7,1.2,0.8,0.1,1.2,2.0,12.0,11.2,0.0
Andrew Bynum,C,24,2112.0,0.5579999999999999,17.8,2.1,0.7,2.9,28.2,112.0,100.0,22.9,0.594,18.7,7.4,23.8,8.0,1.8,2.0,0.5579999999999999,3.9,5.6,0.6920000000000001,3.2,8.6,11.8,1.4,0.5,1.9,2.5,1.7,18.7,13.3,0.0
José Calderón,PG,30,1799.0,0.457,4.8,14.0,1.4,0.1,16.6,116.0,108.0,16.7,0.547,5.2,44.2,16.0,5.1,-0.4,0.7,0.519,1.1,1.3,0.882,0.4,2.7,3.0,8.8,0.9,0.1,2.0,1.8,10.5,9.0,0.0
Marcus Camby,C,37,1352.0,0.446,20.6,4.2,1.9,3.3,11.2,105.0,98.0,16.2,0.455,22.8,11.9,12.6,3.6,3.0,1.7,0.449,0.5,1.1,0.45299999999999996,2.7,6.3,9.0,1.8,0.8,1.4,1.0,2.1,4.9,4.9,0.0
Vince Carter,SG,35,1542.0,0.41100000000000003,7.0,4.7,1.9,0.9,20.9,102.0,103.0,13.6,0.519,7.5,15.0,20.4,2.9,0.6,1.0,0.48,1.6,1.9,0.826,0.5,2.8,3.4,2.3,0.9,0.4,1.4,2.2,10.1,8.9,0.0
Omri Casspi,SF,23,1341.0,0.40299999999999997,8.9,2.6,1.5,0.8,18.0,101.0,109.0,11.2,0.499,9.7,8.4,17.6,1.2,-2.4,-0.1,0.467,1.1,1.7,0.685,1.0,2.5,3.5,1.0,0.6,0.3,1.0,1.8,7.1,6.3,0.0
Mario Chalmers,PG,25,1825.0,0.44799999999999995,4.9,6.4,2.8,0.3,18.1,104.0,101.0,13.0,0.578,5.6,19.0,17.4,4.3,1.4,1.5,0.5489999999999999,1.3,1.6,0.792,0.3,2.4,2.7,3.5,1.5,0.2,2.2,2.6,9.8,7.8,0.0
Tyson Chandler,C,29,2061.0,0.679,15.3,1.4,1.4,2.2,17.5,130.0,99.0,18.7,0.708,17.2,4.3,13.0,9.5,4.1,3.2,0.679,3.5,5.1,0.6890000000000001,3.4,6.5,9.9,0.9,0.9,1.4,1.6,3.0,11.3,5.7,0.0
Norris Cole,PG,23,1260.0,0.39299999999999996,3.8,5.6,1.8,0.1,18.4,88.0,104.0,7.9,0.452,4.3,17.0,21.8,0.0,-5.9,-1.2,0.41700000000000004,1.0,1.3,0.7759999999999999,0.3,1.1,1.4,2.0,0.7,0.0,1.6,1.9,6.8,6.9,0.0
Darren Collison,PG,24,1878.0,0.44,5.3,8.1,1.4,0.4,17.5,108.0,107.0,13.6,0.526,5.6,24.9,17.0,3.8,-0.3,0.8,0.47200000000000003,2.1,2.6,0.83,0.5,2.6,3.1,4.8,0.8,0.2,1.9,1.7,10.4,8.7,0.0
Nick Collison,PF,31,1307.0,0.597,10.8,3.2,1.3,1.1,11.2,121.0,105.0,12.1,0.622,12.0,9.3,10.0,3.5,2.2,1.4,0.597,0.7,1.0,0.71,1.9,2.5,4.3,1.3,0.5,0.4,1.0,2.4,4.5,3.2,0.0
Mike Conley,PG,24,2174.0,0.433,3.8,9.8,3.3,0.3,19.2,110.0,102.0,16.8,0.523,4.2,29.8,18.3,6.4,1.9,2.1,0.47700000000000004,2.2,2.5,0.861,0.4,2.2,2.5,6.5,2.2,0.2,2.0,2.1,12.7,11.0,0.0
DeMarcus Cousins,C,21,1950.0,0.44799999999999995,18.3,2.7,2.4,1.9,30.2,102.0,104.0,21.7,0.499,19.8,9.5,29.7,4.2,-0.3,0.8,0.449,4.1,5.8,0.7020000000000001,4.1,6.8,11.0,1.6,1.5,1.2,2.7,4.0,18.1,15.6,0.0
Jamal Crawford,PG,31,1613.0,0.384,3.8,6.2,1.8,0.5,27.3,102.0,109.0,15.7,0.506,4.3,20.5,26.6,2.3,-1.7,0.1,0.43799999999999994,3.2,3.4,0.927,0.3,1.7,2.0,3.2,0.9,0.2,1.9,1.2,14.0,12.3,0.0
Jordan Crawford,SG,23,1753.0,0.4,5.0,5.6,1.7,0.1,27.8,97.0,110.0,14.5,0.488,5.4,19.3,28.1,1.1,-2.3,-0.2,0.446,2.5,3.2,0.7929999999999999,0.7,1.9,2.6,3.0,0.9,0.1,2.2,1.7,14.7,13.6,0.0
Dante Cunningham,PF,24,1124.0,0.516,11.6,1.7,2.0,1.6,15.7,115.0,101.0,14.9,0.5379999999999999,12.8,5.2,13.6,3.4,0.8,0.8,0.516,0.7,1.1,0.652,1.4,2.4,3.8,0.6,0.7,0.5,0.5,1.5,5.2,4.4,0.0
Samuel Dalembert,C,30,1446.0,0.506,16.5,1.2,1.3,4.0,17.7,108.0,100.0,16.9,0.551,18.3,3.6,16.6,4.1,0.3,0.8,0.506,1.4,1.7,0.7959999999999999,2.4,4.6,7.0,0.5,0.6,1.7,1.3,2.5,7.5,6.1,0.0
Ed Davis,PF,22,1534.0,0.513,15.4,2.1,1.4,2.2,14.5,108.0,101.0,14.2,0.544,16.7,6.5,13.8,3.9,0.9,1.1,0.513,1.1,1.6,0.67,2.0,4.6,6.6,0.9,0.6,1.0,1.0,2.4,6.3,5.1,0.0
