player,pos_x,age_x,team_id_x,g_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,votes_first,points_won,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,efg_pct,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fg_per_mp,fga_per_mp,fg3_per_mp,fg3a_per_mp,fg2_per_mp,fg2a_per_mp,ft_per_mp,fta_per_mp,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
Mahmoud Abdul-Rauf,PG,21,DEN,67.0,1505.0,11.7,28.3,0.413,0.7,2.8,0.24,11.0,25.5,0.43200000000000005,2.4,2.7,0.857,1.0,2.4,3.4,5.8,1.5,0.1,3.1,4.2,26.4,96.0,118.0,12.2,0.44799999999999995,0.099,0.09699999999999999,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,,-0.7,-0.3,-1.0,-0.031,,-1.7,-4.4,-6.1,-1.6,0.0,0.0,22.5,6.2,15.1,0.4,1.5,5.9,13.6,0.425,1.3,1.5,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1,10.0,24.1,0.6,2.4,9.4,21.7,2.0,2.3,0.8,2.1,2.9,4.9,1.3,0.1,2.6,3.6,22.5
Mark Acres,C,28,ORL,68.0,1313.0,4.0,7.9,0.509,0.0,0.1,0.33299999999999996,4.0,7.8,0.512,2.4,3.7,0.653,5.1,8.0,13.2,0.9,0.9,0.9,1.5,8.0,10.5,116.0,109.0,9.2,0.551,0.013999999999999999,0.47200000000000003,11.3,18.7,14.9,2.5,0.9,1.1,14.0,9.3,,1.4,1.1,2.5,0.09,,-2.1,0.3,-1.8,0.1,0.0,0.0,19.3,1.6,3.1,0.0,0.0,1.6,3.1,0.512,1.0,1.5,2.1,3.2,5.3,0.4,0.4,0.4,0.6,3.2,4.2,3.0,5.9,0.0,0.1,3.0,5.8,1.8,2.8,3.8,6.0,9.8,0.7,0.7,0.7,1.2,6.0,7.8
Michael Adams,PG,28,DEN,66.0,2346.0,10.1,25.6,0.39399999999999996,3.0,10.2,0.29600000000000004,7.1,15.4,0.45899999999999996,8.4,9.5,0.879,1.0,3.6,4.6,12.5,2.6,0.1,4.3,2.9,31.5,113.0,115.0,22.3,0.53,0.397,0.37200000000000005,2.1,8.8,5.2,39.4,2.6,0.1,12.7,28.5,,5.8,0.4,6.3,0.128,,7.1,-2.7,4.4,3.8,0.0,0.0,35.5,8.5,21.5,2.5,8.5,6.0,13.0,0.45299999999999996,7.0,8.0,0.9,3.0,3.9,10.5,2.2,0.1,3.6,2.5,26.5,8.6,21.8,2.6,8.7,6.0,13.2,7.1,8.1,0.9,3.0,3.9,10.6,2.3,0.1,3.7,2.5,26.9
Mark Aguirre,SF,31,DET,78.0,2006.0,10.9,23.7,0.462,0.6,2.0,0.308,10.3,21.6,0.47700000000000004,6.2,8.3,0.757,3.5,6.2,9.7,3.6,1.2,0.5,3.3,5.4,28.7,109.0,105.0,16.7,0.526,0.086,0.349,7.6,13.7,10.7,11.6,1.2,0.6,10.9,25.7,,2.8,2.7,5.5,0.132,,0.9,-0.3,0.7,1.4,0.0,0.0,25.7,5.4,11.7,0.3,1.0,5.1,10.7,0.475,3.1,4.1,1.7,3.1,4.8,1.8,0.6,0.3,1.6,2.7,14.2,7.5,16.3,0.4,1.4,7.1,14.9,4.3,5.7,2.4,4.3,6.7,2.5,0.8,0.4,2.3,3.8,19.8
Danny Ainge,SG,31,POR,80.0,1710.0,9.4,19.9,0.47200000000000003,2.8,7.0,0.406,6.6,12.9,0.508,3.2,3.9,0.826,1.3,4.5,5.7,8.0,1.8,0.4,2.8,5.4,24.9,119.0,106.0,17.0,0.574,0.35200000000000004,0.193,2.9,10.2,6.6,23.8,1.8,0.5,11.4,20.8,,4.1,2.1,6.2,0.175,,3.4,-0.6,2.8,2.1,0.0,0.0,21.4,4.2,8.9,1.3,3.1,2.9,5.8,0.5429999999999999,1.4,1.7,0.6,2.0,2.6,3.6,0.8,0.2,1.3,2.4,11.1,7.1,15.0,2.1,5.3,4.9,9.7,2.4,2.9,0.9,3.4,4.3,6.0,1.3,0.3,2.1,4.1,18.7
Nick Anderson,SG,23,ORL,70.0,1971.0,9.8,21.0,0.467,0.4,1.4,0.293,9.4,19.6,0.479,4.2,6.3,0.6679999999999999,2.3,7.2,9.4,2.6,1.8,1.1,2.8,3.5,24.2,104.0,108.0,15.1,0.51,0.068,0.302,4.9,16.7,10.7,8.5,1.8,1.3,10.4,22.4,,1.2,1.9,3.1,0.075,,-1.1,0.1,-1.0,0.5,0.0,0.0,28.2,5.7,12.2,0.2,0.8,5.5,11.4,0.47700000000000004,2.5,3.7,1.3,4.2,5.5,1.5,1.1,0.6,1.6,2.1,14.1,7.3,15.7,0.3,1.1,7.0,14.6,3.2,4.7,1.7,5.4,7.1,1.9,1.4,0.8,2.1,2.6,18.1
Ron Anderson,SF,32,PHI,82.0,2340.0,11.0,22.6,0.485,0.2,0.9,0.209,10.8,21.7,0.49700000000000005,3.5,4.2,0.833,2.2,5.7,7.9,2.5,1.4,0.3,2.1,3.5,25.7,107.0,110.0,15.5,0.524,0.040999999999999995,0.188,5.0,12.4,8.8,8.2,1.4,0.3,8.1,23.2,,2.3,1.8,4.1,0.085,,-0.5,-1.8,-2.3,-0.2,0.0,0.0,28.5,6.2,12.9,0.1,0.5,6.1,12.3,0.49,2.0,2.4,1.3,3.2,4.5,1.4,0.8,0.2,1.2,2.0,14.6,7.9,16.2,0.1,0.7,7.7,15.6,2.5,3.0,1.6,4.1,5.6,1.8,1.0,0.2,1.5,2.5,18.4
Willie Anderson,SG,24,SAS,75.0,2592.0,8.5,18.6,0.457,0.1,0.7,0.2,8.4,18.0,0.467,3.2,4.0,0.7979999999999999,1.3,5.3,6.6,6.7,1.5,0.9,3.1,4.2,20.3,103.0,105.0,13.0,0.499,0.035,0.215,3.1,11.5,7.5,20.2,1.5,1.1,13.3,20.1,,1.3,3.5,4.8,0.08900000000000001,,-0.8,0.9,0.1,1.4,0.0,0.0,34.6,6.0,13.2,0.1,0.5,5.9,12.7,0.461,2.3,2.8,0.9,3.8,4.7,4.8,1.1,0.6,2.2,3.0,14.4,6.3,13.8,0.1,0.5,6.2,13.3,2.4,3.0,0.9,3.9,4.9,5.0,1.1,0.6,2.3,3.1,15.0
B.J. Armstrong,PG,23,CHI,82.0,1731.0,8.8,18.3,0.48100000000000004,0.4,0.9,0.5,8.4,17.5,0.48,2.8,3.2,0.8740000000000001,0.7,3.6,4.3,8.7,2.0,0.1,3.1,3.4,20.9,111.0,108.0,14.8,0.529,0.047,0.17600000000000002,1.7,8.3,5.1,23.4,2.0,0.1,13.6,19.5,,2.3,1.8,4.1,0.114,,-0.4,-1.4,-1.8,0.1,0.0,0.0,21.1,3.7,7.7,0.2,0.4,3.5,7.3,0.493,1.2,1.4,0.3,1.5,1.8,3.7,0.9,0.0,1.3,1.4,8.8,6.3,13.1,0.3,0.6,6.0,12.5,2.0,2.3,0.5,2.6,3.1,6.3,1.5,0.1,2.2,2.5,15.0
Thurl Bailey,PF,29,UTA,82.0,2486.0,8.1,17.7,0.45799999999999996,0.0,0.1,0.0,8.1,17.6,0.45899999999999996,4.4,5.5,0.8079999999999999,2.0,6.2,8.2,2.5,1.1,1.8,2.6,3.2,20.6,101.0,106.0,12.5,0.513,0.003,0.311,5.1,13.6,9.6,7.7,1.1,2.3,11.6,20.0,,0.6,3.1,3.7,0.07200000000000001,,-2.4,1.2,-1.2,0.5,0.0,0.0,30.3,4.9,10.6,0.0,0.0,4.9,10.6,0.45799999999999996,2.7,3.3,1.2,3.7,5.0,1.5,0.6,1.1,1.6,2.0,12.4,5.8,12.6,0.0,0.0,5.8,12.6,3.2,3.9,1.5,4.4,5.9,1.8,0.8,1.3,1.9,2.3,14.7
