player,pos_x,age_x,team_id_x,g_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,votes_first,points_won,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,efg_pct,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fg_per_mp,fga_per_mp,fg3_per_mp,fg3a_per_mp,fg2_per_mp,fg2a_per_mp,ft_per_mp,fta_per_mp,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
Tom McMillen,C,29,ATL,73.0,1792.0,8.2,16.1,0.509,0.0,0.1,0.33299999999999996,8.2,16.0,0.51,3.9,4.8,0.8240000000000001,2.9,6.6,9.5,3.6,0.7,0.7,3.5,5.7,20.4,107.0,106.0,13.1,0.5589999999999999,0.005,0.297,6.4,14.8,10.6,11.2,0.7,0.8,16.1,18.7,,1.7,2.0,3.7,0.099,,-0.1,-0.3,-0.5,0.7,0.0,0.0,24.5,4.0,7.8,0.0,0.0,4.0,7.8,0.51,1.9,2.3,1.4,3.2,4.6,1.8,0.3,0.3,1.7,2.8,9.9,5.8,11.5,0.0,0.1,5.8,11.4,2.8,3.4,2.0,4.7,6.8,2.6,0.5,0.5,2.5,4.1,14.5
Mike Mitchell,SF,26,TOT,84.0,3063.0,11.6,22.8,0.51,0.0,0.1,0.0,11.6,22.7,0.512,3.4,4.7,0.728,3.8,5.3,9.1,1.3,0.9,0.7,2.4,4.3,26.7,109.0,111.0,15.9,0.536,0.005,0.204,8.5,12.4,10.5,4.1,0.9,0.8,8.7,23.2,,4.2,1.7,5.9,0.09300000000000001,,0.3,-1.8,-1.5,0.4,0.0,0.0,36.5,9.0,17.6,0.0,0.1,9.0,17.5,0.51,2.6,3.6,2.9,4.1,7.0,1.0,0.7,0.5,1.8,3.3,20.5,8.9,17.4,0.0,0.1,8.9,17.3,2.6,3.5,2.9,4.1,6.9,1.0,0.7,0.5,1.8,3.3,20.3
Steve Mix,SF,34,PHI,75.0,1235.0,7.8,15.4,0.506,0.0,0.2,0.25,7.8,15.3,0.509,5.3,6.6,0.7909999999999999,3.6,5.1,8.7,3.6,1.6,0.7,2.6,3.3,20.9,115.0,106.0,15.8,0.57,0.01,0.431,8.8,11.6,10.3,10.1,1.6,0.8,12.4,18.3,,2.3,1.4,3.7,0.14400000000000002,,1.4,-1.0,0.3,0.7,0.0,0.0,16.5,2.7,5.3,0.0,0.1,2.7,5.3,0.508,1.8,2.3,1.2,1.8,3.0,1.2,0.6,0.2,0.9,1.1,7.2,5.9,11.6,0.0,0.1,5.9,11.5,4.0,5.0,2.7,3.9,6.6,2.7,1.2,0.5,2.0,2.5,15.8
Sidney Moncrief,SG,24,MIL,80.0,2980.0,9.0,17.1,0.523,0.0,0.2,0.071,8.9,16.9,0.529,7.5,9.2,0.8170000000000001,3.6,5.0,8.6,6.2,2.2,0.4,3.4,3.3,25.5,122.0,103.0,20.1,0.601,0.013000000000000001,0.539,8.8,11.6,10.3,18.1,2.2,0.4,13.7,21.0,,8.9,4.5,13.4,0.21600000000000003,,5.3,0.2,5.5,5.6,1.0,101.0,37.3,7.0,13.3,0.0,0.2,6.9,13.1,0.524,5.9,7.2,2.8,3.9,6.7,4.8,1.7,0.3,2.6,2.6,19.8,6.7,12.8,0.0,0.2,6.7,12.7,5.7,6.9,2.7,3.8,6.5,4.6,1.7,0.3,2.5,2.5,19.1
Johnny Moore,PG,23,SAS,79.0,2294.0,6.3,13.6,0.46299999999999997,0.0,0.4,0.048,6.3,13.2,0.47700000000000004,2.5,3.7,0.67,1.3,4.3,5.6,15.6,3.3,0.2,3.6,5.2,15.1,110.0,106.0,17.0,0.496,0.031,0.273,2.9,9.9,6.4,41.5,3.3,0.3,19.0,16.0,,3.1,2.7,5.8,0.122,,1.0,0.3,1.3,1.9,0.0,0.0,29.0,3.9,8.4,0.0,0.3,3.9,8.2,0.46399999999999997,1.5,2.3,0.8,2.7,3.5,9.6,2.1,0.2,2.2,3.2,9.4,4.8,10.5,0.0,0.3,4.8,10.1,1.9,2.9,1.0,3.3,4.3,12.0,2.6,0.2,2.7,4.0,11.6
Calvin Murphy,PG,33,HOU,64.0,1204.0,11.4,26.6,0.42700000000000005,0.0,0.7,0.063,11.3,25.9,0.43700000000000006,4.1,4.5,0.909,0.8,1.7,2.5,6.7,1.8,0.0,3.4,5.8,26.9,102.0,112.0,13.2,0.47,0.025,0.17,1.8,3.9,2.8,20.6,1.8,0.0,10.5,26.5,,0.7,0.6,1.3,0.051,,-1.4,-3.3,-4.7,-0.8,0.0,0.0,18.8,4.3,10.1,0.0,0.3,4.3,9.9,0.428,1.6,1.7,0.3,0.6,1.0,2.5,0.7,0.0,1.3,2.2,10.2,8.3,19.4,0.0,0.5,8.3,18.9,3.0,3.3,0.6,1.2,1.8,4.9,1.3,0.0,2.5,4.2,19.6
Larry Nance,PF,22,PHO,80.0,1186.0,9.2,17.7,0.521,0.0,0.0,0.0,9.2,17.7,0.522,3.0,4.8,0.6409999999999999,3.9,6.5,10.4,3.3,1.7,2.9,4.2,6.9,21.5,101.0,101.0,14.7,0.5429999999999999,0.002,0.268,9.1,14.7,11.9,10.0,1.7,3.4,17.6,20.6,,0.3,2.1,2.4,0.098,,-0.8,0.4,-0.5,0.5,0.0,0.0,14.8,2.8,5.5,0.0,0.0,2.8,5.4,0.521,0.9,1.5,1.2,2.0,3.2,1.0,0.5,0.9,1.3,2.1,6.6,6.9,13.2,0.0,0.0,6.9,13.2,2.3,3.6,2.9,4.9,7.8,2.5,1.3,2.2,3.2,5.1,16.1
Calvin Natt,SF,25,POR,75.0,2599.0,9.5,16.4,0.5760000000000001,0.0,0.1,0.25,9.4,16.3,0.579,5.4,7.2,0.75,3.5,7.7,11.3,2.8,1.1,0.7,2.6,3.2,24.4,122.0,108.0,19.0,0.622,0.009000000000000001,0.43799999999999994,8.4,17.9,13.2,8.0,1.1,0.8,11.6,19.1,,7.0,2.3,9.3,0.171,,2.4,0.0,2.4,2.9,0.0,0.0,34.7,6.9,11.9,0.0,0.1,6.8,11.8,0.5770000000000001,3.9,5.2,2.6,5.6,8.2,2.0,0.8,0.5,1.9,2.3,17.7,7.1,12.4,0.0,0.1,7.1,12.3,4.1,5.4,2.7,5.8,8.5,2.1,0.9,0.5,1.9,2.4,18.4
Mike Newlin,SG,33,NYK,76.0,1507.0,9.2,19.7,0.465,0.2,0.7,0.304,8.9,19.0,0.47100000000000003,4.0,4.7,0.857,1.2,1.8,2.9,5.4,1.1,0.1,3.3,6.2,22.6,104.0,113.0,11.5,0.519,0.037000000000000005,0.239,2.7,4.3,3.5,16.1,1.1,0.1,13.3,21.4,,1.1,0.4,1.5,0.049,,-1.8,-2.9,-4.7,-1.0,0.0,0.0,19.8,3.8,8.1,0.1,0.3,3.7,7.8,0.47100000000000003,1.7,1.9,0.5,0.7,1.2,2.2,0.4,0.0,1.4,2.6,9.3,6.8,14.7,0.2,0.5,6.7,14.1,3.0,3.5,0.9,1.3,2.2,4.1,0.8,0.1,2.5,4.6,16.8
Carl Nicks,SG,23,UTA,80.0,1322.0,8.8,19.4,0.45399999999999996,0.0,0.2,0.0,8.8,19.2,0.45799999999999996,3.0,5.2,0.5670000000000001,2.3,3.3,5.6,3.1,2.3,0.1,3.5,6.4,20.6,94.0,112.0,10.5,0.474,0.009000000000000001,0.27,5.4,7.8,6.5,9.1,2.3,0.2,14.0,21.9,,-0.8,0.5,-0.3,-0.01,,-4.0,-0.9,-4.9,-1.0,0.0,0.0,16.5,3.2,6.9,0.0,0.1,3.2,6.9,0.45399999999999996,1.1,1.9,0.8,1.2,2.0,1.1,0.8,0.1,1.3,2.3,7.4,6.9,15.1,0.0,0.1,6.9,15.0,2.3,4.1,1.8,2.6,4.4,2.4,1.8,0.1,2.8,5.0,16.0
