player,pos_x,age_x,team_id_x,g_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,efg_pct,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fg_per_mp,fga_per_mp,fg3_per_mp,fg3a_per_mp,fg2_per_mp,fg2a_per_mp,ft_per_mp,fta_per_mp,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,votes_first,points_won
Kareem Abdul-Jabbar,C,38,LAL,0.9518072289156626,0.8039755351681958,0.4308681672025723,0.4907216494845361,0.8455772113943028,0.0,0.0,0.0,0.4308681672025723,0.488659793814433,0.8470764617691153,0.3225806451612903,0.3391304347826087,0.765,0.049484536082474224,0.391025641025641,0.17525773195876287,0.21739130434782608,0.049586776859504134,0.25,0.07422680412371134,0.18181818181818185,0.5264847512038523,0.472,0.9137931034482759,0.6021220159151193,0.5308098591549296,0.0022123893805309734,0.2295311406578026,0.06,0.3933518005540166,0.19038817005545286,0.2979127134724857,0.049586776859504134,0.25471698113207547,0.19499999999999998,0.31818181818181823,,0.7307692307692307,0.5161290322580645,0.6835443037974683,0.5644699140401146,,0.5522388059701493,0.125,0.4945054945054945,0.4942528735632184,0.8345864661654135,0.8205128205128205,0.6954732510288065,0.0,0.0,0.8205128205128205,0.7222222222222222,0.8455772113943028,0.5180722891566264,0.5283018867924528,0.33999999999999997,0.46808510638297873,0.46564885496183206,0.2777777777777778,0.21621621621621623,0.32,0.5909090909090908,0.6888888888888889,0.7722772277227722,0.4291666666666667,0.5083333333333333,0.0,0.0,0.4291666666666667,0.5083333333333333,0.3194444444444444,0.3333333333333333,0.05,0.39166666666666666,0.18055555555555555,0.2111111111111111,0.05,0.2647058823529412,0.07777777777777778,0.18888888888888888,0.5270833333333333,0.0,0.17647058823529413
Alvan Adams,C,31,PHO,0.9397590361445783,0.6131498470948012,0.2508038585209003,0.31958762886597936,0.752623688155922,0.0,0.0,0.0,0.2508038585209003,0.31958762886597936,0.7556221889055472,0.1935483870967742,0.19999999999999998,0.7829999999999999,0.07010309278350516,0.4807692307692308,0.22474226804123712,0.32173913043478264,0.09917355371900827,0.11956521739130437,0.09690721649484536,0.25619834710743805,0.30818619582664525,0.416,0.9051724137931034,0.4058355437665782,0.4815140845070423,0.00663716814159292,0.20923722883135057,0.08900000000000001,0.5013850415512465,0.2532347504621072,0.4269449715370019,0.09917355371900827,0.12264150943396228,0.3516666666666667,0.23205741626794257,,0.11538461538461538,0.43548387096774194,0.24683544303797467,0.2693409742120344,,0.014925373134328358,0.35937499999999994,0.26373626373626374,0.25287356321839083,0.6441102756892231,0.3760683760683761,0.35802469135802467,0.0,0.0,0.3760683760683761,0.3717948717948718,0.752623688155922,0.24096385542168672,0.24528301886792456,0.38,0.44680851063829785,0.46564885496183206,0.33333333333333337,0.35135135135135137,0.12,0.5909090909090908,0.7777777777777778,0.3564356435643565,0.25416666666666665,0.33888888888888885,0.0,0.0,0.25416666666666665,0.33888888888888885,0.20138888888888887,0.2,0.07500000000000001,0.4916666666666667,0.23888888888888887,0.3222222222222222,0.1,0.11764705882352942,0.10277777777777779,0.27222222222222225,0.3145833333333333,0.0,0.0
Michael Adams,PG,23,SAC,0.21686746987951808,0.04250764525993884,0.17363344051446947,0.30721649484536084,0.545727136431784,0.0,0.11764705882352941,0.0,0.17363344051446947,0.2865979381443299,0.5847076461769115,0.14516129032258066,0.1782608695652174,0.667,0.014432989690721649,0.08974358974358974,0.041237113402061855,0.32608695652173914,0.12396694214876033,0.03260869565217391,0.07628865979381444,0.12396694214876033,0.21669341894060995,0.344,0.9396551724137931,0.21220159151193632,0.3573943661971832,0.1504424778761062,0.19104268719384185,0.016,0.0886426592797784,0.04436229205175601,0.38519924098671726,0.12396694214876033,0.03773584905660378,0.30333333333333334,0.20933014354066987,,-0.019230769230769232,0.016129032258064516,-0.006329113924050633,-0.08022922636103151,,-0.7761194029850746,-0.29687499999999994,-0.7802197802197802,-0.02298850574712644,0.1929824561403509,0.07692307692307693,0.09876543209876543,0.0,0.08,0.07692307692307693,0.09829059829059829,0.545727136431784,0.048192771084337345,0.0660377358490566,0.02,0.02127659574468085,0.022900763358778626,0.09523809523809523,0.13513513513513511,0.02,0.13636363636363635,0.1111111111111111,0.07260726072607261,0.1708333333333333,0.31666666666666665,0.0,0.126984126984127,0.1708333333333333,0.29444444444444445,0.14583333333333334,0.17222222222222222,0.013888888888888888,0.08333333333333333,0.044444444444444446,0.31666666666666665,0.12777777777777777,0.04411764705882353,0.07777777777777778,0.12777777777777777,0.21666666666666667,0.0,0.0
Mark Aguirre,SF,26,DAL,0.891566265060241,0.7648318042813456,0.40192926045016075,0.51340206185567,0.7541229385307346,0.0967741935483871,0.12941176470588237,0.28600000000000003,0.3922829581993569,0.49278350515463915,0.7691154422788605,0.3225806451612903,0.3695652173913043,0.705,0.06804123711340206,0.32051282051282054,0.1731958762886598,0.2782608695652174,0.049586776859504134,0.03260869565217391,0.09690721649484536,0.17768595041322313,0.5040128410914928,0.428,0.9741379310344828,0.5092838196286471,0.4815140845070423,0.09292035398230089,0.23792862141357593,0.079,0.32132963988919666,0.1811460258780037,0.39658444022770395,0.049586776859504134,0.02830188679245283,0.23666666666666666,0.3468899521531101,,0.3557692307692308,0.14516129032258066,0.2974683544303797,0.25787965616045844,,0.44776119402985076,-0.234375,0.16483516483516483,0.25287356321839083,0.8471177944862155,0.7692307692307693,0.736625514403292,0.18181818181818182,0.32,0.7521367521367522,0.7350427350427351,0.7631184407796102,0.5180722891566264,0.5754716981132075,0.48,0.3829787234042553,0.4580152671755725,0.36507936507936506,0.21621621621621623,0.04,0.7727272727272726,0.6888888888888889,0.7458745874587459,0.39999999999999997,0.5305555555555556,0.08695652173913045,0.126984126984127,0.39166666666666666,0.5083333333333333,0.3194444444444444,0.3611111111111111,0.06944444444444445,0.325,0.17777777777777778,0.27222222222222225,0.05,0.029411764705882356,0.1,0.18333333333333332,0.5,0.0,0.0
Danny Ainge,SG,26,BOS,0.963855421686747,0.736085626911315,0.22508038585209003,0.2845360824742268,0.7556221889055472,0.16129032258064516,0.16470588235294117,0.35600000000000004,0.2057877813504823,0.2556701030927835,0.7811094452773613,0.12903225806451613,0.11739130434782609,0.904,0.018556701030927835,0.2371794871794872,0.09484536082474226,0.34782608695652173,0.07851239669421488,0.010869565217391306,0.05154639175257732,0.1652892561983471,0.26966292134831465,0.46,0.9051724137931034,0.36074270557029176,0.49471830985915505,0.23008849557522126,0.13575927221833448,0.023,0.22437673130193905,0.09981515711645102,0.40417457305502846,0.07851239669421488,0.01886792452830189,0.24166666666666667,0.18181818181818182,,0.34615384615384615,0.5161290322580645,0.430379746835443,0.3896848137535817,,0.13432835820895522,0.04687499999999999,0.13186813186813187,0.21839080459770116,0.7543859649122807,0.3760683760683761,0.36213991769547327,0.2727272727272727,0.36,0.3504273504273504,0.33760683760683763,0.782608695652174,0.18072289156626503,0.16037735849056603,0.12,0.2553191489361702,0.22137404580152673,0.40476190476190477,0.3243243243243243,0.02,0.36363636363636365,0.5777777777777778,0.3531353135313531,0.22083333333333333,0.2916666666666667,0.1739130434782609,0.17460317460317462,0.2041666666666667,0.2611111111111111,0.125,0.1111111111111111,0.019444444444444445,0.2333333333333333,0.09722222222222222,0.33888888888888885,0.07777777777777778,0.014705882352941178,0.05277777777777778,0.17222222222222222,0.26666666666666666,0.0,0.0
Ron Anderson,SF,27,TOT,0.927710843373494,0.5125382262996941,0.2829581993569132,0.36701030927835054,0.7406296851574212,0.03225806451612903,0.03529411764705882,0.222,0.2797427652733119,0.3628865979381444,0.7466266866566716,0.12903225806451613,0.1565217391304348,0.669,0.07628865979381444,0.26282051282051283,0.16082474226804122,0.1782608695652174,0.06611570247933884,0.02173913043478261,0.04742268041237113,0.14462809917355374,0.3226324237560193,0.428,0.9310344827586207,0.37135278514588854,0.45510563380281693,0.030973451327433624,0.14135759272218332,0.085,0.25761772853185594,0.1645101663585952,0.23719165085388993,0.06611570247933884,0.01886792452830189,0.17833333333333332,0.2236842105263158,,0.15384615384615385,0.24193548387096772,0.1962025316455696,0.25787965616045844,,0.029850746268656716,-0.04687499999999999,-0.01098901098901099,0.09195402298850576,0.5463659147869675,0.3418803418803419,0.33744855967078186,0.0,0.04,0.3418803418803419,0.3418803418803419,0.7421289355322338,0.13253012048192772,0.15094339622641512,0.33999999999999997,0.20212765957446807,0.2748091603053435,0.15079365079365079,0.18918918918918917,0.02,0.25,0.35555555555555557,0.3036303630363036,0.2791666666666667,0.375,0.0,0.03174603174603175,0.27499999999999997,0.36944444444444446,0.125,0.15000000000000002,0.07777777777777778,0.25833333333333336,0.1638888888888889,0.17222222222222222,0.06666666666666667,0.014705882352941178,0.05,0.15000000000000002,0.31666666666666665,0.0,0.0
John Bagley,PG,25,CLE,0.9397590361445783,0.7559633027522936,0.22508038585209003,0.3402061855670103,0.6341829085457271,0.06451612903225806,0.08235294117647059,0.243,0.21864951768488744,0.32577319587628867,0.6461769115442278,0.17204301075268816,0.1782608695652174,0.7909999999999999,0.030927835051546393,0.24358974358974358,0.10927835051546392,0.6086956521739131,0.09504132231404958,0.02173913043478261,0.09484536082474226,0.1322314049586777,0.27929373996789725,0.408,0.9396551724137931,0.403183023872679,0.41813380281690143,0.09513274336283185,0.1742477256822953,0.034,0.24653739612188366,0.11275415896487984,0.7722960151802657,0.09504132231404958,0.01886792452830189,0.33166666666666667,0.2368421052631579,,0.09615384615384615,0.3225806451612903,0.18987341772151897,0.169054441260745,,0.029850746268656716,-0.0625,-0.02197802197802198,0.12643678160919541,0.7944862155388471,0.4017094017094017,0.4567901234567901,0.09090909090909091,0.2,0.39316239316239315,0.452991452991453,0.64167916041979,0.26506024096385544,0.2641509433962264,0.2,0.2765957446808511,0.26717557251908397,0.746031746031746,0.43243243243243246,0.02,0.7045454545454545,0.4666666666666667,0.3861386138613861,0.22083333333333333,0.35,0.04347826086956522,0.07936507936507936,0.21666666666666667,0.3361111111111111,0.1736111111111111,0.17222222222222222,0.030555555555555558,0.24166666666666667,0.1111111111111111,0.5944444444444444,0.1,0.014705882352941178,0.09722222222222222,0.13333333333333333,0.27708333333333335,0.0,0.0
James Bailey,PF,28,NYK,0.5783132530120482,0.38073394495412843,0.2540192926045016,0.35670103092783506,0.6836581709145427,0.0,0.023529411764705882,0.0,0.2540192926045016,0.3546391752577319,0.6896551724137931,0.26881720430107525,0.2826086956521739,0.772,0.08247422680412371,0.5833333333333334,0.27010309278350514,0.08695652173913043,0.05371900826446281,0.1739130434782609,0.08041237113402061,0.3347107438016529,0.33386837881219905,0.392,0.8879310344827587,0.3342175066312997,0.4542253521126761,0.019911504424778764,0.2638208537438768,0.08800000000000001,0.6121883656509696,0.2809611829944547,0.11574952561669828,0.05371900826446281,0.18867924528301888,0.26833333333333337,0.24760765550239236,,0.0,0.3225806451612903,0.12025316455696201,0.21489971346704873,,-0.44776119402985076,0.15625,-0.21978021978021978,0.0,0.6491228070175439,0.35897435897435903,0.37860082304526743,0.0,0.04,0.35897435897435903,0.3888888888888889,0.6836581709145427,0.3253012048192771,0.33018867924528306,0.42000000000000004,0.5106382978723404,0.5343511450381679,0.07936507936507936,0.18918918918918917,0.16,0.47727272727272724,0.9555555555555555,0.36633663366336633,0.24166666666666667,0.35555555555555557,0.0,0.015873015873015876,0.24166666666666667,0.35277777777777775,0.2569444444444445,0.26666666666666666,0.08055555555555555,0.5583333333333333,0.26944444444444443,0.07777777777777778,0.05555555555555555,0.17647058823529413,0.08055555555555555,0.3333333333333333,0.32083333333333336,0.0,0.0
Thurl Bailey,PF,24,UTA,0.9879518072289156,0.7211009174311926,0.3054662379421222,0.43711340206185567,0.6716641679160419,0.0,0.011764705882352941,0.0,0.3054662379421222,0.4350515463917526,0.6761619190404797,0.24193548387096772,0.2391304347826087,0.83,0.059793814432989686,0.4358974358974359,0.19999999999999998,0.13043478260869565,0.03305785123966942,0.23913043478260873,0.057731958762886594,0.1322314049586777,0.37881219903691815,0.408,0.9051724137931034,0.3978779840848806,0.43926056338028174,0.01327433628318584,0.17984604618614417,0.069,0.4349030470914127,0.21072088724584104,0.18406072106261856,0.03305785123966942,0.25471698113207547,0.17833333333333332,0.2751196172248804,,0.09615384615384615,0.48387096774193544,0.2531645569620253,0.23209169054441264,,-0.2835820895522388,0.0625,-0.15384615384615385,0.034482758620689655,0.7218045112781956,0.5042735042735044,0.5390946502057613,0.0,0.04,0.5042735042735044,0.5555555555555556,0.6716641679160419,0.3373493975903614,0.32075471698113206,0.36,0.44680851063829785,0.4580152671755725,0.15079365079365079,0.13513513513513511,0.27999999999999997,0.40909090909090906,0.4444444444444444,0.48184818481848185,0.30833333333333335,0.4555555555555555,0.0,0.015873015873015876,0.30833333333333335,0.4527777777777778,0.24305555555555555,0.23333333333333334,0.06388888888888888,0.44166666666666665,0.20833333333333334,0.12777777777777777,0.03333333333333333,0.25,0.061111111111111116,0.13333333333333333,0.38125000000000003,0.0,0.0
Greg Ballard,SF,31,GSW,0.9036144578313253,0.5480122324159021,0.22508038585209003,0.3030927835051546,0.7151424287856072,0.12903225806451613,0.10588235294117647,0.486,0.21221864951768488,0.2845360824742268,0.7151424287856072,0.13978494623655913,0.1391304347826087,0.802,0.07010309278350516,0.46794871794871795,0.22061855670103092,0.09130434782608696,0.07024793388429752,0.02173913043478261,0.028865979381443297,0.18595041322314051,0.27287319422150885,0.46,0.9568965517241379,0.35543766578249336,0.4656690140845071,0.13495575221238937,0.15465360391882435,0.077,0.4958448753462603,0.23290203327171902,0.11385199240986717,0.07024793388429752,0.01886792452830189,0.13166666666666668,0.17822966507177035,,0.25,0.16129032258064516,0.22784810126582278,0.27793696275071633,,-0.014925373134328358,-0.078125,-0.06593406593406594,0.06896551724137931,0.5989974937343359,0.3076923076923077,0.3127572016460905,0.18181818181818182,0.2,0.2905982905982906,0.3034188034188034,0.7376311844077962,0.1566265060240964,0.16037735849056603,0.36,0.40425531914893614,0.42748091603053434,0.08730158730158731,0.24324324324324323,0.02,0.15909090909090906,0.5111111111111111,0.29042904290429045,0.22916666666666666,0.3194444444444444,0.13043478260869565,0.1111111111111111,0.2125,0.2972222222222222,0.1388888888888889,0.1388888888888889,0.07500000000000001,0.47500000000000003,0.23333333333333334,0.09444444444444444,0.07222222222222223,0.029411764705882356,0.030555555555555558,0.19444444444444445,0.27708333333333335,0.0,0.0
