player,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,points_won
Steven Adams,0.881439894319683,0.8573487031700288,0.5588235294117647,0.15827338129496404,0.6451612903225806,0.22807017543859648,0.40248962655601656,0.8571428571428571,0.8760330578512396,0.598705501618123,0.8540462427745663,0.5675675675675675,0.14193548387096774,0.4049382716049382,0.5986842105263158,0.2307692307692308,0.32323232323232326,0.8573487031700288,0.18556701030927836,0.33636363636363636,0.5387931034482759,0.9074074074074074,0.4144144144144144,0.608974358974359,0.14953271028037385,0.6818181818181818,0.37037037037037035,0.33999999999999997,0.6842105263157895,0.3850415512465374,0.0
Bam Adebayo,0.631770145310436,0.829971181556196,0.6386554621848739,0.3381294964028777,0.5806451612903226,0.2982456140350877,0.38589211618257263,0.8571428571428571,0.859504132231405,0.5792880258899676,0.9002890173410404,0.640926640926641,0.3053763440860215,0.3901234567901235,0.4473684210526316,0.25641025641025644,0.2424242424242424,0.834293948126801,0.2061855670103093,0.2545454545454545,0.7920258620689655,0.37037037037037035,0.4774774774774775,0.46794871794871795,0.20560747663551404,0.40909090909090906,0.2962962962962963,0.3,0.6578947368421053,0.24653739612188366,0.0
LaMarcus Aldridge,0.8873844121532365,0.7478386167146973,0.5672268907563025,0.2517985611510791,0.25806451612903225,0.3333333333333333,0.6514522821576763,0.8357142857142857,0.9090909090909091,0.7411003236245954,0.8323699421965318,0.5830115830115831,0.24946236559139784,0.6641975308641975,0.611842105263158,0.13675213675213677,0.25252525252525254,0.7521613832853026,0.443298969072165,0.4636363636363636,0.9127155172413793,0.5740740740740741,0.5495495495495495,0.5897435897435898,0.22429906542056074,0.22727272727272727,0.48148148148148145,0.36,0.5789473684210527,0.590027700831025,0.0
Jarrett Allen,0.6922060766182299,0.8501440922190201,0.6428571428571429,0.17985611510791366,0.3225806451612903,0.4736842105263158,0.4107883817427386,0.8785714285714286,0.8760330578512396,0.598705501618123,0.9132947976878611,0.6486486486486487,0.16989247311827957,0.3925925925925926,0.5,0.2136752136752137,0.2424242424242424,0.8573487031700288,0.2577319587628866,0.3181818181818182,0.7640086206896554,0.4444444444444444,0.5405405405405406,0.5384615384615385,0.1308411214953271,0.22727272727272727,0.5555555555555555,0.26,0.6052631578947368,0.30193905817174516,0.0
Al-Farouq Aminu,0.7569352708058125,0.6239193083573487,0.542016806722689,0.15827338129496404,0.4516129032258064,0.12280701754385964,0.3340248962655602,0.8428571428571429,0.9008264462809917,0.42718446601941745,0.8208092485549131,0.5482625482625483,0.12903225806451613,0.3382716049382716,0.3815789473684211,0.07692307692307693,0.1717171717171717,0.7406340057636888,0.1958762886597938,0.19090909090909092,0.9342672413793104,0.25925925925925924,0.5495495495495495,0.4807692307692308,0.12149532710280375,0.36363636363636365,0.14814814814814814,0.18,0.4736842105263158,0.26038781163434904,0.0
Kyle Anderson,0.42305151915455746,0.7824207492795388,0.407563025210084,0.3597122302158273,0.6774193548387097,0.24561403508771928,0.27800829875518673,0.7857142857142857,0.8842975206611571,0.41423948220064727,0.8222543352601155,0.42471042471042475,0.3225806451612903,0.3111111111111111,0.17763157894736845,0.10256410256410256,0.10101010101010101,0.8069164265129684,0.09278350515463918,0.13636363636363635,0.6228448275862069,0.20370370370370372,0.42342342342342343,0.3717948717948718,0.28037383177570097,0.5909090909090908,0.3333333333333333,0.26,0.6842105263157895,0.22160664819944598,0.0
Giannis Antetokounmpo,0.7787318361955086,0.8328530259365993,0.7436974789915966,0.60431654676259,0.5806451612903226,0.3859649122807018,0.8153526970954356,0.8642857142857143,0.8181818181818182,1.0,0.9306358381502889,0.7451737451737452,0.6516129032258065,0.7975308641975308,0.9473684210526316,0.9230769230769232,0.7676767676767676,0.8631123919308357,0.7113402061855671,0.8636363636363636,0.7855603448275864,0.40740740740740744,0.927927927927928,0.8012820512820513,0.5514018691588786,0.5909090909090908,0.5555555555555555,0.74,0.8421052631578948,0.7673130193905817,1.0
OG Anunoby,0.4464993394980185,0.6527377521613832,0.29411764705882354,0.12230215827338128,0.5161290322580645,0.14035087719298245,0.34439834024896265,0.7428571428571429,0.9008264462809917,0.3171521035598706,0.7861271676300577,0.3050193050193051,0.1010752688172043,0.38271604938271603,0.13157894736842105,-0.10256410256410256,0.0303030303030303,0.7723342939481268,0.051546391752577324,0.08181818181818182,0.6260775862068966,0.16666666666666666,0.1891891891891892,0.1858974358974359,0.06542056074766354,0.3181818181818181,0.1111111111111111,0.16,0.5526315789473685,0.19390581717451522,0.0
Ryan Arcidiacono,0.6476221928665786,0.6440922190201729,0.226890756302521,0.48201438848920863,0.5161290322580645,0.017543859649122806,0.2800829875518672,0.8642857142857143,0.9504132231404959,0.37540453074433655,0.8497109826589594,0.23552123552123552,0.4064516129032258,0.28888888888888886,0.24342105263157898,-0.08547008547008547,0.050505050505050504,0.7838616714697406,0.11340206185567012,0.11818181818181818,0.9407327586206897,0.05555555555555555,0.21621621621621623,0.1730769230769231,0.308411214953271,0.36363636363636365,0.0,0.16,0.5526315789473685,0.18559556786703602,0.0
Trevor Ariza,0.7757595772787318,0.5749279538904898,0.31512605042016806,0.3669064748201438,0.5806451612903226,0.07017543859649122,0.3630705394190871,0.7642857142857142,0.9504132231404959,0.3883495145631068,0.7716763005780347,0.33204633204633205,0.31827956989247314,0.4098765432098766,0.16447368421052633,-0.042735042735042736,0.09090909090909091,0.717579250720461,0.1958762886597938,0.21818181818181817,0.8545258620689655,0.12962962962962962,0.42342342342342343,0.3461538461538462,0.3457943925233645,0.5909090909090908,0.1111111111111111,0.3,0.5,0.3462603878116343,0.0
D.J. Augustin,0.7493394980184941,0.6772334293948126,0.18487394957983194,0.6618705035971222,0.3548387096774194,0.017543859649122806,0.4232365145228215,0.8714285714285714,0.9256198347107438,0.5080906148867314,0.8901734104046242,0.18532818532818532,0.578494623655914,0.4246913580246913,0.45394736842105265,-0.02564102564102564,0.10101010101010101,0.8155619596541787,0.22680412371134023,0.23636363636363636,0.9331896551724138,0.09259259259259259,0.1801801801801802,0.16025641025641027,0.4953271028037383,0.2727272727272727,0.0,0.32,0.3684210526315789,0.3240997229916897,0.0
