player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Kareem Abdul-Jabbar,C,41,1695.0,0.475,9.4,2.1,1.1,2.4,21.2,104.0,107.0,12.9,0.511,11.0,6.1,20.1,2.9,-2.3,-0.1,0.475,1.6,2.2,0.7390000000000001,1.4,3.1,4.5,1.0,0.5,1.1,1.3,2.6,10.1,8.9,0.0
Michael Adams,PG,26,2787.0,0.433,4.5,7.8,2.7,0.2,22.8,115.0,108.0,17.5,0.5670000000000001,5.2,22.2,19.7,8.3,3.2,3.7,0.509,4.2,5.1,0.8190000000000001,0.9,2.8,3.7,6.4,2.2,0.1,2.3,1.9,18.5,14.1,0.0
Mark Aguirre,SF,29,2597.0,0.461,7.5,5.4,0.9,0.7,29.2,105.0,110.0,16.4,0.524,8.3,17.9,27.4,4.5,0.5,1.7,0.48100000000000004,3.6,4.9,0.733,1.8,3.0,4.8,3.5,0.6,0.5,2.6,2.9,18.9,15.9,0.0
Danny Ainge,PG,29,2377.0,0.457,5.2,8.2,1.9,0.2,26.1,116.0,111.0,18.0,0.5539999999999999,6.0,25.3,22.6,6.7,2.3,2.6,0.512,2.8,3.3,0.8540000000000001,1.0,2.5,3.5,5.5,1.3,0.1,2.0,2.5,17.5,14.4,0.0
Mark Alarie,PF,25,1141.0,0.478,10.6,2.6,1.0,0.9,20.8,109.0,109.0,13.3,0.531,12.2,7.8,18.7,2.2,-1.8,0.1,0.493,1.0,1.2,0.8390000000000001,1.4,2.1,3.4,0.9,0.3,0.3,0.8,2.2,6.7,5.8,0.0
Greg Anderson,PF,24,2401.0,0.503,13.0,1.2,2.0,2.0,21.6,100.0,106.0,14.9,0.516,15.5,3.7,20.6,3.4,-2.5,-0.3,0.503,2.5,4.9,0.514,3.1,5.1,8.2,0.7,1.2,1.3,2.2,2.7,13.7,11.1,0.0
Richard Anderson,PF,28,1082.0,0.41700000000000004,9.9,4.2,1.9,0.5,15.8,109.0,107.0,12.0,0.509,11.6,11.4,14.9,2.1,-0.7,0.4,0.48700000000000004,0.4,0.5,0.8420000000000001,0.9,2.3,3.2,1.4,0.6,0.2,0.8,1.4,5.2,4.8,0.0
Ron Anderson,SF,30,2618.0,0.491,7.6,2.6,1.3,0.4,24.7,110.0,114.0,15.3,0.531,8.7,7.9,21.9,4.4,-1.0,0.7,0.49200000000000005,2.4,2.8,0.856,2.0,2.9,5.0,1.7,0.9,0.3,1.5,2.0,16.2,14.0,0.0
Willie Anderson,SF,22,2738.0,0.498,7.0,6.3,2.5,1.0,25.4,105.0,108.0,16.6,0.534,8.4,21.1,23.8,4.9,1.5,2.4,0.5,2.8,3.6,0.775,1.9,3.3,5.1,4.6,1.9,0.8,3.2,3.6,18.6,15.9,0.0
John Bagley,PG,28,1642.0,0.41600000000000004,4.2,11.4,2.1,0.1,14.6,96.0,111.0,11.3,0.467,4.9,33.1,17.3,0.4,-4.0,-0.8,0.42700000000000005,1.3,1.8,0.7240000000000001,0.5,1.6,2.1,5.8,1.1,0.1,2.3,1.7,7.4,7.1,0.0
Thurl Bailey,SF,27,2777.0,0.483,7.9,2.4,0.8,1.6,28.1,105.0,104.0,15.6,0.544,8.9,8.5,25.5,6.5,-0.8,0.8,0.484,4.4,5.4,0.825,1.4,4.0,5.5,1.7,0.6,1.1,2.5,2.3,19.5,15.5,0.0
Charles Barkley,PF,25,3088.0,0.579,15.6,5.1,2.0,1.1,32.1,127.0,108.0,27.0,0.653,17.9,16.0,24.4,16.1,9.8,9.2,0.594,7.6,10.1,0.753,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8,15.3,94.0
John Battle,SG,26,1672.0,0.457,4.1,5.8,1.2,0.3,22.7,110.0,112.0,13.5,0.532,4.6,17.1,20.4,3.2,-2.5,-0.2,0.466,2.4,2.9,0.815,0.4,1.3,1.7,2.4,0.5,0.1,1.3,1.5,9.5,7.7,0.0
Benoit Benjamin,C,24,2585.0,0.541,12.4,2.8,1.0,3.9,23.1,106.0,107.0,17.4,0.593,14.4,8.7,20.3,5.1,0.4,1.5,0.541,4.0,5.4,0.7440000000000001,2.1,6.7,8.8,2.0,0.7,2.8,3.0,2.8,16.4,11.5,0.0
Ricky Berry,SG,24,1406.0,0.45,6.7,2.7,1.3,0.7,24.0,109.0,111.0,13.1,0.552,7.5,8.5,21.1,2.4,-1.7,0.1,0.507,2.0,2.6,0.789,0.9,2.2,3.1,1.3,0.6,0.3,1.3,3.1,11.0,8.9,0.0
Walter Berry,PF,24,1355.0,0.507,9.4,2.7,1.0,1.7,21.3,105.0,108.0,13.2,0.54,10.8,8.5,19.5,2.4,-2.0,0.0,0.508,1.4,2.1,0.6990000000000001,1.2,2.6,3.9,1.1,0.4,0.7,1.3,2.7,8.8,7.3,0.0
Rolando Blackman,SG,29,2946.0,0.47600000000000003,4.6,4.9,1.1,0.3,26.1,110.0,112.0,15.9,0.5429999999999999,5.1,15.8,23.2,5.7,-0.6,1.0,0.488,4.1,4.7,0.8540000000000001,0.9,2.6,3.5,3.7,0.8,0.3,2.1,1.8,19.7,16.0,0.0
Muggsy Bogues,PG,24,1755.0,0.426,4.5,16.9,3.0,0.2,11.5,108.0,112.0,15.3,0.46299999999999997,5.2,46.2,13.6,2.6,-3.1,-0.5,0.42700000000000005,0.8,1.1,0.75,0.7,1.4,2.1,7.8,1.4,0.1,1.6,1.8,5.4,5.3,0.0
Manute Bol,C,26,1769.0,0.369,11.7,0.7,0.3,8.7,7.9,88.0,103.0,9.8,0.42100000000000004,13.1,1.8,9.7,1.7,-1.0,0.4,0.39799999999999996,0.5,0.8,0.606,1.5,4.3,5.8,0.3,0.1,4.3,1.0,2.8,3.9,4.3,0.0
Frank Brickowski,C,29,1822.0,0.515,10.3,3.3,2.6,0.9,22.1,105.0,106.0,15.0,0.563,12.2,10.4,20.1,3.6,0.4,1.1,0.515,3.1,4.4,0.715,2.3,4.0,6.3,2.0,1.6,0.5,2.6,3.9,13.7,10.2,0.0
Scott Brooks,PG,23,1372.0,0.42,3.3,10.9,2.4,0.1,15.2,118.0,113.0,14.0,0.5329999999999999,3.8,28.9,14.1,2.9,-1.4,0.2,0.495,0.7,0.8,0.884,0.2,0.9,1.1,3.7,0.8,0.0,0.8,1.4,5.2,4.5,0.0
Mike Brown,C,25,1051.0,0.419,12.0,1.9,1.2,0.8,14.0,96.0,102.0,8.4,0.491,13.6,5.5,15.4,1.4,-2.6,-0.2,0.419,1.4,2.0,0.708,1.4,2.5,3.9,0.6,0.4,0.3,1.2,2.0,4.5,3.8,0.0
Michael Cage,PF,27,2536.0,0.498,14.5,2.4,1.7,1.0,15.6,116.0,107.0,14.7,0.5529999999999999,16.9,6.4,13.7,6.7,1.6,2.3,0.498,2.5,3.3,0.743,3.5,6.1,9.6,1.6,1.2,0.7,1.6,2.3,10.3,7.9,0.0
Antoine Carr,PF,27,1488.0,0.48,9.0,3.0,1.0,2.0,19.1,112.0,109.0,12.7,0.541,10.0,8.6,17.0,3.3,-0.3,0.6,0.48,1.7,1.9,0.855,1.4,2.2,3.5,1.2,0.4,0.8,1.1,2.8,7.5,6.0,0.0
Joe Barry Carroll,C,30,1996.0,0.44799999999999995,11.4,2.5,1.7,1.9,21.7,99.0,107.0,14.2,0.49700000000000005,13.2,8.0,21.5,2.3,-1.4,0.3,0.44799999999999995,2.8,3.4,0.8,1.8,5.5,7.4,1.6,1.1,1.3,2.2,3.0,14.1,12.7,0.0
Bill Cartwright,C,31,2333.0,0.475,11.0,1.9,0.4,0.9,20.5,100.0,109.0,11.0,0.535,12.9,5.4,20.1,2.1,-4.8,-1.7,0.475,3.0,3.9,0.7659999999999999,1.9,4.7,6.7,1.2,0.3,0.5,2.4,3.0,12.4,9.8,0.0
Terry Catledge,PF,25,2077.0,0.49,13.1,1.7,1.1,0.6,18.8,105.0,109.0,12.6,0.518,15.0,5.0,17.6,3.3,-1.9,0.0,0.491,1.9,3.2,0.602,2.9,4.3,7.2,0.9,0.6,0.3,1.5,3.2,10.4,8.6,0.0
Tom Chambers,PF,29,3002.0,0.47100000000000003,10.5,3.5,1.3,0.8,31.9,110.0,105.0,19.3,0.547,12.1,11.1,28.2,9.2,1.2,2.4,0.48,6.3,7.4,0.851,1.8,6.7,8.4,2.9,1.1,0.7,2.9,3.3,25.7,20.3,20.0
Rex Chapman,SG,21,2219.0,0.414,4.0,3.8,1.5,0.5,27.3,97.0,115.0,12.6,0.467,4.7,12.6,27.1,-0.2,-3.2,-0.7,0.43700000000000006,2.1,2.6,0.795,1.0,1.5,2.5,2.3,0.9,0.3,1.5,2.2,16.9,16.9,0.0
Maurice Cheeks,PG,32,2298.0,0.483,3.9,11.7,2.2,0.4,17.5,117.0,113.0,16.5,0.527,4.5,32.6,16.2,5.3,-0.1,1.1,0.483,2.1,2.7,0.774,0.5,2.0,2.6,7.8,1.5,0.2,1.6,1.6,11.6,9.8,0.0
Derrick Chievous,SF,21,1539.0,0.43700000000000006,7.8,2.4,1.5,0.3,23.0,99.0,108.0,11.6,0.506,9.0,7.4,22.9,1.6,-3.9,-0.7,0.441,2.4,3.0,0.7829999999999999,1.4,1.8,3.2,1.0,0.6,0.1,1.7,2.0,9.3,7.8,0.0
