player,pos_x,age_x,team_id_x,g_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,votes_first,points_won,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,efg_pct,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fg_per_mp,fga_per_mp,fg3_per_mp,fg3a_per_mp,fg2_per_mp,fg2a_per_mp,ft_per_mp,fta_per_mp,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
Kareem Abdul-Jabbar,C,37,LAL,79.0,2630.0,12.8,21.3,0.599,0.0,0.0,0.0,12.8,21.3,0.6,5.1,7.0,0.732,2.9,8.1,11.0,4.4,1.1,2.9,3.5,4.2,30.7,120.0,105.0,22.9,0.628,0.001,0.327,7.7,18.2,13.5,13.1,1.1,3.3,12.5,24.3,,7.6,3.6,11.2,0.204,,3.8,1.1,4.9,4.6,0.0,206.0,33.3,9.2,15.3,0.0,0.0,9.2,15.3,0.599,3.7,5.0,2.1,5.8,7.9,3.2,0.8,2.1,2.5,3.0,22.0,9.9,16.5,0.0,0.0,9.9,16.5,4.0,5.4,2.2,6.3,8.5,3.4,0.9,2.2,2.7,3.3,23.7
Alvan Adams,PF,30,PHO,82.0,2136.0,10.4,20.1,0.52,0.0,0.0,,10.4,20.1,0.52,5.5,6.2,0.883,3.4,7.6,11.0,6.8,2.5,1.1,4.3,5.6,26.4,111.0,104.0,19.8,0.578,0.0,0.309,8.2,18.1,13.3,21.8,2.5,1.3,15.9,23.6,,3.5,3.3,6.8,0.152,,2.5,1.9,4.4,3.5,0.0,0.0,26.0,5.8,11.2,0.0,0.0,5.8,11.2,0.52,3.0,3.5,1.9,4.2,6.1,3.8,1.4,0.6,2.4,3.1,14.7,8.0,15.4,0.0,0.0,8.0,15.4,4.2,4.8,2.6,5.8,8.4,5.2,1.9,0.8,3.3,4.3,20.3
Mark Aguirre,SF,25,DAL,80.0,2699.0,14.3,28.2,0.506,0.5,1.5,0.318,13.8,26.7,0.517,7.9,10.4,0.759,3.4,5.2,8.6,4.5,1.1,0.4,4.6,4.5,37.0,110.0,111.0,21.3,0.563,0.054000000000000006,0.37,7.8,12.5,10.1,15.3,1.1,0.5,12.2,32.2,,5.3,1.9,7.2,0.128,,3.3,-1.6,1.7,2.5,0.0,0.0,33.7,9.9,19.6,0.3,1.1,9.6,18.6,0.515,5.5,7.3,2.4,3.6,6.0,3.1,0.8,0.3,3.2,3.1,25.7,10.6,20.9,0.4,1.1,10.2,19.8,5.9,7.7,2.5,3.9,6.4,3.3,0.8,0.3,3.4,3.3,27.4
Danny Ainge,SG,25,BOS,75.0,2564.0,7.7,14.6,0.529,0.3,1.0,0.268,7.4,13.6,0.5489999999999999,2.2,2.5,0.868,1.4,3.5,4.9,7.4,2.2,0.1,2.7,4.2,17.9,115.0,108.0,14.2,0.57,0.071,0.172,3.4,7.9,5.8,19.9,2.2,0.1,14.9,15.9,,3.9,2.8,6.6,0.124,,1.7,0.0,1.7,2.4,0.0,0.0,34.2,5.6,10.6,0.2,0.7,5.4,9.8,0.539,1.6,1.8,1.0,2.6,3.6,5.3,1.6,0.1,2.0,3.0,12.9,5.9,11.1,0.2,0.8,5.7,10.3,1.7,1.9,1.1,2.7,3.8,5.6,1.7,0.1,2.1,3.2,13.6
Chuck Aleksinas,C,25,GSW,74.0,1114.0,6.7,14.1,0.478,0.0,0.0,0.0,6.7,14.0,0.479,2.3,3.1,0.733,3.6,7.6,11.3,1.5,0.6,0.6,3.0,7.1,15.7,100.0,114.0,9.1,0.509,0.003,0.223,8.1,20.1,13.6,4.4,0.6,0.8,16.3,15.6,,0.1,0.4,0.4,0.019,,-5.1,-0.7,-5.9,-1.1,0.0,0.0,15.1,2.2,4.6,0.0,0.0,2.2,4.5,0.478,0.7,1.0,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1,5.2,10.9,0.0,0.0,5.2,10.9,1.8,2.4,2.8,5.9,8.7,1.2,0.5,0.5,2.3,5.5,12.2
John Bagley,PG,24,CLE,81.0,2401.0,6.6,13.6,0.488,0.1,0.5,0.115,6.6,13.1,0.502,2.5,3.3,0.7490000000000001,1.1,4.6,5.7,13.7,2.5,0.1,4.1,2.6,15.8,108.0,108.0,16.0,0.524,0.038,0.24100000000000002,2.4,10.7,6.6,39.4,2.5,0.1,21.3,16.3,,2.3,2.3,4.6,0.092,,0.2,0.3,0.5,1.5,0.0,0.0,29.6,4.2,8.6,0.0,0.3,4.1,8.2,0.49,1.5,2.1,0.7,2.9,3.6,8.6,1.6,0.1,2.6,1.6,9.9,5.1,10.4,0.0,0.4,5.0,10.0,1.9,2.5,0.8,3.6,4.4,10.5,1.9,0.1,3.1,2.0,12.1
James Bailey,PF,27,NYK,74.0,1297.0,5.8,13.0,0.447,0.0,0.0,0.0,5.8,12.9,0.44799999999999995,2.7,4.0,0.6759999999999999,4.5,8.3,12.8,1.5,1.1,1.9,3.7,10.6,14.3,93.0,107.0,7.9,0.485,0.003,0.309,10.6,20.4,15.4,4.0,1.1,2.4,20.1,15.8,,-0.8,1.4,0.6,0.021,,-4.9,0.8,-4.1,-0.7,0.0,0.0,17.5,2.1,4.7,0.0,0.0,2.1,4.7,0.447,1.0,1.5,1.6,3.0,4.6,0.5,0.4,0.7,1.4,3.9,5.2,4.3,9.7,0.0,0.0,4.3,9.7,2.0,3.0,3.4,6.2,9.5,1.1,0.8,1.4,2.8,7.9,10.7
Thurl Bailey,PF,23,UTA,80.0,2481.0,9.3,19.0,0.49,0.0,0.0,1.0,9.3,19.0,0.49,3.6,4.3,0.8420000000000001,2.8,6.8,9.7,2.5,0.9,1.9,2.8,4.0,22.3,105.0,104.0,14.7,0.5329999999999999,0.001,0.226,6.5,15.1,10.9,8.2,0.9,2.3,11.8,20.6,,1.6,3.8,5.4,0.10400000000000001,,-0.1,0.1,0.0,1.2,0.0,0.0,31.0,6.3,12.9,0.0,0.0,6.3,12.9,0.491,2.5,2.9,1.9,4.7,6.6,1.7,0.6,1.3,1.9,2.7,15.2,7.4,15.0,0.0,0.0,7.3,15.0,2.9,3.4,2.2,5.4,7.6,2.0,0.7,1.5,2.2,3.1,17.6
Greg Ballard,SF,30,WSB,82.0,2664.0,8.4,17.6,0.48,0.3,0.8,0.304,8.2,16.7,0.488,2.2,2.7,0.795,2.7,6.8,9.5,3.7,1.8,0.6,1.9,4.0,19.3,107.0,104.0,14.3,0.513,0.047,0.154,6.1,16.2,11.0,10.9,1.8,0.7,9.2,18.0,,2.1,3.9,6.0,0.109,,0.3,0.8,1.1,2.1,0.0,0.0,32.5,5.7,11.9,0.2,0.6,5.5,11.4,0.48700000000000004,1.5,1.8,1.8,4.6,6.5,2.5,1.2,0.4,1.3,2.7,13.1,6.3,13.2,0.2,0.6,6.1,12.6,1.6,2.0,2.0,5.1,7.2,2.8,1.4,0.4,1.4,3.0,14.5
Gene Banks,SF,25,SAS,82.0,2091.0,6.4,10.9,0.586,0.0,0.1,0.33299999999999996,6.4,10.8,0.588,4.4,5.7,0.774,2.9,6.9,9.8,5.2,1.4,0.3,3.1,4.9,17.2,120.0,109.0,14.5,0.642,0.006,0.521,7.4,16.4,12.0,14.0,1.4,0.3,18.8,14.3,,3.9,1.8,5.6,0.13,,1.0,0.8,1.8,2.0,0.0,0.0,25.5,3.5,6.0,0.0,0.0,3.5,6.0,0.5870000000000001,2.4,3.1,1.6,3.8,5.4,2.9,0.8,0.2,1.7,2.7,9.5,5.0,8.5,0.0,0.1,5.0,8.4,3.4,4.4,2.3,5.4,7.7,4.0,1.1,0.2,2.4,3.8,13.4
