player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Mahmoud Abdul-Rauf,PG,27,2131.0,0.445,3.0,4.7,1.4,0.1,25.5,105.0,112.0,13.2,0.524,3.3,15.8,23.2,2.7,-3.5,-0.8,0.496,1.5,1.8,0.846,0.2,1.4,1.6,2.5,0.7,0.1,1.6,2.3,13.7,12.3,0.0
Shareef Abdur-Rahim,PF,20,2802.0,0.45299999999999996,10.7,3.4,1.5,1.5,28.9,102.0,112.0,17.4,0.518,11.5,12.1,27.6,2.9,-2.0,0.0,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1.0,1.0,2.8,2.5,18.7,15.2,0.0
Cory Alexander,PG,23,1454.0,0.396,4.7,9.6,3.1,0.6,21.8,101.0,112.0,14.3,0.528,5.1,30.0,22.2,1.1,-1.3,0.2,0.49200000000000005,1.2,1.6,0.736,0.4,1.2,1.5,3.2,1.0,0.2,1.8,1.9,7.2,6.1,0.0
Ray Allen,SG,21,2532.0,0.43,6.9,4.4,1.6,0.2,23.3,109.0,110.0,14.6,0.541,7.9,13.9,21.4,4.9,0.3,1.5,0.494,2.5,3.0,0.823,1.2,2.8,4.0,2.6,0.9,0.1,1.8,2.7,13.4,11.1,0.0
Greg Anderson,C,32,1659.0,0.496,14.8,1.1,2.1,2.2,10.7,105.0,108.0,11.4,0.531,16.2,3.2,10.5,2.2,-1.6,0.2,0.496,0.8,1.1,0.667,1.9,3.5,5.5,0.4,0.8,0.8,0.9,2.7,3.9,3.2,0.0
Kenny Anderson,PG,26,3081.0,0.42700000000000005,6.2,10.0,2.8,0.3,24.6,117.0,104.0,19.5,0.54,7.0,31.7,22.2,12.4,5.0,5.5,0.485,4.1,5.3,0.768,1.1,3.3,4.4,7.1,2.0,0.2,2.4,2.7,17.5,13.9,0.0
Nick Anderson,SG,29,2163.0,0.397,7.6,4.6,3.0,0.8,19.0,104.0,104.0,13.8,0.494,8.2,14.5,18.2,4.2,2.6,2.5,0.496,0.6,1.5,0.40399999999999997,1.0,3.8,4.8,2.9,1.9,0.5,1.4,2.5,12.0,11.5,0.0
Shandon Anderson,SG,23,1066.0,0.462,9.0,2.5,1.4,0.4,19.3,99.0,106.0,10.4,0.534,10.5,7.1,18.9,1.2,-2.9,-0.2,0.5,1.0,1.5,0.687,0.8,2.0,2.8,0.8,0.4,0.1,1.1,1.7,5.9,4.9,0.0
Greg Anthony,PG,29,1863.0,0.39299999999999996,5.4,11.9,3.8,0.1,17.9,108.0,110.0,16.6,0.526,5.7,36.1,17.8,3.5,-0.3,0.8,0.479,2.0,2.7,0.73,0.4,2.4,2.8,6.3,2.0,0.1,2.0,1.9,9.5,7.8,0.0
B.J. Armstrong,PG,29,1020.0,0.45299999999999996,3.8,6.5,1.3,0.1,19.9,110.0,116.0,12.9,0.5379999999999999,4.3,20.3,18.1,1.3,-3.9,-0.5,0.491,1.4,1.6,0.861,0.1,1.4,1.5,2.6,0.5,0.0,1.1,1.1,7.9,6.7,0.0
Darrell Armstrong,PG,28,1010.0,0.38299999999999995,4.1,9.4,3.3,0.5,22.1,103.0,107.0,14.7,0.525,4.4,29.7,22.4,1.8,-0.7,0.3,0.462,1.4,1.6,0.868,0.5,0.6,1.1,2.6,0.9,0.1,1.5,1.7,6.1,5.1,0.0
Keith Askins,SF,29,1773.0,0.433,8.3,2.3,1.6,0.6,11.8,111.0,102.0,9.1,0.557,9.1,6.7,10.7,4.3,1.1,1.4,0.541,0.5,0.7,0.672,1.1,2.4,3.5,1.0,0.7,0.2,0.8,2.5,4.9,4.1,0.0
Isaac Austin,C,27,1881.0,0.502,13.8,2.9,1.3,1.2,22.9,99.0,99.0,14.2,0.536,15.1,9.9,22.5,4.0,-1.6,0.2,0.502,1.8,2.8,0.664,1.7,4.2,5.8,1.2,0.5,0.5,2.0,3.0,9.7,7.8,0.0
