player,pos_x,age_x,team_id_x,g_x,mp_x,fg_per_poss,fga_per_poss,fg_pct_x,fg3_per_poss,fg3a_per_poss,fg3_pct_x,fg2_per_poss,fg2a_per_poss,fg2_pct_x,ft_per_poss,fta_per_poss,ft_pct_x,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp,votes_first,points_won,mp_per_g,fg_per_g,fga_per_g,fg3_per_g,fg3a_per_g,fg2_per_g,fg2a_per_g,efg_pct,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fg_per_mp,fga_per_mp,fg3_per_mp,fg3a_per_mp,fg2_per_mp,fg2a_per_mp,ft_per_mp,fta_per_mp,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
Arron Afflalo,SG,23,DET,74.0,1234.0,5.9,13.5,0.43700000000000006,1.9,4.8,0.402,3.9,8.7,0.456,2.6,3.2,0.8170000000000001,1.3,4.7,6.0,2.0,1.3,0.6,1.9,6.5,16.3,107.0,110.0,8.9,0.5479999999999999,0.35700000000000004,0.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,,0.8,1.0,1.8,0.069,,-1.7,-0.7,-2.4,-0.1,0.0,0.0,16.7,1.8,4.1,0.6,1.4,1.2,2.6,0.508,0.8,1.0,0.4,1.4,1.8,0.6,0.4,0.2,0.6,1.9,4.9,3.8,8.8,1.3,3.1,2.6,5.6,1.7,2.1,0.9,3.0,3.9,1.3,0.8,0.4,1.3,4.2,10.6
LaMarcus Aldridge,PF,23,POR,81.0,3004.0,11.1,22.9,0.484,0.1,0.5,0.25,11.0,22.4,0.489,4.8,6.2,0.7809999999999999,4.3,6.8,11.2,2.9,1.4,1.4,2.2,3.8,27.1,115.0,108.0,19.1,0.529,0.023,0.26899999999999996,9.5,15.6,12.5,9.3,1.4,2.0,8.0,23.7,,6.1,3.3,9.5,0.151,,1.2,0.7,1.9,3.0,0.0,0.0,37.1,7.4,15.3,0.1,0.3,7.3,15.0,0.486,3.2,4.1,2.9,4.6,7.5,1.9,1.0,1.0,1.5,2.6,18.1,7.2,14.9,0.1,0.3,7.1,14.6,3.1,4.0,2.8,4.4,7.3,1.9,0.9,0.9,1.5,2.5,17.6
Ray Allen,SG,33,BOS,79.0,2876.0,9.2,19.2,0.48,3.7,9.0,0.409,5.5,10.2,0.542,4.4,4.6,0.9520000000000001,1.2,3.9,5.1,4.0,1.3,0.2,2.5,2.9,26.5,122.0,106.0,17.3,0.624,0.467,0.239,2.9,8.6,5.9,12.6,1.3,0.4,10.4,20.8,,7.4,3.7,11.1,0.18600000000000003,,4.3,-0.3,3.9,4.3,0.0,0.0,36.4,6.3,13.2,2.5,6.2,3.8,7.0,0.575,3.0,3.2,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0,18.2,6.2,13.0,2.5,6.1,3.8,6.9,3.0,3.1,0.8,2.7,3.5,2.7,0.9,0.2,1.7,2.0,17.9
Rafer Alston,PG,32,TOT,77.0,2447.0,6.8,17.7,0.385,2.4,7.1,0.33799999999999997,4.4,10.5,0.41700000000000004,3.4,4.5,0.75,0.7,4.2,4.9,8.8,2.3,0.2,3.0,2.9,19.4,105.0,104.0,13.8,0.494,0.40399999999999997,0.254,1.6,8.8,5.3,27.0,2.3,0.3,13.3,19.9,,1.7,3.7,5.3,0.10400000000000001,,0.4,0.6,1.0,1.9,0.0,0.0,31.8,4.1,10.6,1.5,4.3,2.6,6.4,0.45399999999999996,2.0,2.7,0.4,2.5,2.9,5.3,1.4,0.1,1.8,1.8,11.7,4.6,12.1,1.6,4.9,3.0,7.2,2.3,3.1,0.5,2.9,3.3,6.0,1.6,0.1,2.1,2.0,13.2
Lou Amundson,PF,26,PHO,76.0,1044.0,6.4,12.0,0.536,0.0,0.0,0.0,6.4,11.9,0.5379999999999999,2.5,5.7,0.442,6.1,6.8,12.9,1.3,1.5,3.1,2.7,7.4,15.4,108.0,109.0,13.3,0.53,0.004,0.48,14.9,15.3,15.1,3.7,1.5,4.6,15.6,15.1,,0.8,1.0,1.8,0.08199999999999999,,-1.3,0.8,-0.5,0.4,0.0,0.0,13.7,1.8,3.3,0.0,0.0,1.8,3.3,0.536,0.7,1.6,1.7,1.9,3.6,0.4,0.4,0.9,0.7,2.0,4.2,4.6,8.6,0.0,0.0,4.6,8.6,1.8,4.1,4.4,4.9,9.3,1.0,1.1,2.2,1.9,5.3,11.1
Chris Andersen,C,30,DEN,71.0,1460.0,5.6,10.2,0.5479999999999999,0.1,0.3,0.2,5.5,9.8,0.56,4.5,6.3,0.718,5.7,9.7,15.4,1.1,1.4,6.1,2.4,6.1,15.8,120.0,101.0,18.1,0.608,0.034,0.62,13.4,21.6,17.6,3.2,1.4,9.3,15.7,13.4,,2.5,2.8,5.4,0.17600000000000002,,-1.2,4.6,3.4,2.0,0.0,0.0,20.6,2.3,4.1,0.0,0.1,2.2,4.0,0.551,1.8,2.5,2.3,3.9,6.2,0.4,0.6,2.5,1.0,2.5,6.4,3.9,7.2,0.0,0.2,3.9,7.0,3.2,4.5,4.0,6.9,10.9,0.8,1.0,4.3,1.7,4.3,11.1
Ryan Anderson,PF,20,NJN,66.0,1312.0,6.5,16.6,0.39299999999999996,2.8,7.7,0.365,3.7,8.9,0.41700000000000004,4.0,4.7,0.845,4.2,8.4,12.7,2.1,1.8,0.8,2.6,6.4,19.8,108.0,109.0,13.6,0.532,0.46399999999999997,0.285,9.3,19.0,14.1,6.4,1.8,1.2,12.1,18.6,,1.3,1.2,2.5,0.09,,-0.1,-1.0,-1.1,0.3,0.0,0.0,19.9,2.4,6.2,1.0,2.9,1.4,3.3,0.478,1.5,1.8,1.6,3.1,4.7,0.8,0.7,0.3,1.0,2.4,7.4,4.4,11.2,1.9,5.2,2.5,6.0,2.7,3.2,2.9,5.7,8.5,1.4,1.2,0.5,1.7,4.3,13.4
Carmelo Anthony,SF,24,DEN,66.0,2277.0,12.0,27.0,0.44299999999999995,1.4,3.8,0.371,10.6,23.2,0.455,8.3,10.5,0.7929999999999999,2.4,7.7,10.1,5.0,1.7,0.5,4.5,4.4,33.6,105.0,107.0,19.0,0.532,0.141,0.38799999999999996,5.6,17.0,11.5,18.1,1.7,0.8,12.3,31.5,,2.4,2.6,5.0,0.105,,0.8,-0.5,0.3,1.3,0.0,0.0,34.5,8.1,18.3,1.0,2.6,7.2,15.7,0.469,5.6,7.1,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0,22.8,8.5,19.1,1.0,2.7,7.5,16.4,5.9,7.4,1.7,5.4,7.1,3.5,1.2,0.4,3.1,3.1,23.8
Joel Anthony,C,26,MIA,65.0,1048.0,2.9,6.0,0.483,0.0,0.0,,2.9,6.0,0.483,1.5,2.3,0.652,4.5,5.5,10.0,1.4,1.0,4.7,2.1,7.1,7.3,106.0,106.0,9.3,0.521,0.0,0.39,10.1,12.4,11.2,3.7,1.0,7.2,22.9,8.0,,0.4,1.4,1.7,0.079,,-4.0,4.1,0.2,0.6,0.0,0.0,16.1,0.9,1.8,0.0,0.0,0.9,1.8,0.483,0.5,0.7,1.4,1.7,3.0,0.4,0.3,1.4,0.6,2.1,2.2,2.0,4.1,0.0,0.0,2.0,4.1,1.0,1.6,3.1,3.7,6.8,0.9,0.7,3.2,1.4,4.8,4.9
Trevor Ariza,SF,23,LAL,82.0,1999.0,7.0,15.2,0.46,1.6,4.9,0.319,5.4,10.3,0.526,3.1,4.3,0.71,2.8,6.1,9.0,3.7,3.5,0.6,2.2,4.2,18.6,112.0,102.0,15.5,0.544,0.32,0.284,6.4,13.5,10.0,10.4,3.5,0.9,11.5,16.6,,2.5,3.5,6.1,0.146,,1.0,2.1,3.1,2.6,0.0,0.0,24.4,3.3,7.3,0.7,2.3,2.6,4.9,0.511,1.5,2.1,1.4,2.9,4.3,1.8,1.7,0.3,1.1,2.0,8.9,4.9,10.7,1.1,3.4,3.8,7.3,2.2,3.0,2.0,4.3,6.3,2.6,2.5,0.4,1.6,3.0,13.1
