player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Shareef Abdur-Rahim,PF,25,2980.0,0.461,12.2,4.2,1.7,1.4,28.7,105.0,105.0,19.8,0.536,13.3,15.1,27.0,7.2,2.0,3.0,0.469,5.4,6.8,0.8009999999999999,2.6,6.5,9.0,3.1,1.3,1.1,3.2,2.8,21.2,16.8,0.0
Courtney Alexander,SG,24,1325.0,0.47,6.1,3.5,1.4,0.3,22.5,106.0,109.0,13.6,0.521,6.5,11.3,20.4,2.2,-2.1,0.0,0.47600000000000003,1.8,2.2,0.81,0.8,1.9,2.6,1.5,0.6,0.1,1.1,2.0,9.8,8.5,0.0
Ray Allen,SG,26,2525.0,0.462,6.6,5.7,1.9,0.4,31.7,116.0,109.0,21.6,0.598,7.1,19.4,26.2,8.9,4.3,4.0,0.561,3.1,3.6,0.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,2.3,21.8,16.6,0.0
Derek Anderson,SG,27,1860.0,0.40399999999999997,5.5,6.2,2.0,0.2,21.9,114.0,107.0,15.5,0.5379999999999999,6.0,18.6,19.4,5.3,0.9,1.3,0.473,2.5,3.0,0.856,0.7,2.0,2.7,3.1,1.0,0.1,1.2,1.6,10.8,8.7,0.0
Kenny Anderson,PG,31,2430.0,0.436,5.9,8.6,3.0,0.2,15.6,103.0,101.0,13.6,0.47200000000000003,6.2,28.1,16.7,5.2,-0.3,1.0,0.442,1.3,1.7,0.742,0.8,2.9,3.6,5.3,1.9,0.1,1.6,2.8,9.6,9.4,0.0
Shandon Anderson,SG,28,1596.0,0.39899999999999997,8.3,2.5,1.6,0.5,13.8,90.0,106.0,8.0,0.489,9.0,7.7,15.1,0.4,-2.9,-0.3,0.452,0.9,1.3,0.6920000000000001,0.7,2.3,3.0,0.9,0.6,0.2,1.2,1.6,5.0,4.5,0.0
Greg Anthony,PG,34,1514.0,0.385,4.6,9.9,2.7,0.2,16.6,97.0,108.0,12.6,0.46,5.1,30.8,18.6,1.1,-2.7,-0.3,0.436,1.0,1.5,0.659,0.4,1.8,2.2,4.7,1.3,0.1,1.6,1.9,7.9,7.9,0.0
Gilbert Arenas,PG,20,1155.0,0.45299999999999996,5.8,7.7,3.0,0.5,22.5,110.0,108.0,17.0,0.562,6.1,24.8,20.1,2.7,1.2,0.9,0.504,2.6,3.4,0.775,0.9,1.9,2.8,3.7,1.5,0.2,2.1,2.4,10.9,8.2,0.0
Darrell Armstrong,PG,33,2730.0,0.419,6.0,8.5,3.0,0.2,19.1,112.0,105.0,16.7,0.5529999999999999,6.5,25.5,17.9,7.6,3.0,3.4,0.503,2.2,2.5,0.888,1.0,2.9,3.9,5.5,1.9,0.1,2.1,2.0,12.4,10.1,0.0
Chucky Atkins,PG,27,2285.0,0.466,3.7,6.1,1.7,0.3,22.3,108.0,106.0,14.5,0.568,4.1,20.5,20.0,5.1,-0.1,1.1,0.5529999999999999,1.1,1.5,0.6920000000000001,0.4,1.6,2.0,3.3,0.9,0.1,1.6,2.2,12.1,10.0,0.0
Stacey Augmon,SG,33,1319.0,0.42700000000000005,9.1,4.2,2.3,0.5,14.5,102.0,103.0,11.5,0.479,9.7,12.5,14.8,2.3,-1.3,0.2,0.42700000000000005,1.0,1.3,0.762,0.8,2.2,2.9,1.3,0.7,0.2,0.7,1.5,4.6,4.3,0.0
Vin Baker,C,30,1710.0,0.485,11.0,2.3,0.7,1.1,24.4,101.0,109.0,14.1,0.517,12.1,7.0,23.8,2.2,-2.8,-0.4,0.486,2.6,4.1,0.633,3.1,3.3,6.4,1.3,0.4,0.7,2.3,3.6,14.1,11.8,0.0
Brent Barry,SG,30,3040.0,0.508,7.8,7.6,2.6,0.7,20.6,124.0,104.0,19.3,0.652,8.6,21.3,16.2,12.1,5.8,6.0,0.611,2.4,2.9,0.846,0.7,4.7,5.4,5.3,1.8,0.5,2.0,2.2,14.4,9.8,0.0
Jon Barry,SG,32,1985.0,0.489,6.3,7.4,2.5,0.5,19.9,120.0,103.0,17.7,0.645,6.9,23.2,16.2,7.5,3.2,2.6,0.604,1.3,1.4,0.9309999999999999,0.5,2.3,2.9,3.3,1.1,0.2,1.4,1.6,9.0,6.4,0.0
Tony Battie,C,25,1819.0,0.541,13.7,1.0,1.7,1.9,14.6,118.0,99.0,14.5,0.57,14.5,3.2,12.5,6.2,0.1,1.0,0.541,1.2,1.8,0.677,2.5,4.0,6.5,0.5,0.8,0.9,0.7,3.0,6.9,5.3,0.0
Shane Battier,SF,23,3097.0,0.429,7.1,3.7,2.1,1.4,19.1,104.0,107.0,13.9,0.518,7.5,11.9,18.2,4.8,1.9,3.0,0.48200000000000004,2.5,3.6,0.7,2.3,3.1,5.4,2.8,1.6,1.0,2.0,2.8,14.4,12.3,0.0
Jonathan Bender,SF,21,1647.0,0.43,7.7,2.0,0.6,1.6,18.4,101.0,107.0,10.6,0.5379999999999999,8.4,6.1,17.5,2.0,-2.7,-0.3,0.479,1.8,2.3,0.773,0.8,2.3,3.1,0.8,0.2,0.6,1.2,1.9,7.4,5.9,0.0
Travis Best,PG,29,1747.0,0.44,4.5,9.8,2.7,0.2,17.5,106.0,106.0,14.3,0.511,5.0,31.3,17.5,3.4,-1.7,0.1,0.46,1.4,1.6,0.897,0.3,1.8,2.0,4.4,1.2,0.1,1.3,2.3,7.9,7.0,0.0
Mike Bibby,PG,23,2659.0,0.45299999999999996,4.2,7.6,1.6,0.3,20.7,107.0,105.0,14.9,0.513,4.5,23.0,19.7,6.3,-0.4,1.1,0.479,1.9,2.4,0.8029999999999999,0.5,2.3,2.8,5.0,1.1,0.2,1.7,1.7,13.7,12.3,1.0
Chauncey Billups,PG,25,2355.0,0.423,5.1,10.1,1.5,0.4,23.1,116.0,108.0,17.6,0.555,5.5,29.2,20.4,7.6,1.5,2.1,0.498,2.5,2.9,0.885,0.4,2.3,2.8,5.5,0.8,0.2,1.7,2.1,12.5,10.0,0.0
Corie Blount,PF,33,1426.0,0.45799999999999996,13.9,1.7,1.9,1.0,9.8,103.0,100.0,10.2,0.478,14.6,4.9,10.4,3.1,-0.5,0.6,0.45799999999999996,0.4,0.6,0.644,2.1,3.0,5.1,0.6,0.7,0.4,0.7,2.4,3.6,3.5,0.0
Bruce Bowen,SF,30,1699.0,0.389,5.1,2.8,1.9,0.8,12.9,94.0,102.0,8.2,0.46799999999999997,5.5,8.1,13.9,1.9,-0.1,0.8,0.46,0.8,1.6,0.479,0.7,2.0,2.7,1.5,1.1,0.4,1.1,2.0,7.0,6.7,0.0
Ryan Bowen,SF,26,1686.0,0.479,9.4,1.6,2.4,1.3,11.5,113.0,107.0,11.4,0.524,10.1,4.8,10.3,3.1,0.3,1.0,0.48,0.9,1.2,0.75,1.8,2.2,4.0,0.7,1.0,0.5,0.5,2.3,4.9,4.1,0.0
Elton Brand,PF,22,3020.0,0.527,16.3,3.4,1.4,2.9,25.6,120.0,103.0,23.6,0.586,17.3,11.0,21.1,13.6,6.2,6.2,0.527,4.9,6.6,0.742,5.0,6.6,11.6,2.4,1.0,2.0,2.2,3.2,18.2,12.6,1.0
P.J. Brown,C,32,2563.0,0.474,16.4,2.2,1.2,1.6,14.0,118.0,101.0,15.1,0.545,17.5,6.6,12.4,8.2,1.8,2.5,0.474,2.1,2.5,0.858,3.4,6.4,9.8,1.3,0.7,1.0,1.1,2.8,8.4,6.6,0.0
