player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Shareef Abdur-Rahim,SF,24,3241.0,0.47200000000000003,11.9,4.0,1.5,1.2,26.9,106.0,104.0,19.1,0.5489999999999999,13.0,14.3,24.6,8.5,2.2,3.5,0.47700000000000004,5.5,6.6,0.8340000000000001,2.2,6.9,9.1,3.1,1.1,1.0,2.9,2.9,20.5,15.8,0.0
Courtney Alexander,PG,23,1382.0,0.41700000000000004,5.3,2.3,1.7,0.2,23.1,96.0,109.0,11.6,0.484,5.9,8.0,23.2,0.8,-4.4,-0.8,0.43200000000000005,1.9,2.3,0.82,0.6,1.6,2.2,1.0,0.7,0.1,1.2,2.1,9.5,8.8,0.0
Ray Allen,SG,25,3129.0,0.48,7.1,6.2,2.1,0.3,30.1,119.0,106.0,22.9,0.61,7.8,20.4,24.4,13.7,5.6,6.0,0.557,4.2,4.8,0.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0,16.0,7.0
John Amaechi,C,30,1710.0,0.4,8.1,2.2,0.8,0.9,19.6,89.0,105.0,8.7,0.455,8.7,7.0,21.7,0.0,-6.9,-2.1,0.4,2.1,3.4,0.631,0.9,2.3,3.3,0.9,0.3,0.4,1.5,2.1,7.9,7.2,0.0
Derek Anderson,SG,26,2859.0,0.41600000000000004,6.8,5.6,2.2,0.3,23.8,109.0,99.0,17.1,0.542,7.2,18.1,21.9,9.9,3.6,4.0,0.467,4.2,4.9,0.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,2.3,15.5,12.1,0.0
Shandon Anderson,SG,27,2396.0,0.446,7.4,4.2,1.8,0.9,15.7,103.0,105.0,11.9,0.528,8.0,12.5,15.4,3.9,0.6,1.6,0.485,1.7,2.3,0.7340000000000001,0.9,3.2,4.1,2.3,1.0,0.5,1.6,2.5,8.7,7.2,0.0
Darrell Armstrong,PG,32,2767.0,0.41200000000000003,6.4,9.8,2.5,0.2,22.1,110.0,103.0,18.6,0.535,6.9,31.3,21.0,8.7,3.5,3.8,0.484,2.9,3.3,0.884,1.3,3.3,4.6,7.0,1.8,0.2,2.7,2.1,15.9,13.4,0.0
Chucky Atkins,PG,26,2363.0,0.39899999999999997,3.7,7.1,1.4,0.1,20.8,99.0,106.0,12.2,0.48100000000000004,3.9,24.3,21.2,2.8,-1.8,0.1,0.46299999999999997,1.1,1.6,0.6920000000000001,0.3,1.8,2.1,4.1,0.8,0.1,1.8,2.3,12.0,11.8,0.0
Stacey Augmon,SG,32,1182.0,0.47700000000000004,7.2,4.5,2.2,1.0,14.2,107.0,103.0,12.3,0.511,8.0,12.7,13.9,2.5,-0.2,0.6,0.47700000000000004,0.9,1.3,0.655,0.9,1.5,2.4,1.5,0.7,0.3,0.7,1.6,4.7,4.0,0.0
Vin Baker,PF,29,2129.0,0.42200000000000004,10.6,2.2,0.9,1.8,22.8,97.0,107.0,13.0,0.48100000000000004,11.6,7.0,23.8,1.8,-3.7,-0.9,0.423,3.1,4.2,0.723,2.4,3.3,5.7,1.2,0.5,1.0,2.1,3.5,12.2,10.8,0.0
