player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Kevin Garnett,PF,22,1780.0,0.46,14.5,6.0,2.3,2.5,28.9,102.0,97.0,22.4,0.493,15.4,21.3,27.8,5.4,5.7,3.5,0.462,3.1,4.4,0.7040000000000001,3.5,6.9,10.4,4.3,1.7,1.8,2.9,3.2,20.8,19.1,9.0
Dean Garrett,C,32,1054.0,0.502,12.9,1.4,1.5,2.3,13.5,113.0,100.0,13.6,0.5329999999999999,13.6,4.1,11.8,2.9,-0.2,0.5,0.502,0.8,1.0,0.745,2.0,3.2,5.2,0.6,0.6,0.9,0.6,2.3,5.5,4.7,0.0
Matt Geiger,C,29,1540.0,0.479,12.7,2.0,1.4,1.4,23.7,106.0,99.0,17.1,0.532,13.7,7.4,21.6,4.7,0.3,0.9,0.48,2.8,3.5,0.797,2.7,4.5,7.2,1.2,0.8,0.8,2.0,3.1,13.5,11.1,0.0
Kendall Gill,SF,30,1606.0,0.39799999999999996,8.0,4.0,4.4,0.8,19.2,96.0,100.0,14.8,0.441,8.4,13.8,20.3,2.6,1.2,1.3,0.4,2.3,3.3,0.6829999999999999,1.2,3.7,4.9,2.5,2.7,0.5,1.4,3.2,11.8,11.9,0.0
Brian Grant,PF,26,1525.0,0.479,16.6,2.4,0.7,1.2,19.4,113.0,98.0,17.0,0.5710000000000001,17.8,7.4,17.3,5.9,1.9,1.5,0.479,3.8,4.7,0.8140000000000001,3.6,6.2,9.8,1.4,0.4,0.7,2.0,2.8,11.5,8.0,0.0
Horace Grant,PF,33,1660.0,0.434,11.4,2.9,1.5,2.0,14.4,103.0,97.0,13.3,0.455,12.3,9.3,14.5,4.1,1.3,1.4,0.434,0.9,1.4,0.6709999999999999,2.3,4.7,7.0,1.8,0.9,1.2,0.9,2.0,8.9,9.1,0.0
Tom Gugliotta,PF,29,1563.0,0.483,13.0,4.1,2.0,0.7,24.9,111.0,102.0,20.0,0.545,14.2,13.6,22.4,5.4,2.5,1.8,0.485,4.0,5.1,0.794,3.0,5.8,8.9,2.8,1.4,0.5,2.0,2.6,17.0,13.3,0.0
Anfernee Hardaway,SG,27,1944.0,0.42,7.9,7.4,3.1,0.6,22.0,100.0,97.0,16.7,0.488,8.5,25.1,22.4,5.0,3.6,2.8,0.44799999999999995,3.0,4.2,0.706,1.5,4.2,5.7,5.3,2.2,0.5,3.0,2.2,15.8,14.3,1.0
Tim Hardaway,PG,32,1772.0,0.4,4.9,11.2,1.8,0.2,26.7,105.0,102.0,18.8,0.511,5.2,39.6,26.5,5.4,3.0,2.2,0.475,2.5,3.1,0.812,0.3,2.9,3.2,7.3,1.2,0.1,2.7,2.1,17.4,15.7,0.0
Derek Harper,PG,37,1120.0,0.41200000000000003,3.1,8.7,2.1,0.2,14.5,109.0,108.0,12.8,0.506,3.5,25.4,14.4,2.0,-1.4,0.2,0.486,0.6,0.7,0.813,0.3,1.2,1.5,4.2,1.0,0.1,1.2,1.5,6.9,6.5,0.0
Ron Harper,SG,35,1107.0,0.377,8.9,5.7,3.0,1.7,19.3,93.0,100.0,14.7,0.451,9.6,20.6,21.2,1.2,1.0,0.9,0.41200000000000003,2.0,2.9,0.703,1.4,3.7,5.1,3.3,1.7,1.0,1.9,2.3,11.2,11.1,0.0
Matt Harpring,SF,22,1114.0,0.46299999999999997,10.4,2.2,1.5,0.3,19.8,103.0,100.0,13.0,0.5329999999999999,11.2,7.1,18.6,2.6,-1.4,0.2,0.478,2.0,2.9,0.713,1.8,2.5,4.3,0.9,0.6,0.1,1.5,2.2,8.2,6.4,0.0
Hersey Hawkins,SG,32,1644.0,0.419,6.5,4.0,2.6,0.6,16.8,110.0,106.0,14.0,0.5539999999999999,7.1,12.0,15.1,3.5,1.4,1.4,0.48700000000000004,2.4,2.6,0.902,1.0,3.0,4.0,2.5,1.6,0.4,1.6,1.8,10.3,8.2,0.0
Alan Henderson,SF,26,1142.0,0.442,12.3,1.4,1.6,0.9,23.3,102.0,97.0,16.0,0.485,12.8,5.2,22.5,3.1,-0.6,0.4,0.442,2.6,3.9,0.6709999999999999,2.6,3.9,6.6,0.7,0.9,0.5,1.5,2.5,12.5,11.1,0.0
Cedric Henderson,SF,23,1517.0,0.41700000000000004,7.2,4.1,2.1,0.9,16.6,88.0,102.0,9.9,0.46,8.3,14.2,19.0,0.5,-1.9,0.0,0.419,1.5,1.8,0.813,0.9,3.0,3.9,2.3,1.2,0.5,1.9,2.7,9.1,9.1,0.0
Grant Hill,SF,26,1852.0,0.479,10.7,9.0,2.4,0.8,31.6,107.0,98.0,23.9,0.5429999999999999,11.7,33.6,29.6,7.3,6.0,3.8,0.479,5.7,7.6,0.752,1.3,5.8,7.1,6.0,1.6,0.5,3.7,2.3,21.1,16.0,39.0
Tyrone Hill,PF,30,1104.0,0.455,14.2,1.7,1.7,0.8,16.1,100.0,100.0,12.3,0.48700000000000004,15.4,5.4,16.5,2.2,-1.1,0.3,0.455,2.1,3.9,0.54,3.0,4.5,7.6,0.9,0.9,0.4,1.6,3.8,8.6,7.1,0.0
