player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Tariq Abdul-Wahad,SG,25,1578.0,0.424,9.2,3.1,1.9,0.9,21.9,98.0,103.0,13.6,0.47700000000000004,10.0,10.0,22.5,2.2,-1.5,0.2,0.426,2.4,3.2,0.7559999999999999,1.7,3.1,4.8,1.6,1.0,0.5,1.7,2.4,11.4,10.6,0.0
Shareef Abdur-Rahim,SF,23,3223.0,0.465,13.5,4.4,1.5,1.4,27.2,108.0,106.0,20.2,0.547,15.3,15.5,25.0,8.8,2.3,3.5,0.47700000000000004,5.4,6.7,0.809,2.7,7.4,10.1,3.3,1.1,1.1,3.0,3.0,20.3,15.6,0.0
Ray Allen,SG,24,3070.0,0.455,6.1,5.2,1.9,0.3,30.5,115.0,110.0,20.6,0.57,6.8,17.0,25.6,10.1,3.0,3.9,0.516,4.3,4.9,0.887,1.0,3.4,4.4,3.8,1.3,0.2,2.2,2.3,22.1,17.2,0.0
John Amaechi,C,29,1684.0,0.43700000000000006,7.8,2.8,1.0,1.1,24.5,98.0,104.0,13.2,0.505,8.6,9.1,24.1,2.4,-3.6,-0.7,0.43799999999999994,2.8,3.6,0.7659999999999999,0.8,2.6,3.3,1.2,0.4,0.5,1.7,2.0,10.5,8.8,0.0
Derek Anderson,SG,25,2201.0,0.43799999999999994,6.0,5.1,2.1,0.3,25.1,105.0,111.0,16.9,0.542,6.5,17.9,23.4,3.3,-0.2,1.0,0.47,4.2,4.8,0.877,1.3,2.8,4.0,3.4,1.4,0.2,2.6,2.3,16.9,13.4,0.0
Kenny Anderson,PG,29,2593.0,0.44,4.4,8.2,2.7,0.2,22.5,112.0,107.0,17.4,0.524,4.9,26.7,20.5,7.3,1.2,2.1,0.483,2.4,3.1,0.775,0.7,2.1,2.7,5.1,1.7,0.1,1.6,2.8,14.0,12.0,0.0
Nick Anderson,SG,32,2094.0,0.391,7.8,2.8,2.2,0.4,18.0,97.0,103.0,11.8,0.479,8.4,8.6,18.1,2.8,0.3,1.2,0.47600000000000003,0.5,1.1,0.48700000000000004,1.2,3.6,4.7,1.7,1.3,0.2,1.3,1.6,10.8,10.9,0.0
Shandon Anderson,SF,26,2700.0,0.473,7.2,4.5,1.8,0.6,19.0,106.0,107.0,13.8,0.5670000000000001,8.0,14.3,17.6,4.9,0.9,2.0,0.524,2.4,3.1,0.767,1.1,3.6,4.7,2.9,1.2,0.4,2.4,2.2,12.3,9.5,0.0
Chris Anstey,C,25,1007.0,0.442,14.9,3.5,1.5,1.3,23.4,100.0,102.0,15.1,0.512,16.3,13.2,23.1,1.9,-2.5,-0.1,0.444,1.6,2.0,0.789,1.2,2.6,3.8,0.9,0.4,0.3,1.1,2.5,6.0,5.0,0.0
Greg Anthony,PG,32,1548.0,0.406,4.6,7.2,2.0,0.3,17.7,110.0,103.0,13.0,0.551,5.1,20.5,16.4,4.1,0.4,0.9,0.512,1.1,1.4,0.772,0.2,1.4,1.6,2.5,0.7,0.1,1.0,1.7,6.3,5.1,0.0
Darrell Armstrong,PG,31,2590.0,0.433,5.1,9.5,3.2,0.2,25.3,107.0,102.0,19.5,0.542,5.7,31.4,23.9,8.0,4.4,4.2,0.494,2.7,3.0,0.9109999999999999,0.8,2.5,3.3,6.1,2.1,0.1,3.0,1.7,16.2,13.6,1.0
Chucky Atkins,PG,25,1626.0,0.424,3.8,9.3,1.6,0.1,23.7,100.0,106.0,14.4,0.489,4.2,30.9,24.3,2.4,-2.3,-0.1,0.462,1.2,1.6,0.7290000000000001,0.2,1.3,1.5,3.7,0.6,0.0,1.7,1.7,9.5,9.0,0.0
Isaac Austin,C,30,1173.0,0.429,12.4,3.3,0.8,1.7,17.5,89.0,106.0,10.2,0.48100000000000004,13.8,10.0,19.6,0.0,-4.0,-0.6,0.43,1.6,2.3,0.6859999999999999,1.1,3.7,4.8,1.3,0.3,0.6,1.8,2.2,6.7,6.0,0.0
Vin Baker,C,28,2849.0,0.455,10.9,2.7,0.8,1.2,23.7,99.0,106.0,14.0,0.5,11.6,8.6,23.6,3.5,-2.8,-0.6,0.456,3.6,5.2,0.682,2.9,4.8,7.7,1.9,0.6,0.8,2.7,3.6,16.6,14.3,0.0
Dana Barros,PG,32,1139.0,0.451,4.4,5.9,1.4,0.2,23.0,110.0,109.0,15.1,0.552,5.0,19.4,20.4,2.4,-2.3,-0.1,0.518,0.9,1.1,0.868,0.2,1.2,1.4,1.8,0.4,0.1,0.9,1.1,7.2,6.0,0.0
Brent Barry,SG,28,2726.0,0.46299999999999997,7.0,5.5,1.9,0.6,17.8,115.0,105.0,14.6,0.609,7.5,16.0,14.9,7.5,2.4,3.0,0.579,1.6,2.0,0.809,0.6,4.0,4.7,3.6,1.3,0.4,1.8,2.9,11.8,8.8,0.0
Jon Barry,SG,30,1281.0,0.465,6.0,5.7,2.8,0.3,18.7,116.0,102.0,15.9,0.623,6.5,16.7,15.7,4.2,2.6,1.5,0.561,1.7,1.9,0.922,0.6,2.0,2.6,2.4,1.2,0.1,1.4,1.7,8.0,5.6,0.0
Tony Battie,C,23,1505.0,0.47700000000000004,13.8,2.1,1.6,2.4,18.2,108.0,103.0,15.1,0.515,15.5,6.7,17.1,3.8,-0.6,0.5,0.478,1.2,1.8,0.675,1.9,3.1,5.0,0.8,0.6,0.9,0.8,3.0,6.6,5.6,0.0
Travis Best,PG,27,1691.0,0.483,4.3,8.3,2.3,0.2,22.4,112.0,105.0,16.5,0.569,4.7,26.3,20.2,5.1,0.6,1.1,0.514,1.9,2.3,0.821,0.2,1.5,1.7,3.3,0.9,0.1,1.3,2.5,8.9,6.8,0.0
Mike Bibby,PG,21,3155.0,0.445,5.1,11.1,2.2,0.3,19.9,107.0,110.0,16.7,0.521,5.8,36.2,20.0,5.6,0.2,1.7,0.483,2.4,3.0,0.78,0.9,2.8,3.7,8.1,1.6,0.2,3.0,2.1,14.5,12.6,0.0
Mookie Blaylock,PG,32,2459.0,0.391,5.5,10.0,3.0,0.5,16.8,103.0,108.0,15.1,0.46799999999999997,5.8,31.8,17.5,3.3,0.2,1.4,0.451,0.9,1.3,0.705,0.8,2.9,3.7,6.7,2.0,0.3,2.0,1.7,11.3,11.5,0.0
Muggsy Bogues,PG,35,1731.0,0.439,4.0,9.0,1.9,0.1,12.3,116.0,108.0,12.5,0.517,4.4,26.0,11.6,3.7,-3.0,-0.4,0.462,1.0,1.1,0.9079999999999999,0.3,1.4,1.7,3.7,0.8,0.1,0.7,1.5,5.1,4.5,0.0
Shawn Bradley,C,27,1901.0,0.479,13.2,1.6,1.9,5.1,17.2,108.0,101.0,17.0,0.521,14.0,4.7,16.1,5.1,1.8,1.8,0.48,1.5,1.9,0.765,2.1,4.4,6.5,0.8,0.9,2.5,1.0,3.4,8.4,7.2,0.0
Elton Brand,PF,20,2999.0,0.48200000000000004,14.5,2.8,1.2,2.4,29.1,104.0,103.0,20.6,0.528,15.8,11.8,27.0,7.5,1.8,2.9,0.48200000000000004,4.5,6.6,0.685,4.3,5.7,10.0,1.9,0.8,1.6,2.8,3.2,20.1,16.1,0.0
Terrell Brandon,PG,29,2587.0,0.466,4.8,12.7,2.7,0.6,24.5,111.0,104.0,20.8,0.535,5.4,39.1,23.0,8.6,2.9,3.2,0.49200000000000005,2.6,2.9,0.899,0.6,2.7,3.4,8.9,1.9,0.4,2.6,2.2,17.1,14.7,0.0
Chucky Brown,PF,31,1096.0,0.451,7.9,3.1,1.0,0.9,15.9,96.0,103.0,9.5,0.47600000000000003,8.6,9.9,16.5,1.3,-3.4,-0.4,0.45399999999999996,0.6,0.8,0.6920000000000001,0.6,2.1,2.7,1.0,0.3,0.3,0.7,1.8,5.3,5.2,0.0
P.J. Brown,PF,30,2302.0,0.48,14.0,3.4,1.5,1.4,17.8,109.0,100.0,15.3,0.516,15.1,10.3,17.1,6.9,1.8,2.2,0.48,1.5,2.0,0.755,2.7,4.8,7.5,1.8,0.8,0.8,1.3,3.3,9.6,8.4,0.0
Randy Brown,PG,31,1625.0,0.361,4.8,6.7,2.0,0.5,12.5,84.0,106.0,7.3,0.402,5.2,22.6,16.2,-0.8,-5.7,-1.5,0.364,1.1,1.4,0.738,0.4,2.1,2.4,3.4,1.0,0.3,1.8,2.0,6.4,7.4,0.0
Kobe Bryant,SG,21,2524.0,0.46799999999999997,8.5,6.6,2.2,1.3,30.3,110.0,98.0,21.7,0.546,8.8,22.4,26.8,10.6,5.3,4.7,0.488,5.0,6.1,0.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,3.3,22.5,17.9,3.0
Mark Bryant,PF,34,1712.0,0.503,10.3,1.8,0.9,0.9,12.4,103.0,106.0,8.9,0.547,11.5,5.5,12.0,2.4,-2.0,0.0,0.503,1.0,1.3,0.809,1.7,3.0,4.7,0.8,0.4,0.4,1.2,3.3,5.7,4.6,0.0
Matt Bullard,PF,32,1024.0,0.409,6.9,3.1,0.9,0.6,19.0,109.0,108.0,11.9,0.541,7.6,9.9,16.7,1.8,-1.8,0.0,0.525,0.4,0.5,0.833,0.2,2.2,2.5,1.1,0.3,0.2,0.6,1.5,6.8,6.1,0.0
Scott Burrell,SF,29,1336.0,0.39399999999999996,9.9,2.8,2.6,1.7,17.5,109.0,103.0,14.2,0.511,10.6,8.6,16.0,3.2,1.4,1.1,0.49200000000000005,0.5,0.7,0.78,0.9,2.6,3.5,1.0,0.9,0.6,0.5,2.3,6.1,5.7,0.0
Jason Caffey,PF,26,2159.0,0.479,11.2,2.8,1.4,0.5,19.9,98.0,109.0,12.4,0.515,11.7,9.1,19.4,1.6,-2.6,-0.3,0.479,2.9,4.9,0.597,2.7,4.1,6.8,1.7,0.9,0.3,2.4,3.8,12.0,9.5,0.0
Marcus Camby,C,25,1548.0,0.48,16.0,1.7,1.5,4.0,20.9,109.0,96.0,19.0,0.529,17.7,5.4,19.6,5.9,3.0,2.0,0.48100000000000004,2.5,3.7,0.67,2.9,4.9,7.8,0.8,0.7,2.0,1.2,3.5,10.2,8.0,0.0
Elden Campbell,C,31,2538.0,0.446,11.9,2.6,1.1,3.0,19.9,101.0,100.0,14.6,0.5,13.1,8.5,19.7,5.5,-0.2,1.2,0.446,3.2,4.6,0.69,2.2,5.4,7.6,1.7,0.7,1.9,1.6,3.4,12.7,10.6,0.0
Chris Carr,SF-SG,25,1166.0,0.395,7.9,3.8,1.4,0.7,24.3,89.0,106.0,10.8,0.48200000000000004,8.6,15.0,26.1,-0.3,-5.2,-0.9,0.42700000000000005,1.9,2.2,0.856,0.7,2.3,3.0,1.5,0.5,0.3,2.1,2.0,9.3,8.7,0.0
Anthony Carter,PG,24,1859.0,0.395,5.7,10.9,2.7,0.1,14.3,91.0,102.0,11.0,0.442,6.2,31.7,18.5,1.4,-3.1,-0.5,0.39799999999999996,1.2,1.6,0.75,0.6,1.9,2.5,4.8,1.2,0.1,2.2,2.1,6.3,6.4,0.0
Vince Carter,SF,23,3126.0,0.465,7.9,5.3,1.8,1.5,35.0,112.0,105.0,23.4,0.5429999999999999,8.5,20.5,30.0,11.8,4.6,5.2,0.493,5.3,6.7,0.7909999999999999,1.8,4.0,5.8,3.9,1.3,1.1,2.2,3.2,25.7,20.7,51.0
Sam Cassell,PG,30,2899.0,0.466,5.4,13.0,1.8,0.1,26.9,113.0,110.0,21.1,0.551,6.1,41.1,25.0,9.2,1.8,2.7,0.47700000000000004,4.8,5.5,0.8759999999999999,0.9,2.9,3.7,9.0,1.3,0.1,3.3,3.1,18.6,14.4,0.0
Kelvin Cato,C,25,1581.0,0.537,12.5,0.8,1.1,4.0,18.3,111.0,102.0,15.9,0.574,13.8,2.7,15.7,4.2,-1.0,0.4,0.537,2.1,3.2,0.649,1.6,4.4,6.0,0.4,0.5,1.9,1.1,2.7,8.7,6.2,0.0
