votes_first,points_won
28,454
20,423
8,286
8,180
1,83
1,73
0,53
0,50
0,32
0,19
0,18
1,15
1,15
0,12
1,11
0,11
0,7
0,7
0,6
0,6
0,5
0,4
0,4
0,3
0,3
0,3
0,3
0,3
0,3
0,1
0,1
