votes_first,points_won
73,763
1,264
0,218
0,206
2,138
2,134
0,70
0,65
0,63
0,26
0,22
0,12
0,12
0,11
0,5
0,4
0,3
0,3
0,3
0,2
0,2
0,1
0,1
