pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
C,27,PHI,80,1721,9.1,.493,.000,.274,8.9,17.1,13.1,4.3,1.0,2.2,17.1,13.4,,-0.2,2.3,2.2,.060,,-2.6,0.2,-2.4,-0.2
SG,29,BOS,80,2665,12.8,.515,.036,.376,3.8,7.9,6.0,16.6,1.7,1.2,14.4,18.4,,2.5,3.2,5.7,.102,,0.4,0.0,0.4,1.6
SG,28,ATL,67,1893,14.2,.497,.054,.267,1.8,7.0,4.4,31.5,1.5,0.2,16.2,24.3,,0.3,1.4,1.7,.044,,0.1,-2.2,-2.2,-0.1
SF,24,KCK,82,2920,16.6,.528,.041,.213,6.3,11.5,8.9,16.0,1.2,0.4,11.1,26.3,,3.4,2.2,5.6,.093,,1.5,-0.8,0.7,2.0
PG,25,WSB,82,2686,13.6,.516,.051,.300,2.5,5.5,4.0,30.4,1.8,0.1,16.7,18.2,,2.1,2.2,4.3,.076,,-0.3,-1.5,-1.8,0.1
SF,27,IND,81,2073,15.3,.527,.053,.305,7.4,17.1,12.3,14.0,1.9,1.3,15.6,23.7,,0.5,2.7,3.2,.075,,-0.7,0.3,-0.3,0.9
PG,24,LAL,67,2567,22.6,.628,.037,.459,4.7,16.1,10.8,42.5,2.7,1.0,24.6,19.5,,6.7,3.6,10.2,.191,,4.2,1.9,6.1,5.2
SF,27,MIL,74,2715,19.4,.534,.010,.264,7.5,12.4,10.0,18.6,2.1,1.0,11.1,25.2,,4.4,4.2,8.6,.152,,3.5,0.3,3.8,4.0
PF,31,GSW,78,2122,15.3,.510,.034,.507,9.5,17.7,13.3,14.4,2.2,0.8,17.2,23.1,,1.1,2.4,3.5,.079,,-0.7,0.7,0.0,1.1
PF,26,NJN,72,818,11.3,.555,.004,.492,7.3,12.1,9.6,6.5,1.4,1.3,15.9,18.0,,0.7,1.0,1.6,.094,,-1.4,-0.9,-2.3,-0.1
C,26,TOT,81,1487,14.8,.577,.000,.531,12.3,20.0,16.1,8.1,1.2,2.6,19.8,22.7,,0.5,1.9,2.4,.079,,-1.3,0.2,-1.1,0.3
C,26,KCK,50,893,15.2,.570,.000,.518,11.8,20.6,16.1,10.4,1.1,3.0,20.0,23.6,,0.2,1.2,1.4,.075,,-1.2,0.8,-0.4,0.4
C,26,CHI,31,594,14.2,.588,.000,.556,13.0,19.2,16.1,4.8,1.2,2.0,19.3,21.3,,0.3,0.7,1.0,.084,,-1.4,-0.6,-2.1,0.0
SG,27,DET,82,1909,15.9,.520,.021,.305,7.0,6.2,6.6,19.4,1.1,0.6,11.7,23.3,,3.1,1.0,4.1,.103,,1.5,-1.7,-0.2,0.9
PF,32,PHI,75,1761,16.7,.589,.002,.493,6.1,14.5,10.4,14.8,2.9,3.4,16.1,14.7,,2.8,3.2,6.0,.163,,1.3,3.1,4.4,2.8
C,33,HOU,81,2506,10.9,.557,.005,.310,7.2,17.7,12.5,7.6,0.8,1.7,18.0,13.8,,1.6,2.5,4.1,.078,,-1.6,1.6,0.0,1.2
PF,26,PHI,1,3,-19.5,.181,.000,4.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,,0.0,0.0,0.0,-0.552,,-19.7,-11.8,-31.6,0.0
PF,27,SAS,81,1770,14.9,.550,.030,.376,8.8,18.1,13.5,6.0,1.6,3.1,14.3,19.2,,1.7,1.7,3.4,.093,,-1.5,1.6,0.2,1.0
SF,24,SDC,4,18,-8.4,.105,.000,1.333,0.0,0.0,0.0,0.0,2.6,0.0,29.6,15.0,,-0.1,0.0,-0.1,-0.321,,-14.4,0.2,-14.2,-0.1
PF,30,HOU,57,473,12.4,.561,.000,.377,7.5,18.6,13.1,7.4,1.4,1.6,16.5,15.1,,0.3,0.5,0.9,.088,,-2.5,0.5,-2.0,0.0
PG,22,NJN,6,16,14.7,.509,.167,.333,14.0,0.0,7.1,43.1,0.0,0.0,22.5,22.1,,0.0,0.0,0.0,.070,,2.7,-5.3,-2.5,0.0
PG,29,TOT,16,210,7.3,.387,.061,.245,1.6,7.8,4.7,24.8,5.6,0.0,32.4,15.4,,-0.5,0.4,-0.1,-0.024,,-5.2,1.6,-3.6,-0.1
PG,29,POR,13,183,7.6,.363,.073,.244,1.9,6.7,4.2,25.2,5.4,0.0,28.4,14.0,,-0.3,0.3,0.0,-0.002,,-4.5,1.3,-3.2,-0.1
PG,29,LAL,3,27,4.9,.507,.000,.250,0.0,15.6,8.4,22.4,6.9,0.0,47.4,25.2,,-0.2,0.1,-0.1,-0.172,,-10.0,3.9,-6.1,0.0
C,30,UTA,75,1674,9.7,.579,.000,.614,9.3,20.8,15.4,11.3,1.5,0.9,30.6,11.5,,0.3,2.2,2.4,.070,,-2.1,2.1,0.0,0.9
PF,22,IND,79,2676,19.1,.561,.018,.285,9.5,20.1,14.8,13.7,2.1,0.6,14.0,24.1,,3.2,3.8,7.0,.125,,1.8,0.7,2.5,3.0
SF,26,SDC,80,1783,14.6,.578,.010,.590,12.0,12.9,12.4,6.8,1.8,1.0,20.4,21.3,,1.6,1.0,2.5,.068,,-0.7,0.5,-0.2,0.8
SF,24,NJN,79,2103,15.6,.541,.023,.312,6.7,14.5,10.5,14.0,2.0,0.9,16.2,24.3,,1.5,2.8,4.3,.099,,0.6,0.0,0.6,1.4
SF,27,NYK,77,2667,22.7,.619,.003,.403,5.6,12.3,9.0,11.1,1.4,0.4,10.7,28.7,,8.6,3.5,12.1,.218,,5.5,-1.9,3.6,3.7
SF,26,SEA,77,2086,11.7,.559,.004,.460,7.3,18.2,12.8,11.2,1.2,0.6,19.1,13.3,,1.3,2.1,3.4,.079,,-1.4,1.5,0.1,1.1
C,22,BOS,35,197,6.8,.445,.000,.242,16.2,19.5,17.9,4.7,0.2,1.4,21.5,19.4,,-0.3,0.3,0.0,-0.008,,-4.4,-2.6,-7.0,-0.2
SF,31,KCK,75,1885,14.3,.564,.019,.388,5.3,10.2,7.7,12.1,1.3,0.2,15.4,21.5,,2.0,1.4,3.4,.086,,-0.3,-0.9,-1.3,0.3
PF,23,WSB,59,678,13.4,.607,.053,.848,11.0,17.5,14.3,9.1,1.1,0.4,17.7,13.9,,1.2,0.7,1.9,.136,,-0.7,0.0,-0.7,0.2
PF,22,TOT,15,119,-0.5,.331,.000,.324,6.6,15.1,10.9,8.6,0.4,0.5,26.2,19.7,,-0.5,0.1,-0.4,-0.152,,-9.7,-1.8,-11.6,-0.3
PF,22,NJN,7,28,9.4,.376,.000,.500,12.0,20.7,16.3,18.6,0.0,0.0,12.0,23.6,,0.0,0.0,0.0,-0.012,,-3.6,-2.4,-5.9,0.0
PF,22,PHI,3,40,-5.6,.169,.000,.250,2.9,13.8,8.5,6.1,1.2,1.4,36.0,14.3,,-0.2,0.0,-0.2,-0.200,,-11.8,0.3,-11.6,-0.1
PF,22,IND,5,51,-2.0,.373,.000,.235,6.5,13.0,9.8,5.1,0.0,0.0,29.9,21.7,,-0.2,0.0,-0.2,-0.192,,-11.4,-3.2,-14.7,-0.2
PF,29,LAL,34,324,7.0,.423,.009,.315,13.2,16.9,15.2,2.5,0.6,1.0,15.2,18.0,,-0.3,0.3,0.0,.003,,-5.1,-2.8,-7.9,-0.5
C,26,DET,82,2864,19.2,.590,.011,.350,11.8,26.0,18.6,6.8,0.8,1.6,11.1,18.2,,7.3,3.5,10.8,.181,,1.9,0.6,2.4,3.2
SF,24,POR,64,660,12.7,.547,.050,.257,4.0,7.4,5.7,10.7,1.6,0.4,15.2,20.9,,0.6,0.5,1.0,.074,,-1.5,-2.3,-3.8,-0.3
PF,28,ATL,35,335,8.1,.424,.000,.510,14.1,26.7,20.3,3.9,0.9,0.5,25.2,10.8,,-0.2,0.5,0.3,.036,,-4.9,0.0,-4.9,-0.2
C,35,MIL,72,2007,17.7,.607,.004,.400,8.3,17.1,12.9,13.9,1.4,1.5,16.8,20.4,,3.4,3.3,6.7,.160,,2.4,0.5,2.9,2.5
PG,26,HOU,82,2009,15.9,.553,.097,.391,1.7,4.6,3.1,29.7,2.4,0.3,17.7,20.4,,2.8,1.6,4.3,.104,,0.5,-2.0,-1.6,0.2
PG,25,CHI,43,687,12.5,.513,.027,.463,3.3,4.4,3.8,34.3,2.1,0.5,24.1,18.0,,0.2,0.5,0.7,.048,,-2.4,-2.4,-4.8,-0.5
PG,23,POR,81,2010,15.8,.495,.021,.305,5.5,7.4,6.4,24.3,3.2,0.9,13.6,18.4,,2.5,2.2,4.8,.114,,0.9,0.6,1.5,1.8
PF,23,DET,80,1746,14.8,.563,.007,.427,13.7,19.7,16.6,7.6,1.2,2.5,12.9,13.1,,3.2,2.1,5.3,.144,,0.8,1.8,2.5,2.0
PF,25,SAS,3,14,2.7,.532,.000,2.000,23.2,7.5,15.2,7.9,0.0,0.0,34.7,8.0,,0.0,0.0,0.0,.007,,-0.4,-0.4,-0.7,0.0
PF,25,MIL,82,1955,12.5,.529,.000,.355,9.4,25.0,17.5,7.7,1.0,4.2,20.5,16.1,,-0.1,4.1,4.0,.098,,-2.2,2.3,0.0,1.0
SG,24,HOU,82,2578,16.3,.555,.011,.252,5.4,7.0,6.2,17.6,1.8,0.9,15.7,23.8,,2.6,2.0,4.6,.085,,1.1,-0.3,0.7,1.8
C,23,SAS,2,14,1.6,1.000,.000,.000,0.0,22.4,11.4,0.0,0.0,0.0,50.0,11.1,,0.0,0.0,0.0,-0.048,,-7.5,-3.2,-10.7,0.0
SF,24,TOT,11,137,9.5,.493,.070,.302,5.7,9.3,7.5,13.7,1.0,2.1,18.4,17.5,,0.0,0.1,0.1,.023,,-3.3,-0.1,-3.4,0.0
SF,24,KCK,10,133,9.9,.493,.070,.302,5.9,9.6,7.7,14.1,1.1,2.1,18.4,18.0,,0.0,0.1,0.1,.024,,-3.2,-0.1,-3.3,0.0
SF,24,SDC,1,4,-3.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.018,,-6.4,1.1,-5.3,0.0
SG,27,DET,82,2514,14.9,.523,.004,.238,5.7,6.6,6.1,11.1,1.7,0.4,10.1,21.7,,3.6,1.7,5.3,.102,,0.8,-0.9,-0.1,1.2
PG,24,IND,78,1238,12.2,.506,.069,.537,2.7,8.2,5.4,27.7,3.5,0.2,24.9,14.2,,0.1,1.6,1.7,.066,,-2.6,0.0,-2.6,-0.2
PG,30,SAS,63,1807,18.1,.519,.116,.264,1.4,9.1,5.3,45.1,2.3,0.1,18.1,17.4,,3.4,0.9,4.3,.114,,0.9,-1.4,-0.4,0.7
PF,31,PHO,75,2309,18.1,.555,.006,.422,10.5,26.3,18.4,12.0,1.1,1.0,14.1,22.3,,3.6,2.8,6.4,.134,,0.5,0.5,1.0,1.8
SF,25,NYK,8,65,9.0,.490,.000,.433,9.4,11.2,10.3,6.9,0.7,0.0,14.4,26.7,,0.0,0.1,0.1,.053,,-2.8,-4.3,-7.1,-0.1
PG,26,PHO,82,2402,13.2,.545,.098,.160,2.4,6.7,4.5,18.8,2.4,0.1,13.2,15.0,,2.9,2.0,5.0,.099,,0.3,-0.2,0.1,1.3
PF,25,WSB,82,2701,11.3,.536,.000,.317,7.3,24.5,15.9,6.7,1.1,2.6,17.1,13.1,,0.7,4.1,4.8,.085,,-2.7,2.8,0.1,1.4
SG,22,WSB,81,1976,11.3,.494,.081,.187,3.4,5.8,4.6,12.1,0.6,0.4,10.0,23.8,,0.2,1.1,1.3,.032,,-1.8,-2.8,-4.7,-1.3
C,28,PHI,71,2613,21.8,.566,.004,.660,15.7,25.3,20.6,5.7,1.3,2.4,15.0,26.4,,5.0,4.6,9.5,.175,,1.6,-1.0,0.7,1.8
SF,23,GSW,57,469,8.5,.444,.103,.183,5.0,9.0,6.8,12.8,2.5,0.2,14.5,13.2,,0.0,0.4,0.4,.040,,-3.4,-0.1,-3.5,-0.2
PG,24,TOT,20,388,12.3,.511,.061,.275,2.1,5.7,4.0,31.4,2.0,0.5,21.4,20.1,,0.0,0.4,0.4,.052,,-1.3,-2.9,-4.3,-0.2
PG,24,ATL,6,96,19.1,.630,.033,.733,1.2,3.6,2.4,33.8,2.6,0.6,20.1,22.3,,0.2,0.1,0.3,.163,,1.4,-3.4,-2.0,0.0
PG,24,PHI,14,292,10.0,.467,.069,.139,2.4,6.4,4.5,30.6,1.8,0.4,21.9,19.4,,-0.2,0.3,0.1,.016,,-2.3,-2.8,-5.0,-0.2
SF,28,BOS,80,2502,13.5,.610,.010,.713,9.5,11.4,10.5,10.5,1.2,0.5,20.6,16.2,,3.6,2.9,6.4,.124,,1.8,0.1,1.9,2.5
C,32,LAL,70,1456,15.9,.530,.007,.353,6.9,15.0,11.2,6.9,1.3,1.8,12.8,27.4,,1.1,1.6,2.7,.089,,-2.0,-2.0,-4.0,-0.7
SF,22,HOU,79,2081,14.4,.546,.006,.371,9.0,14.3,11.6,10.8,1.2,1.4,13.3,17.1,,2.7,1.9,4.6,.106,,0.1,0.8,1.0,1.6
PF,23,SEA,47,520,8.7,.451,.000,.413,9.9,15.2,12.6,10.8,1.0,2.0,19.2,14.1,,-0.2,0.5,0.3,.032,,-3.7,1.0,-2.7,-0.1
PF,24,SDC,57,611,9.6,.469,.015,.284,11.7,17.0,14.4,7.7,1.1,0.2,18.1,17.6,,-0.1,0.3,0.1,.009,,-3.7,-0.2,-3.9,-0.3
SF,24,LAL,77,1425,14.7,.597,.021,.193,10.0,5.6,7.7,7.8,1.6,0.2,14.9,21.0,,1.8,1.0,2.8,.095,,1.4,-2.0,-0.6,0.5
PF,26,BOS,82,2577,20.0,.605,.003,.416,9.5,17.1,13.4,6.0,0.4,2.7,10.7,22.3,,7.0,3.5,10.5,.196,,2.7,-1.1,1.6,2.4
SG,25,IND,61,923,10.8,.467,.046,.264,3.6,7.8,5.7,17.5,2.3,0.3,13.0,21.3,,-0.3,1.0,0.6,.031,,-2.6,-1.4,-4.1,-0.5
PG,28,SDC,80,843,11.7,.478,.007,.151,0.9,6.3,3.6,25.1,1.5,0.0,12.9,17.6,,0.7,0.1,0.9,.049,,-3.0,-2.2,-5.2,-0.7
C,31,WSB,62,1294,12.3,.555,.013,.349,5.8,12.1,9.0,8.4,0.5,0.8,12.0,19.3,,1.4,1.0,2.4,.090,,-1.4,-1.3,-2.7,-0.2
C,24,SAS,70,1037,11.9,.602,.000,.621,14.3,18.2,16.3,3.6,0.6,0.6,21.7,15.4,,0.7,0.5,1.2,.057,,-1.7,-0.8,-2.5,-0.1
C,30,KCK,73,1501,10.9,.575,.000,.339,8.3,18.7,13.4,4.5,1.1,2.3,16.6,13.4,,1.2,1.7,2.9,.092,,-2.2,1.2,-1.0,0.4
PF,23,KCK,39,332,16.1,.555,.000,.433,13.5,25.6,19.4,7.7,3.0,1.9,16.4,15.5,,0.3,0.6,0.9,.130,,-1.1,2.4,1.2,0.3
PF,27,SAS,2,8,25.0,.667,.000,.000,27.1,39.2,33.3,17.2,0.0,6.5,0.0,14.5,,0.0,0.0,0.1,.360,,6.9,4.0,11.0,0.0
SF,28,SAS,79,2853,17.1,.525,.009,.221,7.1,14.0,10.6,4.6,1.0,1.3,7.4,25.7,,4.1,1.4,5.5,.092,,-0.6,-1.3,-2.0,0.0
C,27,MIL,68,838,8.9,.521,.014,.338,7.2,15.0,11.3,7.1,0.7,2.0,15.2,14.6,,0.4,1.2,1.6,.090,,-2.1,-0.4,-2.5,-0.1
SG,26,MIL,79,3075,19.8,.591,.016,.555,8.3,11.1,9.8,17.1,1.7,0.5,13.4,22.2,,8.4,4.2,12.7,.198,,4.8,0.0,4.8,5.3
PG,25,SAS,59,1650,17.5,.514,.168,.268,2.4,8.9,5.7,40.9,3.4,0.6,19.8,17.0,,2.4,1.4,3.8,.110,,0.9,0.4,1.3,1.4
PF,24,PHO,82,2899,19.4,.605,.007,.337,9.1,18.3,13.7,10.2,1.4,3.5,12.9,19.5,,6.2,3.7,9.8,.163,,2.2,2.2,4.3,4.7
C,34,LAL,69,829,10.8,.531,.004,.360,11.9,23.3,18.0,3.9,1.4,0.5,18.8,17.5,,0.1,1.1,1.2,.071,,-3.1,-1.4,-4.5,-0.5
SF,27,POR,79,2638,16.9,.633,.020,.403,7.3,14.3,10.7,9.3,1.2,0.5,14.1,17.9,,6.3,2.1,8.4,.154,,2.5,-0.3,2.3,2.8
PF,23,KCK,71,960,9.2,.571,.000,.476,8.5,18.0,13.2,6.3,2.0,0.5,17.8,7.8,,0.9,1.1,2.0,.101,,-2.0,2.0,0.0,0.5
C,25,DAL,82,2284,13.0,.544,.008,.310,9.3,16.8,13.0,9.8,0.9,3.6,14.2,12.6,,2.5,2.3,4.8,.101,,-0.9,2.7,1.9,2.2
PG,28,SDC,82,3053,16.9,.501,.036,.213,2.1,5.4,3.8,41.1,1.5,0.1,15.6,21.5,,5.1,0.3,5.4,.085,,0.9,-2.1,-1.2,0.6
C,23,POR,79,1157,8.7,.565,.000,.606,8.2,18.4,13.2,8.1,1.2,1.7,26.8,14.8,,-0.1,1.2,1.1,.046,,-3.0,0.6,-2.3,-0.1
SF,25,NJN,73,1191,10.0,.508,.073,.226,6.7,10.1,8.4,10.5,1.3,0.5,15.1,16.6,,0.3,1.2,1.5,.062,,-1.1,-0.8,-1.9,0.0
PF,27,KCK,81,2160,11.5,.589,.002,.631,6.2,17.5,11.7,11.5,1.1,0.7,20.5,15.1,,2.0,2.1,4.1,.091,,-1.2,1.1,-0.1,1.0
C,26,CHI,64,870,10.0,.524,.000,.303,9.8,21.2,15.4,5.4,0.8,5.1,25.1,15.7,,-0.8,1.3,0.5,.026,,-5.1,2.2,-2.9,-0.2
SF,25,NYK,78,1640,12.4,.524,.000,.369,7.5,9.4,8.4,5.4,2.0,0.6,12.5,19.3,,1.3,2.3,3.5,.103,,-0.4,-0.9,-1.3,0.3
C,30,BOS,80,2867,19.2,.584,.000,.323,10.0,23.5,17.0,7.0,0.9,2.3,12.4,21.3,,5.7,4.8,10.5,.175,,1.9,0.2,2.1,2.9
C,35,ATL,40,486,6.6,.434,.000,.375,8.1,18.6,13.3,5.0,0.8,0.9,17.7,11.1,,-0.3,0.5,0.3,.027,,-4.5,0.3,-4.2,-0.3
SG,26,POR,81,2686,19.5,.573,.045,.310,2.9,4.8,3.8,14.1,2.2,0.2,8.6,24.7,,7.5,1.9,9.5,.170,,3.2,-2.1,1.1,2.1
PG,23,SAS,49,458,12.7,.478,.161,.190,0.9,6.6,3.8,38.5,1.0,0.2,17.7,15.3,,0.5,0.1,0.6,.058,,-2.3,-3.8,-6.2,-0.5
SG,27,TOT,13,87,4.9,.381,.143,.114,2.7,11.7,7.2,16.0,0.6,0.0,14.0,20.3,,-0.2,0.0,-0.1,-0.066,,-6.3,-2.6,-9.0,-0.2
SG,27,SAS,3,11,20.7,.717,.250,.500,0.0,19.0,9.7,22.8,0.0,0.0,17.0,20.7,,0.0,0.0,0.0,.212,,2.1,-2.4,-0.3,0.0
SG,27,DAL,10,76,2.6,.329,.129,.065,3.1,10.7,6.9,15.0,0.6,0.0,13.6,20.2,,-0.2,0.0,-0.2,-0.106,,-7.5,-2.7,-10.2,-0.2
SG,24,SDC,69,1280,13.2,.530,.016,.304,5.2,6.7,6.0,6.6,1.0,0.6,11.1,22.6,,1.7,0.1,1.8,.067,,-1.8,-1.9,-3.7,-0.5
SF,22,ATL,7,65,7.8,.575,.000,.769,0.0,17.8,8.8,6.5,1.5,0.9,22.3,14.9,,0.0,0.1,0.1,.040,,-5.0,0.0,-4.9,0.0
C,23,POR,18,78,9.2,.524,.000,.231,8.9,15.6,12.1,8.4,0.6,2.3,17.3,17.9,,0.0,0.1,0.1,.070,,-2.9,-1.1,-4.0,0.0
PF,25,PHO,69,989,11.3,.633,.010,.483,8.9,16.4,12.7,8.8,0.8,1.3,24.2,13.9,,0.8,0.9,1.7,.081,,-1.4,0.2,-1.2,0.2
PF,28,CLE,51,858,9.6,.487,.029,.251,7.3,17.2,12.1,7.5,1.1,2.3,12.8,10.6,,0.4,0.9,1.3,.075,,-3.0,2.0,-1.0,0.2
SG,25,MIL,81,1730,14.5,.547,.017,.379,7.0,11.4,9.3,20.7,2.5,1.7,20.3,18.9,,0.9,2.9,3.8,.106,,0.7,1.2,1.9,1.7
PF,25,LAL,47,743,10.9,.591,.000,.584,13.4,26.1,20.2,5.1,1.9,1.0,28.3,10.7,,0.3,1.2,1.5,.095,,-1.8,1.4,-0.4,0.3
PG,25,NJN,80,1937,14.0,.487,.046,.261,1.6,5.9,3.7,33.0,2.2,0.2,15.3,18.9,,1.8,2.0,3.8,.095,,-0.1,-2.3,-2.5,-0.2
SF,23,PHI,28,196,6.2,.385,.000,.172,5.4,13.5,9.6,20.0,2.2,0.6,23.3,17.2,,-0.4,0.3,-0.1,-0.024,,-4.9,-0.1,-5.0,-0.1
SF,28,HOU,64,1936,14.5,.491,.009,.144,5.4,13.5,9.5,15.3,2.1,0.8,9.2,20.4,,1.5,2.1,3.5,.088,,0.0,0.9,0.9,1.4
SG,27,PHI,69,1571,10.0,.503,.008,.218,4.6,7.2,6.0,14.0,1.5,0.8,16.2,16.3,,0.3,1.6,1.9,.057,,-1.3,-0.8,-2.1,0.0
PG,28,NJN,48,1285,15.1,.500,.110,.205,4.9,10.5,7.6,23.0,3.7,0.9,17.0,21.5,,0.3,2.1,2.4,.090,,1.0,1.4,2.4,1.4
PG,22,ATL,81,1938,14.9,.553,.022,.601,4.2,8.9,6.5,23.7,3.3,0.9,20.3,19.1,,1.6,2.6,4.2,.103,,0.5,1.3,1.8,1.8
SF,28,DEN,19,197,6.7,.409,.000,.198,10.4,17.0,13.6,8.0,1.1,0.3,14.7,22.2,,-0.3,0.1,-0.2,-0.058,,-6.4,-1.8,-8.2,-0.3
PF,23,SAS,79,1531,12.6,.604,.010,.431,7.2,13.8,10.6,7.6,1.5,1.3,17.4,14.5,,2.0,0.9,3.0,.093,,-0.9,1.4,0.5,1.0
C,28,PHO,61,856,12.8,.578,.004,.342,10.9,16.2,13.5,9.9,1.1,0.9,20.7,17.9,,0.6,0.8,1.4,.078,,-1.2,-0.3,-1.5,0.1
C,23,CLE,73,2402,16.6,.488,.002,.282,7.1,29.3,17.8,12.3,1.0,0.8,12.3,26.4,,0.2,2.9,3.1,.062,,-1.8,0.3,-1.5,0.3
PF,32,NYK,65,2135,10.4,.522,.000,.355,9.8,21.2,15.5,6.1,1.0,0.8,19.2,16.2,,-0.1,3.3,3.2,.071,,-1.2,0.5,-0.7,0.7
C,34,TOT,31,340,6.5,.428,.000,.271,4.9,14.0,9.4,6.8,0.4,0.3,10.0,13.7,,-0.1,0.1,0.1,.009,,-5.2,-1.3,-6.5,-0.4
C,34,DEN,19,141,3.6,.405,.000,.325,0.7,15.3,7.8,10.2,0.0,0.4,19.4,15.2,,-0.2,0.0,-0.2,-0.079,,-8.6,-1.6,-10.2,-0.3
C,34,SAS,4,37,4.8,.500,.000,.000,5.9,17.0,11.5,3.1,0.0,0.0,11.1,9.4,,0.0,0.0,0.0,.029,,-4.5,-1.1,-5.6,0.0
C,34,KCK,8,162,9.4,.437,.000,.271,8.3,12.2,10.2,4.8,0.9,0.3,0.0,13.3,,0.2,0.1,0.3,.080,,-2.4,-1.0,-3.4,-0.1
C,28,ATL,77,2351,14.2,.544,.000,.359,9.6,19.4,14.4,3.8,0.7,7.0,14.2,13.1,,1.8,3.8,5.5,.113,,-1.6,3.8,2.3,2.5
PG,25,TOT,68,1022,14.8,.501,.094,.268,2.4,7.7,5.2,26.8,2.7,0.5,13.8,18.8,,0.9,1.5,2.4,.113,,0.3,-1.4,-1.1,0.2
PG,25,GSW,3,15,8.9,.444,.200,.800,0.0,7.8,3.6,8.8,0.0,0.0,0.0,17.5,,0.0,0.0,0.0,.043,,-3.7,-4.8,-8.5,0.0
PG,25,MIL,65,1007,14.9,.502,.092,.260,2.5,7.7,5.2,27.1,2.7,0.5,14.0,18.8,,0.9,1.5,2.4,.114,,0.4,-1.3,-0.9,0.3
PF,30,ATL,73,2610,18.9,.551,.011,.468,8.9,22.9,15.8,11.4,1.2,1.7,14.1,24.1,,3.5,3.6,7.1,.131,,1.2,0.9,2.1,2.7
C,25,WSB,75,3082,19.6,.633,.007,.614,10.0,24.8,17.4,14.9,1.1,1.3,20.6,23.0,,5.0,4.3,9.3,.144,,2.3,2.0,4.3,4.9
PG,23,DET,16,119,9.0,.430,.048,.310,5.2,12.1,8.5,22.1,1.6,0.0,15.9,18.3,,0.0,0.1,0.1,.040,,-2.9,-1.1,-3.9,-0.1
C,23,HOU,82,2693,20.1,.551,.003,.317,11.8,24.7,18.3,8.9,1.2,4.0,15.9,27.1,,1.9,4.1,6.0,.108,,0.0,1.4,1.4,2.3
SF,23,PHO,50,586,10.5,.503,.000,.207,7.9,12.6,10.3,9.8,1.9,1.2,16.6,18.6,,0.0,0.6,0.6,.045,,-2.6,0.0,-2.7,-0.1
PF,25,WSB,2,13,8.4,.510,.000,.400,0.0,26.8,13.4,0.0,3.8,0.0,25.4,25.9,,-0.1,0.0,0.0,-0.131,,-11.7,-3.3,-15.1,0.0
C,24,DEN,82,1420,12.9,.592,.005,.733,10.5,21.9,16.0,7.4,1.0,2.2,19.5,16.2,,1.8,1.1,2.8,.095,,-2.4,0.8,-1.5,0.2
SF,28,PHO,65,735,7.6,.536,.016,.581,4.6,11.4,8.0,7.6,1.2,1.6,21.2,11.0,,0.1,0.6,0.8,.049,,-3.5,0.7,-2.8,-0.2
SG,22,LAL,74,1637,13.4,.525,.049,.201,3.7,7.3,5.7,14.0,2.3,0.6,13.4,21.3,,1.1,1.5,2.7,.079,,-0.7,-0.8,-1.5,0.2
PF,28,CLE,79,2101,12.6,.506,.006,.180,7.3,13.5,10.3,12.7,1.8,1.5,16.4,20.0,,0.0,2.1,2.1,.048,,-1.4,1.3,-0.1,1.0
SF,26,GSW,79,2945,16.9,.529,.048,.295,6.3,10.1,8.1,13.0,1.6,0.2,11.8,25.6,,4.1,1.9,6.0,.098,,1.3,-1.2,0.0,1.5
PG,27,IND,80,2497,13.9,.569,.027,.181,2.0,5.6,3.8,25.7,1.7,0.2,15.2,15.7,,3.2,1.9,5.2,.099,,0.2,-1.7,-1.5,0.3
C,28,SEA,82,2993,19.7,.572,.002,.416,8.6,25.9,17.3,16.0,1.5,1.7,14.7,22.2,,5.3,4.4,9.7,.156,,1.6,2.4,4.0,4.5
SG,22,SDC,61,1297,14.0,.591,.014,.374,4.7,10.1,7.4,8.6,1.2,0.9,13.3,18.0,,2.3,0.4,2.6,.098,,-0.5,-0.1,-0.6,0.5
PF,26,GSW,75,2091,12.1,.571,.000,.385,13.7,21.9,17.5,4.5,1.4,0.6,19.6,11.8,,1.8,2.1,4.0,.091,,-1.3,0.7,-0.6,0.7
SG,31,WSB,81,2624,13.2,.514,.100,.237,2.3,5.7,4.0,22.2,2.2,0.4,15.3,23.6,,0.4,2.5,2.9,.053,,-0.4,-1.0,-1.4,0.4
SG,26,DAL,7,54,16.8,.552,.125,.813,10.8,4.3,7.5,11.9,5.4,0.0,15.6,19.9,,0.1,0.1,0.2,.141,,1.4,1.2,2.6,0.1
PG,25,NYK,79,2436,12.4,.514,.053,.178,2.4,7.0,4.7,31.2,2.0,0.2,20.9,17.2,,1.1,3.1,4.2,.083,,0.2,-1.3,-1.1,0.6
SF,24,LAL,38,363,9.6,.596,.024,.610,5.4,13.1,9.5,9.7,1.5,0.6,24.6,15.3,,0.1,0.4,0.5,.062,,-2.5,-0.3,-2.8,-0.1
