pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
PF,28,POR,82,2455,17.3,.592,.005,.398,9.8,21.5,15.5,9.1,1.3,0.8,15.7,21.1,,4.1,2.6,6.7,.131,,1.2,-0.2,1.0,1.9
SF,33,BOS,60,585,7.8,.481,.088,.281,5.2,9.2,7.3,10.7,1.4,0.4,19.3,16.7,,-0.2,0.6,0.4,.034,,-2.8,-1.3,-4.1,-0.3
C,25,GSW,80,2962,16.8,.519,.001,.312,8.1,15.9,11.7,10.1,1.6,2.7,14.5,24.3,,1.6,3.1,4.7,.077,,-0.7,0.9,0.2,1.6
SG,25,IND,73,2045,13.5,.520,.053,.206,3.8,4.5,4.1,15.0,2.9,0.4,13.0,21.8,,0.4,2.2,2.6,.061,,-0.4,-0.8,-1.2,0.4
SG,22,DEN,55,688,12.0,.499,.060,.193,5.7,7.5,6.6,13.2,1.2,0.3,10.9,21.1,,0.3,0.1,0.4,.028,,-2.4,-2.2,-4.5,-0.4
C,26,NYK,77,2487,18.5,.637,.001,.621,9.6,22.1,15.9,6.4,0.9,2.4,16.3,20.6,,5.6,4.2,9.8,.189,,2.2,0.3,2.5,2.8
PF,32,MIL,69,1156,6.7,.420,.007,.275,9.1,17.2,13.3,4.6,1.1,4.1,24.9,8.4,,-0.7,2.1,1.3,.056,,-3.7,2.8,-1.0,0.3
PF,24,SEA,82,2570,16.6,.563,.011,.423,9.7,13.8,11.8,7.9,0.9,1.1,12.7,24.4,,4.0,2.1,6.1,.115,,0.8,-1.1,-0.3,1.1
PG,27,PHI,75,2494,16.4,.591,.028,.330,2.1,7.1,4.7,27.7,3.3,0.5,18.5,16.3,,3.9,3.4,7.3,.141,,2.2,-0.1,2.1,2.6
SG,23,BOS,31,127,12.1,.451,.038,.346,6.5,8.6,7.6,17.7,3.0,0.4,16.7,23.3,,-0.1,0.2,0.1,.048,,-2.2,-1.1,-3.3,0.0
SG,25,GSW,61,957,12.4,.516,.013,.230,6.6,8.2,7.3,10.1,2.1,0.8,15.8,20.6,,0.2,0.7,0.9,.047,,-2.2,-0.9,-3.1,-0.3
SF,23,IND,48,446,13.5,.537,.018,.558,4.7,9.1,6.9,12.4,2.4,2.3,18.5,23.0,,-0.2,0.6,0.4,.041,,-3.0,-0.3,-3.3,-0.1
SG,24,GSW,82,2573,15.1,.537,.008,.355,5.2,7.9,6.5,20.9,2.9,0.3,14.5,14.9,,3.6,2.3,5.9,.110,,0.6,1.0,1.6,2.3
PG,25,NJN,82,1870,14.5,.481,.067,.183,3.1,6.5,4.8,25.4,4.1,1.1,16.1,18.8,,0.6,3.0,3.6,.092,,0.0,1.0,1.0,1.4
C,27,CLE,81,1950,11.2,.530,.005,.336,9.8,18.7,14.1,8.4,1.7,1.4,17.0,11.4,,1.4,2.2,3.7,.090,,-1.5,2.5,1.0,1.5
SG,27,LAL,82,2387,14.1,.586,.220,.337,2.7,9.2,6.2,23.5,2.2,1.5,19.0,13.1,,3.9,2.6,6.5,.130,,1.2,0.8,2.0,2.4
C,27,POR,81,1662,15.8,.519,.011,.347,12.2,22.0,17.0,6.2,0.7,3.8,12.6,21.2,,2.0,2.0,4.1,.118,,-1.3,-0.2,-1.5,0.2
C,27,CHI,82,2674,13.5,.531,.011,.334,7.2,17.7,12.4,11.1,1.0,2.6,15.6,17.3,,1.6,3.1,4.7,.084,,-1.2,2.0,0.7,1.8
