pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
PF,35,SAS,66,13,833,1.6,3.8,.437,0.0,0.0,,1.6,3.8,.437,0.4,1.0,.409,4.5,7.1,11.6,1.2,1.0,0.7,1.7,5.7,3.7
C,22,POR,23,0,68,5.3,14.3,.370,0.0,0.5,.000,5.3,13.8,.385,1.6,7.4,.214,7.9,3.2,11.1,0.5,2.1,0.5,2.1,8.5,12.2
SG,23,MIA,48,43,1610,6.2,13.8,.451,1.2,3.0,.402,5.1,10.9,.464,3.5,4.4,.787,1.3,3.2,4.4,6.0,1.1,0.4,2.9,3.3,17.1
SG,24,LAL,55,9,752,6.4,13.2,.484,0.1,0.5,.182,6.3,12.6,.496,3.0,3.9,.756,2.2,2.0,4.2,3.0,2.4,0.3,1.9,3.4,15.8
C,26,IND,81,81,2072,8.6,17.7,.486,0.0,0.0,,8.6,17.7,.486,2.9,4.0,.732,2.2,5.3,7.5,2.1,0.5,1.3,2.6,5.0,20.1
SF,28,TOT,20,1,422,6.2,13.9,.448,0.0,0.2,.000,6.2,13.7,.453,3.5,4.6,.759,3.2,3.7,6.9,2.0,1.5,0.6,2.2,5.5,16.0
SF,28,ATL,3,0,15,0.0,7.2,.000,0.0,0.0,,0.0,7.2,.000,0.0,0.0,,0.0,2.4,2.4,0.0,4.8,0.0,4.8,7.2,0.0
SF,28,GSW,17,1,407,6.5,14.2,.456,0.0,0.2,.000,6.5,14.0,.462,3.6,4.8,.759,3.4,3.7,7.1,2.1,1.3,0.6,2.1,5.4,16.5
C,23,LAC,44,4,280,5.7,10.5,.537,0.0,0.0,,5.7,10.5,.537,2.1,4.1,.500,2.2,5.8,8.0,1.0,1.0,2.3,3.3,6.9,13.4
C,25,MIN,71,48,1296,2.9,6.3,.465,0.0,0.0,,2.9,6.3,.465,2.3,3.5,.654,3.7,5.3,9.0,0.5,0.6,1.8,1.9,6.8,8.1
SG,22,GSW,77,69,2741,5.9,12.7,.464,1.0,2.6,.369,4.9,10.1,.488,2.8,3.7,.746,1.0,2.5,3.6,3.9,1.7,0.7,2.7,2.2,15.5
SG,27,NYK,80,51,2477,7.5,17.4,.428,1.6,4.9,.321,5.9,12.5,.469,3.8,4.8,.795,0.8,2.2,3.0,5.9,1.3,0.2,2.5,3.4,20.3
SF,30,GSW,2,0,6,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,0.0,0.0,,12.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,12.0
SF,24,WSB,81,8,1823,6.0,11.1,.543,0.0,0.0,.000,6.0,11.1,.544,3.6,5.0,.727,3.0,4.5,7.6,2.9,0.9,0.6,3.0,3.8,15.7
SG,22,DEN,39,12,865,5.2,11.6,.446,0.0,0.2,.000,5.2,11.4,.453,4.1,5.0,.832,1.6,3.5,5.2,2.0,1.0,0.2,1.8,3.4,14.4
PF-SF,30,TOT,19,0,76,9.0,18.5,.487,0.0,0.9,.000,9.0,17.5,.514,1.4,1.9,.750,3.3,5.7,9.0,1.4,0.9,0.9,3.3,5.2,19.4
PF,30,PHO,10,0,35,11.3,18.5,.611,0.0,1.0,.000,11.3,17.5,.647,0.0,0.0,,2.1,6.2,8.2,1.0,1.0,1.0,5.1,7.2,22.6
SF,30,LAC,1,0,1,0.0,36.0,.000,0.0,0.0,,0.0,36.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SF,30,MIL,3,0,25,5.8,15.8,.364,0.0,0.0,,5.8,15.8,.364,4.3,5.8,.750,4.3,4.3,8.6,2.9,1.4,0.0,2.9,5.8,15.8
PF,30,ATL,5,0,15,9.6,21.6,.444,0.0,2.4,.000,9.6,19.2,.500,0.0,0.0,,4.8,7.2,12.0,0.0,0.0,2.4,0.0,0.0,19.2
PG,30,UTA,82,82,2863,5.5,11.3,.486,0.9,2.4,.385,4.6,9.0,.513,3.7,4.6,.798,0.8,2.2,3.0,12.4,2.5,0.3,3.3,2.8,15.6
SG,26,POR,78,35,2474,5.8,11.9,.485,0.1,0.4,.133,5.7,11.4,.499,4.0,5.5,.717,1.7,3.2,4.9,8.1,1.9,0.3,2.9,2.2,15.6
PF,24,MIL,23,0,339,4.5,9.8,.457,0.4,0.8,.500,4.0,8.9,.452,7.2,9.0,.800,4.2,8.0,12.2,1.5,1.2,0.1,1.4,2.1,16.6
SG,24,DAL,9,0,138,5.2,15.9,.328,0.5,3.4,.154,4.7,12.5,.375,2.1,2.6,.800,2.1,1.6,3.7,3.4,2.1,0.0,3.9,3.4,13.0
SG,32,HOU,2,0,25,2.9,10.1,.286,0.0,0.0,,2.9,10.1,.286,1.4,2.9,.500,0.0,4.3,4.3,2.9,0.0,0.0,1.4,1.4,7.2
PG,31,DET,79,79,2922,6.5,15.5,.418,0.8,2.4,.308,5.7,13.1,.439,3.4,4.6,.737,0.9,2.0,2.9,8.3,1.5,0.2,3.5,2.7,17.1
C,31,IND,63,0,730,5.1,10.5,.488,0.0,0.0,.000,5.1,10.5,.491,1.4,1.9,.744,2.7,6.1,8.8,1.7,1.4,1.2,2.3,6.8,11.7
PF,30,HOU,72,69,2357,5.9,10.5,.558,0.0,0.0,.000,5.9,10.5,.560,2.3,3.9,.598,3.3,5.7,9.0,2.8,0.7,0.3,2.3,3.6,14.1
PG,31,LAL,82,82,2893,6.5,12.8,.508,0.2,0.7,.264,6.3,12.1,.521,2.2,2.7,.823,0.6,2.8,3.4,7.0,1.8,0.1,2.2,3.1,15.4
PF,28,SAC,76,75,2283,8.6,16.8,.509,0.0,0.0,.000,8.6,16.8,.510,2.8,3.6,.758,2.0,5.9,7.9,1.7,0.8,0.7,1.8,4.4,19.9
PF,27,ORL,72,61,1838,4.4,8.9,.498,0.2,0.5,.321,4.3,8.3,.509,2.4,3.3,.726,2.6,5.5,8.1,1.8,0.6,0.4,2.4,3.8,11.4
SG,33,CHI,69,0,909,5.7,11.7,.485,2.1,5.2,.397,3.6,6.5,.555,0.7,0.9,.818,0.6,2.2,2.8,3.2,1.0,0.2,0.7,2.6,14.1
PF,30,ORL,75,20,1479,5.6,10.6,.529,0.2,0.4,.588,5.4,10.2,.526,1.4,1.7,.800,1.8,4.3,6.1,2.6,0.5,0.2,1.6,4.7,12.9
SF,34,LAC,41,3,494,6.7,14.8,.453,0.9,2.7,.324,5.8,12.1,.482,4.2,4.8,.879,0.9,2.6,3.5,1.8,0.9,0.5,1.5,3.3,18.5
PF,24,LAC,79,4,1653,6.8,13.4,.508,0.0,0.1,.250,6.8,13.3,.510,2.5,3.4,.748,3.6,7.1,10.7,1.2,1.2,0.8,1.8,3.7,16.2
SF,25,MIN,13,0,89,7.7,16.2,.475,1.2,1.2,1.000,6.5,15.0,.432,1.6,2.4,.667,1.6,1.6,3.2,2.4,0.8,0.0,0.8,4.9,18.2
PG-SG,31,TOT,37,2,511,2.4,6.8,.354,0.0,0.1,.000,2.4,6.7,.358,0.8,1.8,.462,1.5,2.5,4.1,3.7,2.3,0.1,1.8,4.4,5.6
